Iter,PrimalRes,DualRes
1,11037.439635276187,11037.439635276187
2,10944.360456457529,10944.360456457529
3,10791.226818264218,10791.226818264218
4,10610.039865436567,10610.039865436567
5,10431.808148037915,10431.808148037915
6,10256.49890265836,10256.49890265836
7,10084.068442891541,10084.068442891541
8,9914.468914467656,9914.468914467656
9,9747.654338105523,9747.654338105523
10,9583.580050984274,9583.580050984274
11,9422.201123423656,9422.201123423656
12,9263.473216095083,9263.473216095083
13,9107.35298465826,9107.35298465826
14,8953.797763187533,8953.797763187533
15,8802.76561260851,8802.76561260851
16,8654.215233610608,8654.215233610608
17,8508.105961535475,8508.105961535475
18,8364.397811503459,8364.397811503459
19,8223.051399854463,8223.051399854463
20,8084.028017571164,8084.028017571164
21,7947.289582069493,7947.289582069493
22,7812.798633244803,7812.798633244803
23,7680.518322992099,7680.518322992099
24,7550.412404795974,7550.412404795974
25,7422.44522408592,7422.44522408592
26,7296.581714582031,7296.581714582031
27,7172.787068033463,7172.787068033463
28,7051.027984882815,7051.027984882815
29,6931.27072630553,6931.27072630553
30,6813.4825473631645,6813.4825473631645
31,6697.631086482692,6697.631086482692
32,6583.684601427789,6583.684601427789
33,6471.6118505141885,6471.6118505141885
34,6361.382100022304,6361.382100022304
35,6252.965534988637,6252.965534988637
36,6146.331595614274,6146.331595614274
37,6041.451455544862,6041.451455544862
38,5938.296325188758,5938.296325188758
39,5836.837915594633,5836.837915594633
40,5737.048404442183,5737.048404442183
41,5638.900384600712,5638.900384600712
42,5542.366999754429,5542.366999754429
43,5448.312172830004,5448.312172830004
44,5356.816669256929,5356.816669256929
45,5267.176468432148,5267.176468432148
46,5179.234489306116,5179.234489306116
47,5092.839902363818,5092.839902363818
48,5007.98243119291,5007.98243119291
49,4924.523307383674,4924.523307383674
50,4842.552302669257,4842.552302669257
51,4762.092057835903,4762.092057835903
52,4683.104739166873,4683.104739166873
53,4605.459633114388,4605.459633114388
54,4529.179885265876,4529.179885265876
55,4454.40801890886,4454.40801890886
56,4380.8631235452485,4380.8631235452485
57,4308.516930768881,4308.516930768881
58,4237.483044755537,4237.483044755537
59,4167.8533835452035,4167.8533835452035
60,4099.376988970388,4099.376988970388
61,4032.1203532285745,4032.1203532285745
62,3966.0740495730515,3966.0740495730515
63,3901.1016579901057,3901.1016579901057
64,3837.1867748879554,3837.1867748879554
65,3774.426231182899,3774.426231182899
66,3712.980054219097,3712.980054219097
67,3652.8436826891443,3652.8436826891443
68,3593.6941816826893,3593.6941816826893
69,3535.7388331662205,3535.7388331662205
70,3479.290009810318,3479.290009810318
71,3424.2028868143734,3424.2028868143734
72,3370.4581142272054,3370.4581142272054
73,3317.5747812263376,3317.5747812263376
74,3265.5395003511694,3265.5395003511694
75,3214.3391060161875,3214.3391060161875
