Iter,Market,Year,Time,ReprDay,Imbalance,AbsImbalance
1,Hydrogen_GC,2021,0,0,-11037.439635276187,11037.439635276187
2,Hydrogen_GC,2021,0,0,-10944.360456457529,10944.360456457529
3,Hydrogen_GC,2021,0,0,-10791.226818264218,10791.226818264218
4,Hydrogen_GC,2021,0,0,-10610.039865436567,10610.039865436567
5,Hydrogen_GC,2021,0,0,-10431.808148037915,10431.808148037915
6,Hydrogen_GC,2021,0,0,-10256.49890265836,10256.49890265836
7,Hydrogen_GC,2021,0,0,-10084.068442891541,10084.068442891541
8,Hydrogen_GC,2021,0,0,-9914.468914467656,9914.468914467656
9,Hydrogen_GC,2021,0,0,-9747.654338105523,9747.654338105523
10,Hydrogen_GC,2021,0,0,-9583.580050984274,9583.580050984274
11,Hydrogen_GC,2021,0,0,-9422.201123423656,9422.201123423656
12,Hydrogen_GC,2021,0,0,-9263.473216095083,9263.473216095083
13,Hydrogen_GC,2021,0,0,-9107.35298465826,9107.35298465826
14,Hydrogen_GC,2021,0,0,-8953.797763187533,8953.797763187533
15,Hydrogen_GC,2021,0,0,-8802.76561260851,8802.76561260851
16,Hydrogen_GC,2021,0,0,-8654.215233610608,8654.215233610608
17,Hydrogen_GC,2021,0,0,-8508.105961535475,8508.105961535475
18,Hydrogen_GC,2021,0,0,-8364.397811503459,8364.397811503459
19,Hydrogen_GC,2021,0,0,-8223.051399854463,8223.051399854463
20,Hydrogen_GC,2021,0,0,-8084.028017571164,8084.028017571164
21,Hydrogen_GC,2021,0,0,-7947.289582069493,7947.289582069493
22,Hydrogen_GC,2021,0,0,-7812.798633244803,7812.798633244803
23,Hydrogen_GC,2021,0,0,-7680.518322992099,7680.518322992099
24,Hydrogen_GC,2021,0,0,-7550.412404795974,7550.412404795974
25,Hydrogen_GC,2021,0,0,-7422.44522408592,7422.44522408592
26,Hydrogen_GC,2021,0,0,-7296.581714582031,7296.581714582031
27,Hydrogen_GC,2021,0,0,-7172.787068033463,7172.787068033463
28,Hydrogen_GC,2021,0,0,-7051.027984882815,7051.027984882815
29,Hydrogen_GC,2021,0,0,-6931.27072630553,6931.27072630553
30,Hydrogen_GC,2021,0,0,-6813.4825473631645,6813.4825473631645
31,Hydrogen_GC,2021,0,0,-6697.631086482692,6697.631086482692
32,Hydrogen_GC,2021,0,0,-6583.684601427789,6583.684601427789
33,Hydrogen_GC,2021,0,0,-6471.6118505141885,6471.6118505141885
34,Hydrogen_GC,2021,0,0,-6361.382100022304,6361.382100022304
35,Hydrogen_GC,2021,0,0,-6252.965534988637,6252.965534988637
36,Hydrogen_GC,2021,0,0,-6146.331595614274,6146.331595614274
37,Hydrogen_GC,2021,0,0,-6041.451455544862,6041.451455544862
38,Hydrogen_GC,2021,0,0,-5938.296325188758,5938.296325188758
39,Hydrogen_GC,2021,0,0,-5836.837915594633,5836.837915594633
40,Hydrogen_GC,2021,0,0,-5737.048404442183,5737.048404442183
41,Hydrogen_GC,2021,0,0,-5638.900384600712,5638.900384600712
42,Hydrogen_GC,2021,0,0,-5542.366999754429,5542.366999754429
43,Hydrogen_GC,2021,0,0,-5448.312172830004,5448.312172830004
44,Hydrogen_GC,2021,0,0,-5356.816669256929,5356.816669256929
45,Hydrogen_GC,2021,0,0,-5267.176468432148,5267.176468432148
46,Hydrogen_GC,2021,0,0,-5179.234489306116,5179.234489306116
47,Hydrogen_GC,2021,0,0,-5092.839902363818,5092.839902363818
48,Hydrogen_GC,2021,0,0,-5007.98243119291,5007.98243119291
49,Hydrogen_GC,2021,0,0,-4924.523307383674,4924.523307383674
50,Hydrogen_GC,2021,0,0,-4842.552302669257,4842.552302669257
51,Hydrogen_GC,2021,0,0,-4762.092057835903,4762.092057835903
52,Hydrogen_GC,2021,0,0,-4683.104739166873,4683.104739166873
53,Hydrogen_GC,2021,0,0,-4605.459633114388,4605.459633114388
54,Hydrogen_GC,2021,0,0,-4529.179885265876,4529.179885265876
55,Hydrogen_GC,2021,0,0,-4454.40801890886,4454.40801890886
56,Hydrogen_GC,2021,0,0,-4380.8631235452485,4380.8631235452485
57,Hydrogen_GC,2021,0,0,-4308.516930768881,4308.516930768881
58,Hydrogen_GC,2021,0,0,-4237.483044755537,4237.483044755537
59,Hydrogen_GC,2021,0,0,-4167.8533835452035,4167.8533835452035
60,Hydrogen_GC,2021,0,0,-4099.376988970388,4099.376988970388
61,Hydrogen_GC,2021,0,0,-4032.1203532285745,4032.1203532285745
62,Hydrogen_GC,2021,0,0,-3966.0740495730515,3966.0740495730515
63,Hydrogen_GC,2021,0,0,-3901.1016579901057,3901.1016579901057
64,Hydrogen_GC,2021,0,0,-3837.1867748879554,3837.1867748879554
65,Hydrogen_GC,2021,0,0,-3774.426231182899,3774.426231182899
66,Hydrogen_GC,2021,0,0,-3712.980054219097,3712.980054219097
67,Hydrogen_GC,2021,0,0,-3652.8436826891443,3652.8436826891443
68,Hydrogen_GC,2021,0,0,-3593.6941816826893,3593.6941816826893
69,Hydrogen_GC,2021,0,0,-3535.7388331662205,3535.7388331662205
70,Hydrogen_GC,2021,0,0,-3479.290009810318,3479.290009810318
71,Hydrogen_GC,2021,0,0,-3424.2028868143734,3424.2028868143734
72,Hydrogen_GC,2021,0,0,-3370.4581142272054,3370.4581142272054
73,Hydrogen_GC,2021,0,0,-3317.5747812263376,3317.5747812263376
74,Hydrogen_GC,2021,0,0,-3265.5395003511694,3265.5395003511694
75,Hydrogen_GC,2021,0,0,-3214.3391060161875,3214.3391060161875
76,Hydrogen_GC,2021,0,0,-3164.146165495653,3164.146165495653
77,Hydrogen_GC,2021,0,0,-3114.833264302919,3114.833264302919
78,Hydrogen_GC,2021,0,0,-3066.3098069466896,3066.3098069466896
79,Hydrogen_GC,2021,0,0,-3018.563170853915,3018.563170853915
80,Hydrogen_GC,2021,0,0,-2971.580909092368,2971.580909092368
81,Hydrogen_GC,2021,0,0,-2925.350802180961,2925.350802180961
82,Hydrogen_GC,2021,0,0,-2879.8608188088583,2879.8608188088583
83,Hydrogen_GC,2021,0,0,-2835.099116193626,2835.099116193626
84,Hydrogen_GC,2021,0,0,-2791.054043381768,2791.054043381768
85,Hydrogen_GC,2021,0,0,-2747.7141361843187,2747.7141361843187
86,Hydrogen_GC,2021,0,0,-2705.0681126489117,2705.0681126489117
87,Hydrogen_GC,2021,0,0,-2663.1048711645262,2663.1048711645262
88,Hydrogen_GC,2021,0,0,-2621.8134892103667,2621.8134892103667
89,Hydrogen_GC,2021,0,0,-2581.183275536554,2581.183275536554
90,Hydrogen_GC,2021,0,0,-2541.203487289401,2541.203487289401
91,Hydrogen_GC,2021,0,0,-2502.024532110751,2502.024532110751
92,Hydrogen_GC,2021,0,0,-2463.6893114544373,2463.6893114544373
93,Hydrogen_GC,2021,0,0,-2425.965713061349,2425.965713061349
94,Hydrogen_GC,2021,0,0,-2388.843699883487,2388.843699883487
95,Hydrogen_GC,2021,0,0,-2352.313718264397,2352.313718264397
96,Hydrogen_GC,2021,0,0,-2316.36630854231,2316.36630854231
97,Hydrogen_GC,2021,0,0,-2280.9921921440355,2280.9921921440355
98,Hydrogen_GC,2021,0,0,-2246.182205546988,2246.182205546988
99,Hydrogen_GC,2021,0,0,-2211.9273780707194,2211.9273780707194
100,Hydrogen_GC,2021,0,0,-2178.472568255602,2178.472568255602
101,Hydrogen_GC,2021,0,0,-2145.683718835861,2145.683718835861
102,Hydrogen_GC,2021,0,0,-2113.4151760253726,2113.4151760253726
103,Hydrogen_GC,2021,0,0,-2081.6586071151883,2081.6586071151883
104,Hydrogen_GC,2021,0,0,-2050.405909290527,2050.405909290527
105,Hydrogen_GC,2021,0,0,-2019.6490799571784,2019.6490799571784
106,Hydrogen_GC,2021,0,0,-1989.3802460303768,1989.3802460303768
107,Hydrogen_GC,2021,0,0,-1959.5916603327137,1959.5916603327137
108,Hydrogen_GC,2021,0,0,-1930.2756986605973,1930.2756986605973
109,Hydrogen_GC,2021,0,0,-1901.4248580435292,1901.4248580435292
110,Hydrogen_GC,2021,0,0,-1873.0317632557835,1873.0317632557835
111,Hydrogen_GC,2021,0,0,-1845.0891292704773,1845.0891292704773
112,Hydrogen_GC,2021,0,0,-1817.5898135070129,1817.5898135070129
113,Hydrogen_GC,2021,0,0,-1790.5267779687833,1790.5267779687833
114,Hydrogen_GC,2021,0,0,-1763.8930960426005,1763.8930960426005
115,Hydrogen_GC,2021,0,0,-1737.6819526244217,1737.6819526244217
116,Hydrogen_GC,2021,0,0,-1711.8866452147713,1711.8866452147713
117,Hydrogen_GC,2021,0,0,-1686.500540653612,1686.500540653612
118,Hydrogen_GC,2021,0,0,-1661.5171450494272,1661.5171450494272
119,Hydrogen_GC,2021,0,0,-1636.9301371104575,1636.9301371104575
120,Hydrogen_GC,2021,0,0,-1612.9579866737204,1612.9579866737204
121,Hydrogen_GC,2021,0,0,-1589.4653476077765,1589.4653476077765
122,Hydrogen_GC,2021,0,0,-1566.3428467605863,1566.3428467605863
123,Hydrogen_GC,2021,0,0,-1543.5846516410566,1543.5846516410566
124,Hydrogen_GC,2021,0,0,-1521.184990590088,1521.184990590088
125,Hydrogen_GC,2021,0,0,-1499.1382210768734,1499.1382210768734
126,Hydrogen_GC,2021,0,0,-1477.4387680788923,1477.4387680788923
127,Hydrogen_GC,2021,0,0,-1456.0811486776347,1456.0811486776347
128,Hydrogen_GC,2021,0,0,-1435.0599662856257,1435.0599662856257
129,Hydrogen_GC,2021,0,0,-1414.3699091551034,1414.3699091551034
130,Hydrogen_GC,2021,0,0,-1394.0057498192082,1394.0057498192082
131,Hydrogen_GC,2021,0,0,-1373.9623431547361,1373.9623431547361
132,Hydrogen_GC,2021,0,0,-1354.2346253458927,1354.2346253458927
133,Hydrogen_GC,2021,0,0,-1334.8176124342144,1334.8176124342144
134,Hydrogen_GC,2021,0,0,-1315.7064078844396,1315.7064078844396
135,Hydrogen_GC,2021,0,0,-1296.8961654223922,1296.8961654223922
136,Hydrogen_GC,2021,0,0,-1278.3821421622315,1278.3821421622315
137,Hydrogen_GC,2021,0,0,-1260.1596611204704,1260.1596611204704
138,Hydrogen_GC,2021,0,0,-1242.224119162548,1242.224119162548
139,Hydrogen_GC,2021,0,0,-1224.570985606415,1224.570985606415
140,Hydrogen_GC,2021,0,0,-1207.1957995028542,1207.1957995028542
141,Hydrogen_GC,2021,0,0,-1190.0941755936165,1190.0941755936165
142,Hydrogen_GC,2021,0,0,-1173.2617925288941,1173.2617925288941
143,Hydrogen_GC,2021,0,0,-1156.6943992706356,1156.6943992706356
144,Hydrogen_GC,2021,0,0,-1140.3877823349567,1140.3877823349567
145,Hydrogen_GC,2021,0,0,-1124.3378798231388,1124.3378798231388
146,Hydrogen_GC,2021,0,0,-1108.5405890353695,1108.5405890353695
147,Hydrogen_GC,2021,0,0,-1092.9919706736837,1092.9919706736837
148,Hydrogen_GC,2021,0,0,-1077.6880512677026,1077.6880512677026
149,Hydrogen_GC,2021,0,0,-1062.6249985936902,1062.6249985936902
150,Hydrogen_GC,2021,0,0,-1047.7990463499063,1047.7990463499063
151,Hydrogen_GC,2021,0,0,-1033.2085658326432,1033.2085658326432
152,Hydrogen_GC,2021,0,0,-1019.062506464019,1019.062506464019
153,Hydrogen_GC,2021,0,0,-1005.1431079480972,1005.1431079480972
154,Hydrogen_GC,2021,0,0,-991.4406560986281,991.4406560986281
155,Hydrogen_GC,2021,0,0,-977.9516858478755,977.9516858478755
156,Hydrogen_GC,2021,0,0,-964.6728596651146,964.6728596651146
157,Hydrogen_GC,2021,0,0,-951.6008709185326,951.6008709185326
158,Hydrogen_GC,2021,0,0,-938.732467617664,938.732467617664
159,Hydrogen_GC,2021,0,0,-926.0644948024692,926.0644948024692
160,Hydrogen_GC,2021,0,0,-913.5937978725506,913.5937978725506
161,Hydrogen_GC,2021,0,0,-901.3172880342308,901.3172880342308
162,Hydrogen_GC,2021,0,0,-889.2319069372479,889.2319069372479
163,Hydrogen_GC,2021,0,0,-877.4045055211855,877.4045055211855
164,Hydrogen_GC,2021,0,0,-865.9326056552127,865.9326056552127
165,Hydrogen_GC,2021,0,0,-854.636694749438,854.636694749438
166,Hydrogen_GC,2021,0,0,-843.5140684643329,843.5140684643329
167,Hydrogen_GC,2021,0,0,-832.5620920197152,832.5620920197152
168,Hydrogen_GC,2021,0,0,-821.778046922962,821.778046922962
169,Hydrogen_GC,2021,0,0,-811.1593360234046,811.1593360234046
170,Hydrogen_GC,2021,0,0,-800.7034529946013,800.7034529946013
171,Hydrogen_GC,2021,0,0,-790.4078477135963,790.4078477135963
172,Hydrogen_GC,2021,0,0,-780.2700376115617,780.2700376115617
173,Hydrogen_GC,2021,0,0,-770.2875788276724,770.2875788276724
174,Hydrogen_GC,2021,0,0,-760.4580650768066,760.4580650768066
175,Hydrogen_GC,2021,0,0,-750.779127456638,750.779127456638
176,Hydrogen_GC,2021,0,0,-741.2484334735418,741.2484334735418
177,Hydrogen_GC,2021,0,0,-731.8636870882128,731.8636870882128
178,Hydrogen_GC,2021,0,0,-722.6226326580781,722.6226326580781
179,Hydrogen_GC,2021,0,0,-713.5230347865954,713.5230347865954
180,Hydrogen_GC,2021,0,0,-704.5627072679672,704.5627072679672
181,Hydrogen_GC,2021,0,0,-695.7394929845013,695.7394929845013
182,Hydrogen_GC,2021,0,0,-687.0512675427944,687.0512675427944
183,Hydrogen_GC,2021,0,0,-678.4959365918357,678.4959365918357
184,Hydrogen_GC,2021,0,0,-670.0714569312986,670.0714569312986
185,Hydrogen_GC,2021,0,0,-661.7757832232492,661.7757832232492
186,Hydrogen_GC,2021,0,0,-653.6069273325611,653.6069273325611
187,Hydrogen_GC,2021,0,0,-645.562924814094,645.562924814094
188,Hydrogen_GC,2021,0,0,-637.6418437551483,637.6418437551483
189,Hydrogen_GC,2021,0,0,-629.8417752529549,629.8417752529549
190,Hydrogen_GC,2021,0,0,-622.1608480585901,622.1608480585901
191,Hydrogen_GC,2021,0,0,-614.5972160335341,614.5972160335341
192,Hydrogen_GC,2021,0,0,-607.1490619283686,607.1490619283686
193,Hydrogen_GC,2021,0,0,-599.8145969454199,599.8145969454199
194,Hydrogen_GC,2021,0,0,-592.5920599880292,592.5920599880292
195,Hydrogen_GC,2021,0,0,-585.4797169599979,585.4797169599979
196,Hydrogen_GC,2021,0,0,-578.4758607860031,578.4758607860031
197,Hydrogen_GC,2021,0,0,-571.578810766543,571.578810766543
198,Hydrogen_GC,2021,0,0,-564.7869122464854,564.7869122464854
199,Hydrogen_GC,2021,0,0,-558.0985361517778,558.0985361517778
200,Hydrogen_GC,2021,0,0,-551.512078536276,551.512078536276
201,Hydrogen_GC,2021,0,0,-545.0259603837685,545.0259603837685
202,Hydrogen_GC,2021,0,0,-538.6386221228959,538.6386221228959
203,Hydrogen_GC,2021,0,0,-532.3485429514831,532.3485429514831
204,Hydrogen_GC,2021,0,0,-526.154211133121,526.154211133121
205,Hydrogen_GC,2021,0,0,-520.0541431366846,520.0541431366846
206,Hydrogen_GC,2021,0,0,-514.04687849311,514.04687849311
207,Hydrogen_GC,2021,0,0,-508.1309790375444,508.1309790375444
208,Hydrogen_GC,2021,0,0,-502.30502908664585,502.30502908664585
209,Hydrogen_GC,2021,0,0,-496.56763484086787,496.56763484086787
210,Hydrogen_GC,2021,0,0,-490.91742410319966,490.91742410319966
211,Hydrogen_GC,2021,0,0,-485.3530454085658,485.3530454085658
212,Hydrogen_GC,2021,0,0,-479.8731693340351,479.8731693340351
213,Hydrogen_GC,2021,0,0,-474.47648614700574,474.47648614700574
214,Hydrogen_GC,2021,0,0,-469.1617067494017,469.1617067494017
215,Hydrogen_GC,2021,0,0,-463.92756186099905,463.92756186099905
216,Hydrogen_GC,2021,0,0,-458.7728024500957,458.7728024500957
217,Hydrogen_GC,2021,0,0,-453.6961983193787,453.6961983193787
218,Hydrogen_GC,2021,0,0,-448.6965387057262,448.6965387057262
