Iter,Year,Price,Balance
1,2021,77.21560458013306,-11037.439635276187
2,2021,104.2016988563297,-10944.360456457529
3,2021,130.8102033397209,-10791.226818264218
4,2021,156.97194547367408,-10610.039865436567
5,2021,182.69421214006894,-10431.808148037915
6,2021,207.98420943429502,-10256.49890265836
7,2021,232.8490357318358,-10084.068442891541
8,2021,257.2956714113451,-9914.468914467656
9,2021,281.33098347790667,-9747.654338105523
10,2021,304.96172880910075,-9583.580050984274
11,2021,328.1945534969947,-9422.201123423656
12,2021,351.03599430380444,-9263.473216095083
13,2021,373.49248111529056,-9107.35298465826
14,2021,395.5703386135612,-8953.797763187533
15,2021,417.2757880693082,-8802.76561260851
16,2021,438.6149489193069,-8654.215233610608
17,2021,459.5938403313122,-8508.105961535475
18,2021,480.21838288022485,-8364.397811503459
19,2021,500.49440003055093,-8223.051399854463
20,2021,520.4276197999045,-8084.028017571164
21,2021,540.0236763036374,-7947.289582069493
22,2021,559.2881112897205,-7812.798633244803
23,2021,578.2263756477832,-7680.518322992099
24,2021,596.8438308924856,-7550.412404795974
25,2021,615.1457506231084,-7422.44522408592
26,2021,633.1373219741325,-7296.581714582031
27,2021,650.8236462514753,-7172.787068033463
28,2021,668.2097426525562,-7051.027984882815
29,2021,685.3005471831726,-6931.27072630553
30,2021,702.1009151081777,-6813.4825473631645
31,2021,718.6156218967651,-6697.631086482692
32,2021,734.8493647496008,-6583.684601427789
33,2021,750.8067638330605,-6471.6118505141885
34,2021,766.4923635317456,-6361.382100022304
35,2021,781.9106347139093,-6252.965534988637
36,2021,797.065972894876,-6146.331595614274
37,2021,811.9627025112881,-6041.451455544862
38,2021,826.6050770117535,-5938.296325188758
39,2021,840.9972800913018,-5836.837915594633
40,2021,855.1434268419812,-5737.048404442183
41,2021,869.0475647766131,-5638.900384600712
42,2021,882.7136751869665,-5542.366999754429
43,2021,896.1478695857254,-5448.312172830004
44,2021,909.3564586332083,-5356.816669256929
45,2021,922.3440170485204,-5267.176468432148
46,2021,935.1147322276314,-5179.234489306116
47,2021,947.6724196581175,-5092.839902363818
48,2021,960.0208694884562,-5007.98243119291
49,2021,972.1635296984434,-4924.523307383674
50,2021,984.1040696228333,-4842.552302669257
51,2021,995.8462144229767,-4762.092057835903
52,2021,1007.3935959716073,-4683.104739166873
53,2021,1018.7495238340811,-4605.459633114388
54,2021,1029.9173646470654,-4529.179885265876
55,2021,1040.9008364745118,-4454.40801890886
56,2021,1051.7029647243494,-4380.8631235452485
57,2021,1062.3267051015878,-4308.516930768881
58,2021,1072.775293431122,-4237.483044755537
59,2021,1083.052192185069,-4167.8533835452035
60,2021,1093.1602450345852,-4099.376988970388
61,2021,1103.1024596041898,-4032.1203532285745
62,2021,1112.8818202743698,-3966.0740495730515
63,2021,1122.500975047496,-3901.1016579901057
64,2021,1131.9625314787265,-3837.1867748879554
65,2021,1141.269335884383,-3774.426231182899
66,2021,1150.4246291687589,-3712.980054219097
67,2021,1159.4316409890882,-3652.8436826891443
68,2021,1168.2928047247442,-3593.6941816826893
69,2021,1177.0110648613183,-3535.7388331662205
70,2021,1185.5901361183849,-3479.290009810318
71,2021,1194.0333761132697,-3424.2028868143734
72,2021,1202.34409475109,-3370.4581142272054
73,2021,1210.5244161294563,-3317.5747812263376
74,2021,1218.5764313358018,-3265.5395003511694
75,2021,1226.5021989944719,-3214.3391060161875
76,2021,1234.3042032381597,-3164.146165495653
77,2021,1241.984614026852,-3114.833264302919
78,2021,1249.5453779343916,-3066.3098069466896
79,2021,1256.9884104104697,-3018.563170853915
80,2021,1264.3155962137112,-2971.580909092368
81,2021,1271.5287899725136,-2925.350802180961
82,2021,1278.6298166490285,-2879.8608188088583
83,2021,1285.6204720040264,-2835.099116193626
84,2021,1292.5025230698993,-2791.054043381768
85,2021,1299.2777086111757,-2747.7141361843187
86,2021,1305.9477395738718,-2705.0681126489117
87,2021,1312.5142995301678,-2663.1048711645262
88,2021,1318.9790451200015,-2621.8134892103667
89,2021,1325.3436066213244,-2581.183275536554
90,2021,1331.6095878228598,-2541.203487289401
91,2021,1337.7789633814891,-2502.024532110751
92,2021,1343.8538137385,-2463.6893114544373
93,2021,1349.8356470035828,-2425.965713061349
94,2021,1355.725946537542,-2388.843699883487
95,2021,1361.5261721442214,-2352.313718264397
96,2021,1367.237760302271,-2316.36630854231
97,2021,1372.8621246116672,-2280.9921921440355
98,2021,1378.4006560773996,-2246.182205546988
99,2021,1383.8547235849712,-2211.9273780707194
100,2021,1389.22629978067,-2178.472568255602
101,2021,1394.5170267586213,-2145.683718835861
102,2021,1399.7281874666292,-2113.4151760253726
103,2021,1404.8610443060913,-2081.6586071151883
104,2021,1409.9168396988625,-2050.405909290527
105,2021,1414.8967963343734,-2019.6490799571784
106,2021,1419.8021174889689,-1989.3802460303768
107,2021,1424.6339873363645,-1959.5916603327137
108,2021,1429.39357125087,-1930.2756986605973
109,2021,1434.0820161063198,-1901.4248580435292
110,2021,1438.70045059106,-1873.0317632557835
111,2021,1443.2499854303571,-1845.0891292704773
112,2021,1447.7317137376347,-1817.5898135070129
113,2021,1452.1467112723521,-1790.5267779687833
114,2021,1456.4960367146489,-1763.8930960426005
115,2021,1460.7807319402982,-1737.6819526244217
116,2021,1465.001822298362,-1711.8866452147713
117,2021,1469.1603167821654,-1686.500540653612
118,2021,1473.2572083726982,-1661.5171450494272
119,2021,1477.2934744642034,-1636.9301371104575
120,2021,1481.270631143673,-1612.9579866737204
121,2021,1485.1898607679113,-1589.4653476077765
122,2021,1489.0520760064992,-1566.3428467605863
123,2021,1492.858175147532,-1543.5846516410566
124,2021,1496.609042247617,-1521.184990590088
125,2021,1500.3055474502723,-1499.1382210768734
126,2021,1503.9485471523847,-1477.4387680788923
127,2021,1507.5388842313157,-1456.0811486776347
128,2021,1511.0773882577735,-1435.0599662856257
129,2021,1514.5648757050053,-1414.3699091551034
130,2021,1518.0021501566143,-1394.0057498192082
131,2021,1521.3900025095986,-1373.9623431547361
132,2021,1524.729211174835,-1354.2346253458927
133,2021,1528.0205422739878,-1334.8176124342144
134,2021,1531.2647498550728,-1315.7064078844396
135,2021,1534.4625760163883,-1296.8961654223922
136,2021,1537.6147511614458,-1278.3821421622315
137,2021,1540.721994161469,-1260.1596611204704
138,2021,1543.7850125374862,-1242.224119162548
139,2021,1546.8045026389814,-1224.570985606415
140,2021,1549.7811498158378,-1207.1957995028542
141,2021,1552.7156286049728,-1190.0941755936165
142,2021,1555.6086028879208,-1173.2617925288941
143,2021,1558.4607260642047,-1156.6943992706356
144,2021,1561.2726411439346,-1140.3877823349567
145,2021,1564.0449811215808,-1124.3378798231388
146,2021,1566.7783688753666,-1108.5405890353695
147,2021,1569.4734175701785,-1092.9919706736837
148,2021,1572.1307305733044,-1077.6880512677026
149,2021,1574.7509018027135,-1062.6249985936902
150,2021,1577.3345158896036,-1047.7990463499063
151,2021,1579.882153449191,-1033.2085658326432
152,2021,1582.3949103144448,-1019.062506464019
153,2021,1584.8733453751388,-1005.1431079480972
154,2021,1587.3179935682588,-991.4406560986281
155,2021,1589.7293812867879,-977.9516858478755
156,2021,1592.1080266941813,-964.6728596651146
157,2021,1594.4544398005557,-951.6008709185326
158,2021,1596.7691225974213,-938.732467617664
159,2021,1599.0525692969343,-926.0644948024692
160,2021,1601.3052663327844,-913.5937978725506
161,2021,1603.5276925224578,-901.3172880342308
162,2021,1605.720319142303,-889.2319069372479
163,2021,1607.8837823066017,-877.4045055211855
164,2021,1610.0189585945186,-865.9326056552127
165,2021,1612.126281951435,-854.636694749438
166,2021,1614.2061796544976,-843.5140684643329
167,2021,1616.2590724841352,-832.5620920197152
168,2021,1618.285374517644,-821.778046922962
169,2021,1620.2854934283866,-811.1593360234046
170,2021,1622.2598307097433,-800.7034529946013
171,2021,1624.2087815671193,-790.4078477135963
172,2021,1626.1327350845177,-780.2700376115617
173,2021,1628.0320743199832,-770.2875788276724
174,2021,1629.9071763982547,-760.4580650768066
175,2021,1631.7584126029424,-750.779127456638
176,2021,1633.586148466302,-741.2484334735418
177,2021,1635.390743859122,-731.8636870882128
178,2021,1637.1725530903338,-722.6226326580781
179,2021,1638.931924956931,-713.5230347865954
180,2021,1640.6692028652628,-704.5627072679672
181,2021,1642.3847249027588,-695.7394929845013
182,2021,1644.0788239186177,-687.0512675427944
183,2021,1645.7518275978853,-678.4959365918357
184,2021,1647.404058587579,-670.0714569312986
185,2021,1649.035834491417,-661.7757832232492
186,2021,1650.6474680108672,-653.6069273325611
187,2021,1652.2392670035595,-645.562924814094
188,2021,1653.8115345635038,-637.6418437551483
189,2021,1655.3645690778262,-629.8417752529549
190,2021,1656.8986643196145,-622.1608480585901
191,2021,1658.4141095098341,-614.5972160335341
192,2021,1659.9111893885615,-607.1490619283686
193,2021,1661.3901842851392,-599.8145969454199
194,2021,1662.8513701864795,-592.5920599880292
195,2021,1664.2950188036411,-585.4797169599979
196,2021,1665.721397638456,-578.4758607860031
197,2021,1667.1307700485652,-571.578810766543
