Time,SOLAR,LOAD_E,LOAD_H,LOAD_EP,WIND
1,0.000000,0.594000,0.792000,0.9,0.561000
2,0.000000,0.544500,0.792000,0.9,0.612000
3,0.000000,0.495000,0.792000,0.9,0.591600
4,0.000000,0.495000,0.792000,0.9,0.561000
5,0.000000,0.544500,0.792000,0.9,0.530400
6,0.000000,0.643500,0.792000,0.9,0.489600
7,0.050500,0.742500,0.792000,0.9,0.428400
8,0.151500,0.841500,0.792000,0.9,0.387600
9,0.303000,0.891000,0.792000,0.9,0.357000
10,0.454500,0.910800,0.792000,0.9,0.326400
11,0.555500,0.891000,0.792000,0.9,0.306000
12,0.606000,0.871200,0.792000,0.9,0.285600
13,0.555500,0.841500,0.792000,0.9,0.306000
14,0.454500,0.811800,0.792000,0.9,0.326400
15,0.303000,0.792000,0.792000,0.9,0.357000
16,0.151500,0.841500,0.792000,0.9,0.387600
17,0.050500,0.940500,0.792000,0.9,0.428400
18,0.000000,0.970200,0.792000,0.9,0.489600
19,0.000000,0.940500,0.792000,0.9,0.530400
20,0.000000,0.891000,0.792000,0.9,0.561000
21,0.000000,0.841500,0.792000,0.9,0.591600
22,0.000000,0.742500,0.792000,0.9,0.561000
23,0.000000,0.643500,0.792000,0.9,0.530400
24,0.000000,0.594000,0.792000,0.9,0.510000
25,0.000000,0.495000,0.792000,0.9,0.459000
26,0.000000,0.475200,0.792000,0.9,0.489600
27,0.000000,0.445500,0.792000,0.9,0.510000
28,0.000000,0.445500,0.792000,0.9,0.489600
29,0.000000,0.495000,0.792000,0.9,0.459000
30,0.050500,0.544500,0.792000,0.9,0.408000
31,0.151500,0.643500,0.792000,0.9,0.357000
32,0.303000,0.742500,0.792000,0.9,0.326400
33,0.505000,0.792000,0.792000,0.9,0.285600
34,0.707000,0.811800,0.792000,0.9,0.255000
35,0.808000,0.792000,0.792000,0.9,0.224400
36,0.858500,0.772200,0.792000,0.9,0.255000
37,0.808000,0.742500,0.792000,0.9,0.285600
38,0.707000,0.712800,0.792000,0.9,0.306000
39,0.505000,0.693000,0.792000,0.9,0.326400
40,0.303000,0.742500,0.792000,0.9,0.357000
41,0.151500,0.841500,0.792000,0.9,0.387600
42,0.050500,0.891000,0.792000,0.9,0.408000
43,0.000000,0.841500,0.792000,0.9,0.459000
44,0.000000,0.792000,0.792000,0.9,0.489600
45,0.000000,0.742500,0.792000,0.9,0.459000
46,0.000000,0.643500,0.792000,0.9,0.428400
47,0.000000,0.544500,0.792000,0.9,0.408000
48,0.000000,0.514800,0.792000,0.9,0.387600
49,0.000000,0.396000,0.792000,0.9,0.081600
50,0.000000,0.376200,0.792000,0.9,0.102000
51,0.000000,0.346500,0.792000,0.9,0.081600
52,0.000000,0.346500,0.792000,0.9,0.061200
53,0.050500,0.396000,0.792000,0.9,0.051000
54,0.151500,0.445500,0.792000,0.9,0.061200
55,0.303000,0.544500,0.792000,0.9,0.081600
56,0.505000,0.643500,0.792000,0.9,0.102000
57,0.707000,0.693000,0.792000,0.9,0.081600
58,0.858500,0.742500,0.792000,0.9,0.061200
59,0.959500,0.792000,0.792000,0.9,0.051000
60,1.000000,0.841500,0.792000,0.9,0.061200
61,0.959500,0.811800,0.792000,0.9,0.081600
62,0.858500,0.792000,0.792000,0.9,0.081600
63,0.707000,0.772200,0.792000,0.9,0.102000
64,0.505000,0.742500,0.792000,0.9,0.122400
65,0.303000,0.792000,0.792000,0.9,0.102000
66,0.151500,0.841500,0.792000,0.9,0.081600
67,0.050500,0.811800,0.792000,0.9,0.061200
68,0.000000,0.742500,0.792000,0.9,0.081600
69,0.000000,0.643500,0.792000,0.9,0.102000
70,0.000000,0.544500,0.792000,0.9,0.081600
71,0.000000,0.445500,0.792000,0.9,0.061200
72,0.000000,0.415800,0.792000,0.9,0.051000
73,0.000000,0.544500,0.792000,0.9,0.510000
74,0.000000,0.514800,0.792000,0.9,0.561000
75,0.000000,0.495000,0.792000,0.9,0.591600
76,0.000000,0.495000,0.792000,0.9,0.561000
77,0.020200,0.544500,0.792000,0.9,0.510000
78,0.080800,0.613800,0.792000,0.9,0.459000
79,0.181800,0.712800,0.792000,0.9,0.408000
80,0.323200,0.811800,0.792000,0.9,0.357000
81,0.484800,0.871200,0.792000,0.9,0.326400
82,0.626200,0.891000,0.792000,0.9,0.306000
83,0.727200,0.871200,0.792000,0.9,0.285600
84,0.787800,0.841500,0.792000,0.9,0.306000
85,0.727200,0.811800,0.792000,0.9,0.326400
86,0.626200,0.792000,0.792000,0.9,0.357000
87,0.484800,0.811800,0.792000,0.9,0.387600
88,0.323200,0.841500,0.792000,0.9,0.408000
89,0.181800,0.891000,0.792000,0.9,0.459000
90,0.080800,0.940500,0.792000,0.9,0.510000
91,0.020200,0.910800,0.792000,0.9,0.530400
92,0.000000,0.871200,0.792000,0.9,0.561000
93,0.000000,0.811800,0.792000,0.9,0.591600
94,0.000000,0.742500,0.792000,0.9,0.561000
95,0.000000,0.673200,0.792000,0.9,0.510000
96,0.000000,0.594000,0.792000,0.9,0.489600
97,0.000000,0.475200,0.792000,0.9,0.428400
98,0.000000,0.445500,0.792000,0.9,0.459000
99,0.000000,0.415800,0.792000,0.9,0.489600
100,0.000000,0.415800,0.792000,0.9,0.459000
101,0.050500,0.475200,0.792000,0.9,0.408000
102,0.121200,0.544500,0.792000,0.9,0.357000
103,0.252500,0.643500,0.792000,0.9,0.326400
104,0.424200,0.742500,0.792000,0.9,0.285600
105,0.585800,0.811800,0.792000,0.9,0.255000
106,0.727200,0.841500,0.792000,0.9,0.224400
107,0.828200,0.811800,0.792000,0.9,0.255000
108,0.888800,0.772200,0.792000,0.9,0.285600
109,0.858500,0.742500,0.792000,0.9,0.326400
110,0.757500,0.712800,0.792000,0.9,0.357000
111,0.606000,0.712800,0.792000,0.9,0.387600
112,0.424200,0.742500,0.792000,0.9,0.408000
113,0.252500,0.811800,0.792000,0.9,0.428400
114,0.121200,0.871200,0.792000,0.9,0.459000
115,0.050500,0.910800,0.792000,0.9,0.489600
116,0.000000,0.871200,0.792000,0.9,0.510000
117,0.000000,0.811800,0.792000,0.9,0.489600
118,0.000000,0.742500,0.792000,0.9,0.459000
119,0.000000,0.673200,0.792000,0.9,0.428400
120,0.000000,0.574200,0.792000,0.9,0.408000
121,0.000000,0.445500,0.792000,0.9,0.061200
122,0.000000,0.415800,0.792000,0.9,0.081600
123,0.000000,0.396000,0.792000,0.9,0.102000
124,0.000000,0.396000,0.792000,0.9,0.081600
125,0.050500,0.445500,0.792000,0.9,0.061200
126,0.121200,0.514800,0.792000,0.9,0.081600
127,0.252500,0.613800,0.792000,0.9,0.102000
128,0.424200,0.712800,0.792000,0.9,0.081600
129,0.585800,0.772200,0.792000,0.9,0.061200
130,0.707000,0.811800,0.792000,0.9,0.081600
131,0.787800,0.792000,0.792000,0.9,0.102000
132,0.828200,0.772200,0.792000,0.9,0.081600
133,0.757500,0.742500,0.792000,0.9,0.102000
134,0.626200,0.712800,0.792000,0.9,0.122400
135,0.454500,0.712800,0.792000,0.9,0.102000
136,0.282800,0.772200,0.792000,0.9,0.081600
137,0.121200,0.841500,0.792000,0.9,0.102000
138,0.050500,0.871200,0.792000,0.9,0.081600
139,0.000000,0.841500,0.792000,0.9,0.102000
140,0.000000,0.772200,0.792000,0.9,0.122400
141,0.000000,0.693000,0.792000,0.9,0.102000
142,0.000000,0.613800,0.792000,0.9,0.081600
143,0.000000,0.544500,0.792000,0.9,0.061200
144,0.000000,0.475200,0.792000,0.9,0.051000
145,0.000000,0.495000,0.792000,0.9,0.459000
146,0.000000,0.475200,0.792000,0.9,0.489600
147,0.000000,0.445500,0.792000,0.9,0.510000
148,0.000000,0.445500,0.792000,0.9,0.489600
149,0.020200,0.495000,0.792000,0.9,0.459000
150,0.080800,0.544500,0.792000,0.9,0.408000
151,0.181800,0.613800,0.792000,0.9,0.357000
152,0.323200,0.712800,0.792000,0.9,0.326400
153,0.484800,0.772200,0.792000,0.9,0.306000
154,0.606000,0.811800,0.792000,0.9,0.285600
155,0.686800,0.792000,0.792000,0.9,0.306000
156,0.727200,0.742500,0.792000,0.9,0.326400
157,0.656500,0.712800,0.792000,0.9,0.357000
158,0.525200,0.712800,0.792000,0.9,0.387600
159,0.353500,0.742500,0.792000,0.9,0.408000
160,0.181800,0.811800,0.792000,0.9,0.428400
161,0.080800,0.871200,0.792000,0.9,0.408000
162,0.020200,0.871200,0.792000,0.9,0.387600
163,0.000000,0.811800,0.792000,0.9,0.357000
164,0.000000,0.742500,0.792000,0.9,0.326400
165,0.000000,0.673200,0.792000,0.9,0.306000
166,0.000000,0.594000,0.792000,0.9,0.285600
167,0.000000,0.544500,0.792000,0.9,0.255000
168,0.000000,0.495000,0.792000,0.9,0.224400
169,0.000000,0.544500,0.792000,0.9,0.510000
170,0.000000,0.514800,0.792000,0.9,0.561000
171,0.000000,0.495000,0.792000,0.9,0.591600
172,0.000000,0.495000,0.792000,0.9,0.561000
173,0.020200,0.544500,0.792000,0.9,0.510000
174,0.060600,0.594000,0.792000,0.9,0.459000
175,0.151500,0.673200,0.792000,0.9,0.408000
176,0.282800,0.742500,0.792000,0.9,0.357000
177,0.424200,0.811800,0.792000,0.9,0.326400
178,0.555500,0.851400,0.792000,0.9,0.306000
179,0.656500,0.871200,0.792000,0.9,0.285600
180,0.707000,0.841500,0.792000,0.9,0.306000
181,0.686800,0.811800,0.792000,0.9,0.326400
182,0.585800,0.772200,0.792000,0.9,0.357000
183,0.454500,0.772200,0.792000,0.9,0.387600
184,0.303000,0.811800,0.792000,0.9,0.408000
185,0.151500,0.871200,0.792000,0.9,0.459000
186,0.060600,0.891000,0.792000,0.9,0.510000
187,0.020200,0.871200,0.792000,0.9,0.530400
188,0.000000,0.841500,0.792000,0.9,0.561000
189,0.000000,0.772200,0.792000,0.9,0.591600
190,0.000000,0.712800,0.792000,0.9,0.561000
191,0.000000,0.643500,0.792000,0.9,0.510000
192,0.000000,0.594000,0.792000,0.9,0.489600
