period,time_step,SOLAR,LOAD_E,WIND
32,1,0.0,0.585369,1.0
32,2,0.0,0.595249,1.0
32,3,0.0,0.609148,1.0
32,4,0.0,0.628548,1.0
32,5,0.0,0.655364,1.0
32,6,0.0,0.68616,1.0
32,7,0.0,0.713648,1.0
32,8,0.0,0.733765,1.0
32,9,0.0,0.743715,1.0
32,10,0.0,0.736338,1.0
32,11,0.002941,0.718047,1.0
32,12,0.026473,0.693074,1.0
32,13,0.055888,0.670746,1.0
32,14,0.1809,0.658613,1.0
32,15,0.227963,0.665041,1.0
32,16,0.176488,0.69445,1.0
32,17,0.111776,0.743597,1.0
32,18,0.047063,0.798306,1.0
32,19,0.027944,0.841803,1.0
32,20,0.001471,0.857327,1.0
32,21,0.0,0.840138,1.0
32,22,0.0,0.790537,1.0
32,23,0.0,0.729376,1.0
32,24,0.0,0.673289,1.0
44,1,0.0,0.546143,0.043475
44,2,0.0,0.555924,0.042158
44,3,0.0,0.572613,0.049019
44,4,0.0,0.594759,0.08807
44,5,0.0,0.623497,0.143754
44,6,0.0,0.655017,0.137927
44,7,0.0,0.684808,0.162215
44,8,0.0,0.705264,0.175362
44,9,0.0,0.713946,0.149743
44,10,0.0,0.710579,0.1892
44,11,0.047063,0.690555,0.219023
44,12,0.208844,0.659723,0.155896
44,13,0.354446,0.629595,0.222957
44,14,0.452985,0.610618,0.256142
44,15,0.486812,0.611106,0.316827
44,16,0.367683,0.635828,0.415673
44,17,0.336797,0.677714,0.452692
44,18,0.170605,0.729594,0.380729
44,19,0.063241,0.772876,0.547477
44,20,0.013237,0.790018,0.505383
44,21,0.0,0.774091,0.48517
44,22,0.0,0.735691,0.591846
44,23,0.0,0.679333,0.622719
44,24,0.0,0.62522,0.471998
216,1,0.0,0.502453,0.152799
216,2,0.0,0.511901,0.178756
216,3,0.0,0.526344,0.256142
216,4,0.0,0.546222,0.316827
216,5,0.0,0.570616,0.326938
216,6,0.0,0.596859,0.353151
216,7,0.0,0.620769,0.386411
216,8,0.002941,0.637658,0.446375
216,9,0.02059,0.643842,0.512243
216,10,0.055888,0.638063,0.654647
216,11,0.083832,0.622214,0.802529
216,12,0.142661,0.601147,0.899121
216,13,0.170605,0.581781,0.840289
216,14,0.285322,0.571802,0.869373
216,15,0.426512,0.577935,0.802529
216,16,0.535346,0.603492,0.713115
216,17,0.457397,0.645585,1.0
216,18,0.366212,0.693745,0.960637
216,19,0.28238,0.732245,0.919325
216,20,0.175017,0.746463,1.0
216,21,0.123541,0.730098,0.774964
216,22,0.075007,0.68831,0.607152
216,23,0.004412,0.63445,0.607152
216,24,0.0,0.582874,0.687649
229,1,0.0,0.508445,0.200043
229,2,0.0,0.521091,0.168703
229,3,0.0,0.538438,0.14082
229,4,0.0,0.560969,0.137927
229,5,0.0,0.587742,0.116193
229,6,0.0,0.615972,0.0924
229,7,0.0,0.643142,0.099159
229,8,0.010295,0.66064,0.083877
229,9,0.129424,0.661872,0.050475
229,10,0.333856,0.646955,0.012685
229,11,0.567702,0.625257,0.009013
229,12,0.788312,0.604087,0.022774
229,13,0.957446,0.584626,0.022774
229,14,1.0,0.574599,0.017241
229,15,0.992743,0.580761,0.017241
229,16,1.0,0.606443,0.021088
229,17,0.978036,0.648742,0.030417
229,18,0.861848,0.697138,0.033674
229,19,0.686831,0.735826,0.034809
229,20,0.458868,0.750114,0.037154
229,21,0.233846,0.733669,0.056586
229,22,0.051476,0.691676,0.132259
229,23,0.0,0.637552,0.222957
229,24,0.0,0.58631,0.256142
246,1,0.0,0.517445,0.0
246,2,0.0,0.53081,0.001514
246,3,0.0,0.546854,0.012109
246,4,0.0,0.567507,0.02192
246,5,0.0,0.592852,0.033674
246,6,0.0,0.620117,0.02192
246,7,0.0,0.644959,0.02938
246,8,0.0,0.661212,0.046191
246,9,0.044122,0.663052,0.055015
246,10,0.185312,0.64739,0.040867
