SOLAR,WIND,LOAD_E
0.0,0.645415,0.565792
0.0,0.522741,0.575677
0.0,0.411544,0.590729
0.0,0.276193,0.609932
0.0,0.157572,0.637022
0.0,0.084184,0.672335
0.0,0.050805,0.70612
0.0,0.011438,0.729477
0.0,0.000717,0.743575
0.0,0.0,0.740846
0.0,0.0,0.727557
0.034,0.0,0.706371
0.112,0.0,0.669657
0.168,0.0,0.64787
0.189,0.0,0.653336
0.197,0.003459,0.68844
0.143,0.026834,0.748119
0.054,0.043559,0.825885
0.006,0.06917,0.887485
0.0,0.125,0.907498
0.0,0.177247,0.885944
0.0,0.249606,0.825145
0.0,0.296296,0.752355
0.0,0.308814,0.68161
0.0,0.32168,0.568834
0.0,0.411544,0.58208
0.0,0.49327,0.600721
0.0,0.559627,0.625266
0.0,0.659344,0.654553
0.0,0.631683,0.687611
0.0,0.53485,0.717998
0.0,0.572297,0.740864
0.0,0.565939,0.748366
0.0,0.464928,0.737278
0.0,0.470508,0.718411
0.008,0.459394,0.691283
0.018,0.280138,0.667159
0.027,0.242337,0.655115
0.066,0.174341,0.664522
0.109,0.189192,0.69785
0.073,0.177247,0.755711
0.033,0.171468,0.820832
0.006,0.238755,0.877044
0.0,0.330452,0.898894
0.0,0.396365,0.876544
0.0,0.411544,0.819192
0.0,0.464928,0.743504
0.0,0.487512,0.671268
0.0,0.421875,0.558236
0.0,0.565939,0.56797
0.0,0.695041,0.586193
0.0,0.559627,0.610162
0.0,0.386457,0.638741
0.0,0.313064,0.66871
0.0,0.242337,0.69669
0.0,0.276193,0.714794
0.0,0.32168,0.719511
0.0,0.339383,0.714514
0.0,0.304603,0.695418
0.012,0.280138,0.671432
0.03,0.214669,0.651726
0.086,0.208098,0.643629
0.106,0.111619,0.655865
0.125,0.144448,0.692723
0.098,0.32168,0.753644
0.047,0.437694,0.824296
0.005,0.553363,0.879721
0.0,0.702332,0.898521
0.0,0.936575,0.877192
0.0,1.0,0.826414
0.0,1.0,0.753512
0.0,1.0,0.681101
0.0,1.0,0.567695
0.0,0.867442,0.580922
0.0,0.540974,0.602255
0.0,0.339383,0.628986
0.0,0.260781,0.65993
0.0,0.280138,0.692471
0.0,0.125,0.721446
0.0,0.049546,0.741916
0.0,0.022156,0.748587
0.0,0.008074,0.743322
0.0,0.002505,0.723489
0.014,0.000459,0.695399
0.069,0.000358,0.667347
0.07,0.000876,0.65305
0.097,0.010523,0.660888
0.083,0.016811,0.694807
0.055,0.008843,0.75153
0.027,0.009245,0.821044
0.003,0.017426,0.876259
0.0,0.030292,0.897056
0.0,0.042423,0.87374
0.0,0.07896,0.825084
0.0,0.109486,0.749722
0.0,0.109486,0.677671
0.0,0.127329,0.564803
0.0,0.115967,0.575989
0.0,0.087791,0.59377
0.0,0.120427,0.620166
0.0,0.152231,0.652181
0.0,0.144448,0.689014
0.0,0.125,0.721084
0.0,0.125,0.745708
0.0,0.109486,0.755783
0.0,0.111619,0.745451
0.0,0.120427,0.728811
0.039,0.120427,0.70132
