Time,SOLAR,LOAD_E,LOAD_H,LOAD_EP,WIND
1,0.0,0.621148,0.8,0.9,1.0
2,0.0,0.633391,0.8,0.9,1.0
3,0.0,0.651841,0.8,0.9,1.0
4,0.0,0.67706,0.8,0.9,1.0
5,0.0,0.707298,0.8,0.9,1.0
6,0.0,0.745083,0.8,0.9,1.0
7,0.0,0.77903,0.8,0.9,1.0
8,0.0,0.802331,0.8,0.9,1.0
9,0.0,0.810822,0.8,0.9,1.0
10,0.0,0.801437,0.8,0.9,1.0
11,0.007354,0.780844,0.8,0.9,1.0
12,0.069124,0.752421,0.8,0.9,1.0
13,0.176488,0.724339,0.8,0.9,0.646565
14,0.195607,0.709397,0.8,0.9,0.512243
15,0.232376,0.713825,0.8,0.9,0.784081
16,0.291205,0.742069,0.8,0.9,0.704557
17,0.154427,0.800934,0.8,0.9,0.48517
18,0.139719,0.860684,0.8,0.9,0.512243
19,0.036768,0.910866,0.8,0.9,0.311851
20,0.001471,0.933483,0.8,0.9,0.302055
21,0.0,0.916233,0.8,0.9,0.278468
22,0.0,0.869853,0.8,0.9,0.146728
23,0.0,0.80458,0.8,0.9,0.063173
24,0.0,0.741099,0.8,0.9,0.039603
25,0.0,0.51388,0.8,0.9,0.185675
26,0.0,0.525587,0.8,0.9,0.135073
27,0.0,0.541468,0.8,0.9,0.103843
28,0.0,0.562463,0.8,0.9,0.0924
29,0.0,0.587583,0.8,0.9,0.085956
30,0.0,0.615798,0.8,0.9,0.064896
31,0.0,0.641086,0.8,0.9,0.046191
32,0.03971,0.656618,0.8,0.9,0.030417
33,0.170605,0.657842,0.8,0.9,0.011009
34,0.279439,0.644927,0.8,0.9,0.017241
35,0.460339,0.6258,0.8,0.9,0.046191
36,0.552995,0.601009,0.8,0.9,0.061481
37,0.800078,0.581066,0.8,0.9,0.101483
38,0.813314,0.5711,0.8,0.9,0.066649
39,0.963329,0.577225,0.8,0.9,0.049019
40,0.769192,0.60275,0.8,0.9,0.050475
41,0.814785,0.644792,0.8,0.9,0.063173
42,0.795665,0.692893,0.8,0.9,0.094618
43,0.630944,0.731345,0.8,0.9,0.149743
44,0.419158,0.745546,0.8,0.9,0.103843
45,0.230905,0.732847,0.8,0.9,0.068435
46,0.114717,0.699839,0.8,0.9,0.055015
47,0.008824,0.652047,0.8,0.9,0.038366
48,0.0,0.603698,0.8,0.9,0.020277
49,0.0,0.440598,0.8,0.9,0.63855
50,0.0,0.448882,0.8,0.9,0.591846
51,0.0,0.461547,0.8,0.9,0.562011
52,0.0,0.478978,0.8,0.9,0.599467
53,0.0,0.500369,0.8,0.9,0.713115
54,0.0,0.523381,0.8,0.9,0.704557
55,0.0,0.544348,0.8,0.9,0.5768
56,0.004412,0.559158,0.8,0.9,0.811861
57,0.110305,0.564581,0.8,0.9,0.84991
58,0.319149,0.559513,0.8,0.9,0.84991
59,0.547112,0.545615,0.8,0.9,0.519165
60,0.760368,0.527142,0.8,0.9,0.562011
61,0.932443,0.510976,0.8,0.9,0.554712
62,1.0,0.507426,0.8,0.9,0.899121
63,1.0,0.516517,0.8,0.9,1.0
64,1.0,0.541899,0.8,0.9,1.0
65,0.975095,0.580148,0.8,0.9,1.0
66,0.750073,0.621967,0.8,0.9,0.92954
67,0.429453,0.652888,0.8,0.9,0.713115
68,0.202961,0.661376,0.8,0.9,0.283084
69,0.102951,0.642267,0.8,0.9,0.19277
70,0.005883,0.603574,0.8,0.9,0.083877
71,0.0,0.556345,0.8,0.9,0.018718
72,0.0,0.511118,0.8,0.9,1.6e-5
73,0.0,0.544507,0.8,0.9,0.165438
74,0.0,0.556863,0.8,0.9,0.118774
75,0.0,0.575296,0.8,0.9,0.075894
76,0.0,0.598717,0.8,0.9,0.059819
77,0.0,0.627226,0.8,0.9,0.043475
78,0.0,0.657306,0.8,0.9,0.033674
79,0.0,0.685564,0.8,0.9,0.039603
80,0.0,0.704875,0.8,0.9,0.059819
81,0.004412,0.711712,0.8,0.9,0.042158
82,0.08089,0.694107,0.8,0.9,0.026412
83,0.227963,0.666571,0.8,0.9,0.006877
84,0.4221,0.632813,0.8,0.9,0.006127
85,0.427983,0.607012,0.8,0.9,0.011009
86,0.557407,0.592462,0.8,0.9,0.009487
87,0.561819,0.597621,0.8,0.9,0.01155
88,0.4221,0.624048,0.8,0.9,0.033674
