iter,rho,price_mean,imb_mean,primal_res,dual_res
1,0.3,8.18495152536791,-17.283171751226366,934.3669518830745,Inf
2,0.3,38.709795155897524,-101.749478768432,5748.560956092679,3038.5578221936466
3,0.315,171.34674848122884,-495.37610952504684,26592.580142261766,4767.613620524339
4,0.33075000000000004,242.88558166916255,-247.05056370054783,14758.541570488853,3544.879643023857
5,0.3472875000000001,455.0574106142528,-820.962825464252,44127.811959057806,4400.883720542916
6,0.3646518750000001,504.42642004898386,-176.62967163623213,14528.535297231962,6095.773172037791
7,0.38288446875000015,668.4233084391948,-657.4104926299516,35393.21717279327,3987.1319593540193
8,0.4020286921875002,732.4192139476497,-237.20655602277688,16010.42610481401,4732.0628240383785
9,0.4221301267968752,882.2394369297602,-622.2096092033722,33716.565555745525,3554.056340671747
10,0.443236633136719,960.3923636008656,-300.113130599069,17851.676283157,4282.118847939243
11,0.465398464793555,1075.6748683138014,-496.0151367946538,26986.633545683162,2814.158288085602
12,0.48866838803323276,1161.6614977908216,-342.0864941238437,19645.53127612928,4165.565655736584
13,0.5131018074348944,1275.9130543493925,-509.28267603604155,27807.412797992452,3379.8285205533207
14,0.5387568978066392,1363.1736202303298,-359.6568025525291,20696.719522882468,4558.987379043312
15,0.5656947426969712,1463.0651398570403,-461.3076419703762,25168.91073479302,3009.3688148846245
16,0.5939794798318198,1544.861739374505,-349.2776165211836,19717.56449531322,3680.981180606544
17,0.6236784538234108,1623.3321575429277,-375.43369481510973,20649.95546451672,2623.3825393122233
18,0.6548623765145813,1684.937156843302,-272.5315045327522,15714.795346527315,3639.3935173228274
19,0.6876054953403105,1748.712515570581,-260.8718050201276,14751.08890862025,3040.605429373987
20,0.721985770107326,1801.9214495670644,-201.2483217948249,11915.236392736537,3650.238735420448
21,0.7580850586126924,1848.9785514260934,-164.56836784750945,9976.33967799901,3641.468143862451
22,0.7959893115433271,1885.6530931315485,-118.593082418665,7846.749633291641,3868.961520328959
23,0.8357887771204935,1910.1380323744347,-73.20945412639827,5845.871117838274,3918.2603020695096
24,0.8775782159765182,1919.6389809019663,-26.26688540663172,4423.818201130202,3947.7683689493033
25,0.8775782159765182,1912.2406098815736,19.85822816862247,4187.886500440333,3830.054431443677
26,0.8775782159765182,1891.6650228385688,64.97371493345977,5252.037695979557,3717.0029223697074
27,0.9214571267753442,1862.3167050318223,103.83898928112185,6718.673484384307,3614.1722684224833
28,0.9675299831141114,1827.1102061201618,139.56992760867618,8350.377802290352,3544.2618530745226
29,1.015906482269817,1789.199845309115,168.39093454522975,9744.342638028695,3388.2171910060415
