Metric,Value,Unit
case,green_h2_social_planner,-
gamma,0.5,-
beta,0.2,-
expected_social_welfare,3.9954397839514366e10,EUR
social_CVaR,-3.915541085441881e10,EUR
alpha_social,-4.3098478511935455e10,EUR
social_CVaR_recomputed,-3.915541085441881e10,EUR
sum_private_CVaR,1.157937064717072e9,EUR
risk_adjusted_objective,NaN,EUR
social_CVaR_gap_vs_SP,3.801227624411011e7,EUR
SP_social_CVaR_benchmark,-3.919342313066292e10,EUR
expected_welfare_demand,5.508302082138599e10,EUR
expected_welfare_ex_demand,-1.5128622981871613e10,EUR
share_demand_of_E_SW,1.3786472528666072,-
welfare_ex_demand_CVaR,1.5960267014792252e10,EUR
welfare_ex_demand_min,-1.952410003520004e10,EUR
welfare_ex_demand_spread,7.812655610195154e9,EUR
expected_welfare_group_conventional,-8.121145506759699e9,EUR
expected_welfare_group_elec_demand,5.471176248828584e10,EUR
expected_welfare_group_gc_demand,3.712583331001451e8,EUR
expected_welfare_group_green_h2_coalition,-6.66520750973759e8,EUR
expected_welfare_group_offtaker_grey,-1.3051407845756893e9,EUR
expected_welfare_group_offtaker_import,0.0,EUR
expected_welfare_group_vres,-5.035815939562468e9,EUR
