case,group,is_demand,scenario_year,probability,welfare
green_h2_social_planner,conventional,false,1,0.06666666666666667,-5.423975025331182e9
green_h2_social_planner,conventional,false,2,0.06666666666666667,-7.853788617418253e9
green_h2_social_planner,conventional,false,3,0.06666666666666667,-1.0173191361359314e10
green_h2_social_planner,conventional,false,4,0.06666666666666667,-6.346749626351176e9
green_h2_social_planner,conventional,false,5,0.06666666666666667,-9.366306267712132e9
green_h2_social_planner,conventional,false,6,0.06666666666666667,-1.2273881134005743e10
green_h2_social_planner,conventional,false,7,0.06666666666666667,-5.854173648127888e9
green_h2_social_planner,conventional,false,8,0.06666666666666667,-8.587833793914271e9
green_h2_social_planner,conventional,false,9,0.06666666666666667,-1.120935267509107e10
green_h2_social_planner,conventional,false,10,0.06666666666666667,-5.631008616507213e9
green_h2_social_planner,conventional,false,11,0.06666666666666667,-8.227286375490373e9
green_h2_social_planner,conventional,false,12,0.06666666666666667,-1.0716210243325361e10
green_h2_social_planner,conventional,false,13,0.06666666666666667,-5.433481724347987e9
green_h2_social_planner,conventional,false,14,0.06666666666666667,-7.946095136318077e9
green_h2_social_planner,conventional,false,15,0.06666666666666667,-1.0356207314635416e10
green_h2_social_planner,elec_demand,true,1,0.06666666666666667,5.447550775965643e10
green_h2_social_planner,elec_demand,true,2,0.06666666666666667,5.447550775965643e10
green_h2_social_planner,elec_demand,true,3,0.06666666666666667,5.447550775965643e10
green_h2_social_planner,elec_demand,true,4,0.06666666666666667,5.545122581026685e10
green_h2_social_planner,elec_demand,true,5,0.06666666666666667,5.545122581026685e10
green_h2_social_planner,elec_demand,true,6,0.06666666666666667,5.545122581026685e10
green_h2_social_planner,elec_demand,true,7,0.06666666666666667,5.463890195822082e10
green_h2_social_planner,elec_demand,true,8,0.06666666666666667,5.463890195822082e10
green_h2_social_planner,elec_demand,true,9,0.06666666666666667,5.463890195822082e10
green_h2_social_planner,elec_demand,true,10,0.06666666666666667,5.4443428681490776e10
green_h2_social_planner,elec_demand,true,11,0.06666666666666667,5.4443428740848694e10
green_h2_social_planner,elec_demand,true,12,0.06666666666666667,5.444342870956889e10
green_h2_social_planner,elec_demand,true,13,0.06666666666666667,5.4549528378847374e10
green_h2_social_planner,elec_demand,true,14,0.06666666666666667,5.4549528378847374e10
