iter,elec_rho,elec_price_mean,elec_imb_mean,H2_rho,H2_price_mean,H2_imb_mean,elec_GC_rho,elec_GC_price_mean,elec_GC_imb_mean,H2_GC_rho,H2_GC_price_mean,H2_GC_imb_mean,EP_rho,EP_price_mean,EP_imb_mean,cap_rho_Gen_VRES_Solar,cap_rho_Gen_VRES_Wind,cap_rho_Prod_H2_Green,cap_rho_Offtaker_Green
1,1.0,105.78018921309658,0.07948794355028148,0.5,84.89627511253312,-0.05760213999781073,0.3,6.891575920056287,0.08199996318219996,1.0,124.29899192320518,-0.07290656654723608,3.0,215.73007187586967,-0.01918563779600804,0.1,0.1,0.1,0.1
2,1.0,105.64546099553391,0.1347282175626701,0.5,84.93695165746647,-0.09499794595366343,0.3,6.88829167854219,0.027666319945876816,1.0,124.40740847544997,-0.12356797497747275,3.0,215.78935453945252,-0.03563757695370913,0.1,0.1,0.1,0.1
3,1.05,105.43106380634498,0.2402209402676829,0.505,84.99891236779364,-0.14434644222982768,0.315,6.886904405836503,0.010665517141230155,0.9523809523809523,124.55897714563794,-0.19071109019189933,2.9702970297029703,215.901257826821,-0.05919852464711871,0.1,0.10500000000000001,0.10500000000000001,0.10500000000000001
4,1.05,105.22344142668494,0.2736824909013405,0.51005,85.061668504697,-0.17029645143921396,0.33075000000000004,6.895896963173004,-0.05767046050593771,0.9070294784580498,124.73441786477031,-0.23744509692804192,2.9408881482207625,216.03111001121562,-0.07221546166996902,0.10500000000000001,0.11025000000000001,0.11025000000000001,0.11025000000000001
5,1.1025,105.03411023965614,0.27963194435426036,0.5151505,85.11969498307582,-0.18341519473532383,0.3472875000000001,6.910478331008114,-0.09193371620824171,0.9523809523809523,124.93330833530874,-0.28062618882020973,2.9117704437829333,216.16575962088822,-0.08152608233779995,0.1,0.11576250000000002,0.11576250000000002,0.11576250000000002
6,1.1576250000000001,104.85854891909354,0.23975459527798698,0.520302005,85.17565386603268,-0.17002764331052952,0.3646518750000001,6.927648934048557,-0.11592707886305703,1.0,125.12414257341507,-0.3016909575845797,2.8829410334484487,216.2992302044695,-0.09103750986077175,0.10500000000000001,0.12155062500000002,0.12155062500000002,0.12155062500000002
7,1.2155062500000002,104.68410480586637,0.22027636215974072,0.52550502505,85.23078451257854,-0.16585257191310315,0.38288446875000015,6.936754106477527,-0.07734543388509708,1.05,125.313216293487,-0.3349106379589749,2.854397062820246,216.42177492178263,-0.09675770971890753,0.11025000000000001,0.12762815625000004,0.12762815625000004,0.12762815625000004
8,1.2762815625000004,104.50990450310144,0.20339204309774514,0.5307600753005,85.28469868724493,-0.16058712109432932,0.4020286921875002,6.940353341245797,-0.03447620348266088,1.1025,125.49820031007495,-0.36713327946469254,2.8261357057626197,216.5338859322821,-0.10518206689832768,0.11576250000000002,0.13400956406250006,0.13400956406250006,0.13400956406250006
9,1.3400956406250004,104.3649120947069,0.15653223757485799,0.5360676760535049,85.33107899878452,-0.13279533355248901,0.4221301267968752,6.944158430503433,-0.03644462413929614,1.1576250000000001,125.69688326565989,-0.37554402911879586,2.7981541641214056,216.63945825538755,-0.11769173358817359,0.11025000000000001,0.14071004226562506,0.14071004226562506,0.14071004226562506
10,1.4071004226562505,104.23195455974528,0.13272262435870003,0.54142835281404,85.37207356709679,-0.11282799526485475,0.443236633136719,6.9463591990711695,-0.023048545208136536,1.2155062500000002,125.88029750962792,-0.38844101898695027,2.770449667446936,216.75834089318727,-0.1338553359239771,0.11025000000000001,0.14774554437890633,0.14774554437890633,0.14774554437890633
11,1.4071004226562505,104.13703041274485,0.09283016890923403,0.5468426363421804,85.40011124631322,-0.0741778118853478,0.465398464793555,6.949610271859186,-0.03693963530318185,1.2762815625000004,126.0719414130481,-0.38654292946349955,2.743019472719739,216.87077819496366,-0.15042849781715026,0.11576250000000002,0.15513282159785166,0.15513282159785166,0.15513282159785166
12,1.4071004226562505,104.08083868723362,0.06157966582093019,0.5523110627056023,85.417760835146,-0.04488569453883125,0.48866838803323276,6.95352524899662,-0.04260169806889532,1.3400956406250004,126.27414439453955,-0.3884194612883123,2.7158608640789494,216.99205716552376,-0.15910702473723637,0.12155062500000002,0.16288946267774426,0.16288946267774426,0.16288946267774426
13,1.4071004226562505,104.0372300350279,0.04781001129813879,0.5578341733326583,85.42824936191025,-0.02564066292538521,0.5131018074348944,6.956023694882826,-0.027618511964768326,1.4071004226562505,126.45950117496476,-0.3989455995933003,2.6889711525534152,217.11846006698568,-0.16748744956879347,0.12762815625000004,0.17103393581163148,0.17103393581163148,0.17103393581163148
14,1.3400956406250004,104.02772323480458,0.013215156450411412,0.5634125150659849,85.42627577543331,0.0050132378291264795,0.5387568978066392,6.95957126190797,-0.03781525524253124,1.477455443789063,126.6540560463481,-0.39880262856029586,2.6623476757954605,217.24729279007298,-0.17241410284848332,0.12155062500000004,0.17958563260221305,0.17958563260221305,0.17958563260221305
15,1.3400956406250004,104.03831806779851,-0.014776106304984143,0.5690466402166448,85.4146718379523,0.033520249086378386,0.5656947426969712,6.963232965490665,-0.03869334800576435,1.5513282159785162,126.85930105395981,-0.4006814214389891,2.6359877978172874,217.37609203437253,-0.17409299188540123,0.12762815625000004,0.18856491423232372,0.18856491423232372,0.18856491423232372
16,1.3400956406250004,104.06492342238836,-0.03683729279532787,0.5747371066188112,85.39586749339023,0.06071039750018989,0.5939794798318198,6.966391602024762,-0.033940700310211076,1.628894626777442,127.07658007305145,-0.4039755645798683,2.6359877978172874,217.48455614573348,-0.17247855726899886,0.13400956406250006,0.1979931599439399,0.1979931599439399,0.1979931599439399
17,1.3400956406250004,104.0998643622863,-0.053433196688376955,0.5804844776849993,85.36897658890129,0.09459689476783556,0.6236784538234108,6.968840693000578,-0.02705050184334055,1.7103393581163142,127.30971579664636,-0.4007925191545722,2.6098889087299875,217.5803021542669,-0.1809139993920527,0.14071004226562506,0.2078928179411369,0.2078928179411369,0.2078928179411369
18,1.3400956406250004,104.13859763394726,-0.06582342828715036,0.5862893224618493,85.33471548297493,0.12077193933572518,0.6236784538234108,6.970288218665606,-0.017304684289618403,1.79585632602213,127.55049826762006,-0.394226985125699,2.584048424485136,217.68445637425742,-0.192980095198846,0.14774554437890633,0.21828745883819375,0.21828745883819375,0.21828745883819375
19,1.3400956406250004,104.18303756389446,-0.07472375474169489,0.5921522156864678,85.29796201402628,0.14448176094140966,0.6236784538234108,6.970916906863016,-0.007803803227055556,1.8856491423232367,127.79658505522721,-0.3837253401589692,2.5584637866189466,217.80014636271906,-0.21019170464138534,0.14071004226562506,0.22920183178010345,0.22920183178010345,0.22920183178010345
20,1.3400956406250004,104.22976258752361,-0.07983027640071086,0.5980737378433325,85.25937937762836,0.16427698015627887,0.6236784538234108,6.970906261600774,0.00013286969726937029,1.9799315994393987,128.05473191456286,-0.37219668832316816,2.533132461998957,217.92783025695383,-0.22747834681884424,0.14774554437890633,0.24066192336910863,0.24066192336910863,0.24066192336910863
21,1.3400956406250004,104.27673545071906,-0.08184995323217274,0.6040544752217658,85.21995626178878,0.18027203516986942,0.6236784538234108,6.970489292104952,0.005246276157950746,2.0789281794113688,128.32520057848237,-0.36057539737317024,2.508051942573225,218.06491537850113,-0.2430925027891878,0.15513282159785166,0.25269501953756407,0.25269501953756407,0.25269501953756407
22,1.3400956406250004,104.32655460967132,-0.09670040170731406,0.6100950199739835,85.1760013269431,0.20261629470315604,0.6236784538234108,6.971167428633287,-0.008646056910433504,2.1828745883819374,128.60040695749925,-0.33924316594832604,2.508051942573225,218.20817451610378,-0.25598688642342293,0.16288946267774426,0.2653297705144423,0.2653297705144423,0.2653297705144423
23,1.4071004226562505,104.37343914489486,-0.0874970511358296,0.6161959701737234,85.13559200038937,0.20764544850128,0.6236784538234108,6.970728604728405,0.0057249092179418055,2.2920183178010345,128.8920436533244,-0.3324055426208607,2.508051942573225,218.33797240155016,-0.26388374581201174,0.17103393581163148,0.27859625904016444,0.27859625904016444,0.27859625904016444
24,1.4071004226562505,104.41746479775047,-0.0825547015802135,0.6223579298754607,85.09589440518403,0.2189215100638077,0.6236784538234108,6.969962723390467,0.010043650124624902,2.406619233691086,129.1924533626887,-0.3166019088241429,2.508051942573225,218.4586263474731,-0.2832399743672367,0.17958563260221305,0.2925260719921727,0.2925260719921727,0.2925260719921727
25,1.4071004226562505,104.4602273306134,-0.0787607895663624,0.6285815091742153,85.06057211085461,0.22075323397849936,0.6236784538234108,6.969251362174769,0.009330957649452359,2.5269501953756404,129.49863495904583,-0.2983679174822966,2.508051942573225,218.57305121595988,-0.3041533724359375,0.18856491423232372,0.3071523755917813,0.3071523755917813,0.3071523755917813
26,1.4071004226562505,104.49607170102195,-0.07522454541211682,0.6348673242659575,85.024796555594,0.21853802941427705,0.6236784538234108,6.968811576520377,0.005647411823644193,2.6532977051444226,129.8041802530545,-0.2753100817502867,2.533132461998957,218.69921488906795,-0.33203599364490893,0.18856491423232372,0.3225099943713704,0.3225099943713704,0.3225099943713704
27,1.4071004226562505,104.52537333992117,-0.06989761173834808,0.641215997508617,84.99110984596614,0.20761070740051374,0.6236784538234108,6.968632171240875,0.0023037938744923992,2.6532977051444226,130.08430120017206,-0.25401941313590515,2.5584637866189466,218.8363537363573,-0.35734685271311445,0.1979931599439399,0.3386354940899389,0.3386354940899389,0.3386354940899389
