Metric,Value,Unit
case,market_exposure,-
gamma,0.5,-
beta,0.2,-
expected_social_welfare,3.9943752560994675e10,EUR
social_CVaR,-3.912655219147171e10,EUR
alpha_social,-4.318317581179772e10,EUR
social_CVaR_recomputed,-3.912655219147171e10,EUR
sum_private_CVaR,9.3861342552471e8,EUR
risk_adjusted_objective,NaN,EUR
social_CVaR_gap_vs_SP,NaN,EUR
SP_social_CVaR_benchmark,NaN,EUR
expected_welfare_demand,5.506603666710691e10,EUR
expected_welfare_ex_demand,-1.512228410611224e10,EUR
share_demand_of_E_SW,1.37858946985565,-
welfare_ex_demand_CVaR,1.5970404073541845e10,EUR
welfare_ex_demand_min,-1.956579699597193e10,EUR
welfare_ex_demand_spread,7.9095915026455765e9,EUR
expected_welfare_group_conventional,-8.342604440411409e9,EUR
expected_welfare_group_elec_demand,5.4711722827718346e10,EUR
expected_welfare_group_gc_demand,3.543138393885576e8,EUR
expected_welfare_group_h2_producer,-4.1864625765880376e8,EUR
expected_welfare_group_offtaker_green,-1.9664491126007786e8,EUR
expected_welfare_group_offtaker_grey,-1.3051369323660376e9,EUR
expected_welfare_group_offtaker_import,0.0,EUR
expected_welfare_group_vres,-4.859251564415911e9,EUR
