Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_VRES_Solar_g,Gen_VRES_Wind_g,Gen_Conv_CCGT_g,Gen_Conv_Coal_g,Gen_Conv_Biomass_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Prod_H2_Green_e_in,Prod_H2_Green_q_elec_gc,Prod_H2_Green_h2_out,Prod_H2_Green_q_h2gc,Offtaker_Green_h2_in,Offtaker_Green_q_h2gc,Offtaker_Green_ep,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_VRES_Solar_obj,Gen_VRES_Wind_obj,Gen_Conv_CCGT_obj,Gen_Conv_Coal_obj,Gen_Conv_Biomass_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Prod_H2_Green_obj,Offtaker_Green_obj,Offtaker_Grey_obj,Offtaker_Import_obj
1,1,1,1,15.96931644253334,-4.722729424647975,-6.4660004776804625,4.72272942464801,79.79358689559264,130.39932866153177,9.394890039818152e-20,14678.434442463136,-9.999786651368768e-9,-9.999791547730622e-9,-9.99980134236504e-9,12112.3861,10554.541150703863,2566.0483424331387,4123.893291759275,1710.6988949554257,1710.6988949654253,1710.6988949554257,1272.4943798573026,1283.0241712165694,489.97582879343065,438.2045151081227,-9.999842928315866e-9,-3.370377402677663e-33,-5.238689482212067e-10,-8.805130599442082e-7,-9.011959844105466e-7,-9.456295608516492e-7,-5.9300092009428255e6,-27849.58472547593,-112952.04418958054,-61433.689527212264,13071.629886242648,-1.1959879275058114e-6
2,2,1,1,15.96931644253334,-4.722729424647944,-6.467054544973665,4.72272942464801,79.79358689559264,130.39932866153177,1.7858769453114024e-19,14917.172942463136,-9.999786651368768e-9,-9.999791547730622e-9,-9.99980134236504e-9,12351.1246,10554.541150703912,2566.0483424331387,4362.631791759224,1710.6988949554257,1710.6988949654253,1710.6988949554257,1272.4912029284292,1283.0241712165694,489.97582879343054,438.20769203699615,-9.999842928315866e-9,-1.1940765655200862e-32,-9.89530235528946e-10,-8.805130599442079e-7,-9.011959844105463e-7,-9.456295608516489e-7,-6.043205470970007e6,-27849.584725475914,-111822.74365908068,-61435.74621751609,13071.883384792782,-1.1959879275058114e-6
3,3,1,1,15.96931644253334,83.3304551724131,55.28618999999949,4.72272942464801,79.79358689559264,130.39932866153177,9.999786664918094e-9,15191.995265548077,27.058710839187412,-9.990917132420017e-9,-9.997115012915673e-9,12710.899599999999,10554.54115070394,2508.1543763772756,4637.454114854136,1672.1029175848505,1672.1029175948502,1672.1029175848505,1209.2793988454864,1254.0771881886378,518.9228118213621,462.82351874936387,-9.999842928315866e-9,-8.805130611372629e-7,-1.337703563514983e6,1.864464138634503e-11,-2.0664138439935787e-8,-6.509771488103845e-8,-5.094286039879556e6,-27849.58472547592,10056.106528001284,40455.04322270071,13742.589673434428,-1.1959879275058114e-6
4,4,1,1,15.96931644253334,83.33045517241368,55.286189999999934,4.72272942464801,79.79358689559265,130.39932866153183,9.999786664918094e-9,15191.995265548077,176.54263749608413,-9.990917132420014e-9,-9.997115012915671e-9,13202.6701,10554.541150703953,2165.867803034173,4637.454114854122,1443.9118686894487,1443.9118686994484,1443.9118686894487,850.1929407536683,1082.9339015170865,690.0660984929133,593.7189279457803,-9.999842928315866e-9,-8.805130611372687e-7,-1.337703563514992e6,2.000888343900442e-11,-2.0664138439929964e-8,-6.509771488103262e-8,-5.283262418863991e6,-27849.58472547592,11672.633399591316,19449.68328723064,16539.76732007353,-1.195987927505811e-6
5,5,1,1,15.96931644253334,83.33045517241376,55.28618999999999,4.72272942464801,79.79358689559265,130.39932866153185,9.999786664918094e-9,15191.995265548077,479.393534219688,-9.990917132420014e-9,-9.997115012915671e-9,13792.311099999999,10554.541150703964,1879.0776997577768,4637.454114854111,1252.7184665051846,1252.7184665151842,1252.7184665051846,592.7893354401178,939.5388498788884,833.4611501311114,659.9291310750664,-9.999842928315866e-9,-8.805130611372697e-7,-1.3377035635149933e6,1.4551915228366852e-11,-2.0664138439929117e-8,-6.509771488103178e-8,-5.5090511813084865e6,-27849.58472547593,13027.065459032674,5318.049426847778,15415.39382940234,-1.1959879275058106e-6
6,6,1,1,15.96931644253334,83.33045517241378,55.286190000000005,4.72272942464801,79.79358689559265,130.39932866153185,9.999786664918094e-9,15191.995265548077,1089.5898097273562,-9.990917132420014e-9,-9.997115012915671e-9,14529.1186,10554.54115070397,1752.4664752654433,4637.4541148541075,1168.3109835102953,1168.310983520295,1168.3109835102953,502.59572923514247,876.2332376327214,896.7667623772785,665.7152542851527,-9.999842928315866e-9,-8.805130611372698e-7,-1.3377035635149935e6,1.4551915228366852e-11,-2.066413843992901e-8,-6.509771488103167e-8,-5.789972124691934e6,-27849.584725475914,13625.01601443335,949.9519208804268,13048.315506378742,-1.1959879275058106e-6
7,7,1,1,15.96931644253334,83.33045517241378,55.286190000000005,4.72272942464801,79.79358689559267,130.39932866153185,9.999786664918094e-9,15191.995265548077,1712.9257300794866,-9.990917132420014e-9,-9.997115012915671e-9,15191.085099999998,10554.541150703968,1713.8358956175757,4637.454114854107,1142.5572637450502,1142.55726375505,1142.5572637450502,478.4998332894826,856.9179478087876,916.0820522012122,664.0574304655674,-9.999842928315866e-9,-8.805130611372698e-7,-1.3377035635149935e6,2.9103830456733704e-11,-2.066413843992901e-8,-6.509771488103167e-8,-6.041201180909824e6,-27849.58472547593,13807.4577896275,-109.65374217815406,12052.939493464524,-1.1959879275058106e-6
8,8,1,1,15.96931644253334,83.33045517241379,55.28619000000002,4.72272942464801,79.79358689559267,130.39932866153188,9.999786664918094e-9,15191.995265548077,2153.1139790056222,-9.990917132420014e-9,-9.997115012915671e-9,15645.4546,10554.541150703972,1699.6546445437111,4637.454114854105,1133.1030963624742,1133.1030963724738,1133.1030963624742,470.0448905483194,849.8273222718556,923.1726777381443,663.0582058241544,-9.999842928315866e-9,-8.805130611372699e-7,-1.3377035635149938e6,0.0,-2.06641384399288e-8,-6.509771488103157e-8,-6.213009134751839e6,-27849.584725475906,13874.432001352325,-467.46354133424757,11656.367366053499,-1.1959879275058104e-6
9,9,1,1,15.96931644253334,83.33045517241379,55.28619000000001,4.72272942464801,79.79358689559265,130.39932866153185,9.999786664918094e-9,15191.995265548077,2314.74812459087,-9.990917132420014e-9,-9.997115012915671e-9,15811.0291,10554.541150703972,1695.7142901289578,4637.454114854105,1130.4761934193052,1130.4761934293049,1130.4761934193052,467.7282489916489,847.8571450644788,925.1428549455211,662.747944437656,-9.999842928315866e-9,-8.805130611372699e-7,-1.3377035635149938e6,0.0,-2.06641384399288e-8,-6.509771488103157e-8,-6.275488496851411e6,-27849.584725475906,13893.041229090464,-564.2804772223171,11543.574293679572,-1.1959879275058106e-6
10,10,1,1,15.96931644253334,83.33045517241379,55.28619000000001,4.72272942464801,79.79358689559265,130.39932866153185,9.999786664918094e-9,15191.995265548077,2136.09027732327,-9.990917132420014e-9,-9.997115012915671e-9,15628.021599999998,10554.541150703972,1700.063942861359,4637.454114854105,1133.3759619075724,1133.3759619175723,1133.3759619075724,470.27422200167825,850.0319714306794,922.9680285793205,663.1017399158941,-9.999842928315866e-9,-8.805130611372699e-7,-1.3377035635149938e6,0.0,-2.06641384399288e-8,-6.509771488103157e-8,-6.206426822715102e6,-27849.584725475906,13872.498996144175,-458.30898872787657,11668.985734030794,-1.1959879275058106e-6
