AgentID,Group,Type,elec_net_sum,H2_net_sum,elec_GC_net_sum,H2_GC_net_sum,EP_net_sum,Capacity_Final_MW,Investment_Total_MW,Objective_Value
Gen_VRES_Solar,power,PowerGen,8.633714882014029e6,0.0,8.633714882014029e6,0.0,0.0,25880.99999999,-9.999999504626477e-9,-2.5500767775249825e10
Cons_Elec_01,power,PowerCons,-3.7713263240084946e7,0.0,0.0,0.0,0.0,0.0,0.0,-6.378188996788944e11
Gen_Conv_CCGT,power,PowerGen,1.4405181187825076e7,0.0,0.0,0.0,0.0,0.0,0.0,-7.540805086732866e8
Gen_VRES_Wind,power,PowerGen,1.36557039075588e7,0.0,1.36557039075588e7,0.0,0.0,15191.995265538077,3409.995265538077,-3.795305694987012e10
Gen_Conv_Coal,power,PowerGen,2.714612565371655e6,0.0,0.0,0.0,0.0,0.0,0.0,-9.34455753138153e9
Gen_Conv_Biomass,power,PowerGen,2.890172940639341e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.0584523728374996e10
Prod_H2_Green,H2,H2Prod,-4.586122243323733e6,3.057414828882425e6,-4.639623100696282e6,3.0574148289112933e6,0.0,1710.698894945426,1177.3655616120925,-8.717099339336916e9
Offtaker_Green,offtaker,Offtaker,0.0,-3.057414828882425e6,0.0,-1.3112341819150473e6,2.2930611216618665e6,1283.0241712065695,883.0241712065695,-2.756515099738247e9
Offtaker_Grey,offtaker,Offtaker,0.0,0.0,0.0,-1.7461806469962252e6,2.813178878347636e6,0.0,0.0,-1.6864763560544267e8
Offtaker_Import,offtaker,Offtaker,0.0,0.0,0.0,0.0,-9.519917924945628e-6,0.0,0.0,-0.0890059026404452
Demand_GC_Elec_01,elec_GC_demand,GC_Demand,0.0,0.0,-1.7649795688876856e7,0.0,0.0,0.0,0.0,-1.5992123162595346e9
