iter,AgentID,Slot,jy,x_cap,z_cap,lambda_cap,rho_cap,primal_local,dual_local
1,Gen_VRES_Solar,cap,1,25881.000000000342,25880.99999999,0.0,0.1,1.034277374856174e-8,Inf
2,Gen_VRES_Solar,cap,1,25881.0,25881.0,1.034277374856174e-9,0.1,0.0,1.000080374069512e-9
3,Gen_VRES_Solar,cap,1,25881.0,25881.000000000004,1.034277374856174e-9,0.1,3.637978807091713e-12,3.637978807091713e-13
4,Gen_VRES_Solar,cap,1,25881.0,25881.000000000004,1.0339135769754648e-9,0.10500000000000001,3.637978807091713e-12,0.0
5,Gen_VRES_Solar,cap,1,25881.00000000002,25881.000000000004,1.03353158920072e-9,0.11025000000000001,1.4551915228366852e-11,0.0
6,Gen_VRES_Solar,cap,1,25881.000000000015,25881.0,1.0351359378546474e-9,0.11576250000000002,1.4551915228366852e-11,4.211415216559545e-13
7,Gen_VRES_Solar,cap,1,25881.00000000004,25881.0,1.0368205039412713e-9,0.12155062500000002,4.001776687800884e-11,0.0
8,Gen_VRES_Solar,cap,1,25881.00000000002,25881.000000000004,1.0416846885163975e-9,0.12762815625000004,1.4551915228366852e-11,4.643085276256899e-13
9,Gen_VRES_Solar,cap,1,25881.000000000062,25881.0,1.0435419226269002e-9,0.13400956406250006,6.184563972055912e-11,4.875239540069744e-13
10,Gen_VRES_Solar,cap,1,25881.000000000124,25881.0,1.0518298298450188e-9,0.14071004226562506,1.2369127944111824e-10,0.0
11,Gen_VRES_Solar,cap,1,25881.000000000004,25881.0,1.0692344350030676e-9,0.14774554437890633,3.637978807091713e-12,0.0
12,Gen_VRES_Solar,cap,1,25881.00000000002,25881.0,1.0697719301623603e-9,0.15513282159785166,1.8189894035458565e-11,0.0
13,Gen_VRES_Solar,cap,1,25881.000000000015,25881.000000000004,1.072593779748647e-9,0.16288946267774426,1.0913936421275139e-11,5.925884131201902e-13
14,Gen_VRES_Solar,cap,1,25881.000000000084,25881.0,1.0743715449880076e-9,0.17103393581163148,8.36735125631094e-11,6.222178337761997e-13
15,Gen_VRES_Solar,cap,1,25881.000000000804,25881.000000000004,1.0886825551648601e-9,0.17958563260221305,8.003553375601768e-10,6.533287254650097e-13
16,Gen_VRES_Solar,cap,1,25881.000000000022,25881.00000000073,1.2324148747671623e-9,0.18856491423232372,7.09405867382884e-10,1.3719903234765203e-10
17,Gen_VRES_Solar,cap,1,25881.00000000004,25881.0,1.0986458182282016e-9,0.1979931599439399,4.001776687800884e-11,1.4477927888485981e-10
18,Gen_VRES_Solar,cap,1,25881.000000000116,25881.000000000015,1.1065690623462786e-9,0.18856491423232372,1.0186340659856796e-10,2.7439806469530408e-12
19,Gen_VRES_Solar,cap,1,25881.00000000001,25881.0,1.1257769268749499e-9,0.1979931599439399,1.0913936421275139e-11,2.881179679300693e-12
20,Gen_VRES_Solar,cap,1,25881.00000000002,25881.0,1.1279378116344254e-9,0.2078928179411369,1.8189894035458565e-11,0.0
21,Gen_VRES_Solar,cap,1,25881.000000000033,25881.0,1.1317193599635076e-9,0.21828745883819375,3.2741809263825417e-11,0.0
22,Gen_VRES_Solar,cap,1,25881.00000000029,25881.0,1.138866486305473e-9,0.22920183178010345,2.9103830456733704e-10,0.0
23,Gen_VRES_Solar,cap,1,25881.000000000062,25881.0,1.2055729988304823e-9,0.24066192336910863,6.184563972055912e-11,0.0
24,Gen_VRES_Solar,cap,1,25881.00000000001,25881.000000000044,1.220456889437625e-9,0.25269501953756407,3.2741809263825417e-11,1.1031589508823412e-11
25,Gen_VRES_Solar,cap,1,25881.00000000001,25881.0,1.2121831973060076e-9,0.2653297705144423,1.0913936421275139e-11,1.1583168984264584e-11
26,Gen_VRES_Solar,cap,1,25881.00000000001,25881.0,1.2150789895520738e-9,0.2653297705144423,1.0913936421275139e-11,0.0
27,Gen_VRES_Solar,cap,1,25881.000000000015,25881.0,1.21797478179814e-9,0.27859625904016444,1.4551915228366852e-11,0.0
28,Gen_VRES_Solar,cap,1,25881.000000000033,25881.0,1.2220288909426327e-9,0.2925260719921727,3.2741809263825417e-11,0.0
29,Gen_VRES_Solar,cap,1,25881.000000000095,25881.0,1.2316067237964965e-9,0.3071523755917813,9.458744898438454e-11,0.0
30,Gen_VRES_Solar,cap,1,25881.00000000013,25881.0,1.2606594834532167e-9,0.3225099943713704,1.3096723705530167e-10,0.0
31,Gen_VRES_Solar,cap,1,25881.000000000175,25881.0,1.3028977263387559e-9,0.3386354940899389,1.7462298274040222e-10,0.0
32,Gen_VRES_Solar,cap,1,25881.00000000028,25881.0,1.3620312663785108e-9,0.3555672687944359,2.801243681460619e-10,0.0
33,Gen_VRES_Solar,cap,1,25881.00000000055,25881.0,1.461634322882973e-9,0.37334563223415773,5.493347998708487e-10,0.0
34,Gen_VRES_Solar,cap,1,25881.00000000088,25881.0,1.6667260710489795e-9,0.3920129138458656,8.803908713161945e-10,0.0
35,Gen_VRES_Solar,cap,1,25881.0,25881.0,2.0118506618369414e-9,0.4116135595381589,0.0,0.0
36,Gen_VRES_Solar,cap,1,25881.00000000003,25881.0,2.0118506618369414e-9,0.4116135595381589,2.9103830456733704e-11,0.0
37,Gen_VRES_Solar,cap,1,25881.000000000266,25881.0,2.0238301930874325e-9,0.4321942375150669,2.6557245291769505e-10,0.0
38,Gen_VRES_Solar,cap,1,25881.000000000015,25881.000000000055,2.1386090768812015e-9,0.4538039493908203,4.001776687800884e-11,2.476393725687487e-11
39,Gen_VRES_Solar,cap,1,25881.000000000033,25881.0,2.12044885622616e-9,0.47649414686036135,3.2741809263825417e-11,2.6002134119718614e-11
40,Gen_VRES_Solar,cap,1,25881.000000000033,25881.000000000007,2.136050136697991e-9,0.5003188542033794,2.546585164964199e-11,3.640298776760606e-12
41,Gen_VRES_Solar,cap,1,25881.00000000004,25881.000000000007,2.148791182416653e-9,0.5253347969135485,3.2741809263825417e-11,0.0
42,Gen_VRES_Solar,cap,1,25881.00000000001,25881.000000000007,2.165991594136847e-9,0.5516015367592259,3.637978807091713e-12,0.0
43,Gen_VRES_Solar,cap,1,25881.000000000022,25881.0,2.1679983088375363e-9,0.5791816135971871,2.1827872842550278e-11,4.2141008714474964e-12
44,Gen_VRES_Solar,cap,1,25881.000000000036,25881.0,2.1806406114518786e-9,0.6081406942770465,3.637978807091713e-11,0.0
45,Gen_VRES_Solar,cap,1,25881.00000000001,25881.000000000007,2.202764641026978e-9,0.6385477289908988,3.637978807091713e-12,4.646046210770865e-12
46,Gen_VRES_Solar,cap,1,25881.000000000025,25881.0,2.2050876641323638e-9,0.6081406942770465,2.546585164964199e-11,4.424805915019872e-12
47,Gen_VRES_Solar,cap,1,25881.000000000015,25881.000000000004,2.220574484834933e-9,0.6385477289908988,1.0913936421275139e-11,2.3230231053854326e-12
48,Gen_VRES_Solar,cap,1,25881.00000000004,25881.0,2.2275435541510895e-9,0.6704751154404438,4.001776687800884e-11,2.4391742606547043e-12
49,Gen_VRES_Solar,cap,1,25881.00000000001,25881.000000000007,2.2543744710182914e-9,0.7039988712124661,3.637978807091713e-12,5.1222659473748795e-12
50,Gen_VRES_Solar,cap,1,25881.000000000837,25881.0,2.2569356039919787e-9,0.6704751154404438,8.36735125631094e-10,4.8783485213094086e-12
51,Gen_VRES_Solar,cap,1,25881.000000000164,25881.0,2.8179456839425607e-9,0.7039988712124661,1.6370904631912708e-10,0.0
52,Gen_VRES_Solar,cap,1,25881.0,25881.0,2.9331966677584957e-9,0.7391988147730894,0.0,0.0
53,Gen_VRES_Solar,cap,1,25881.000000014414,25881.0,2.9331966677584957e-9,0.7391988147730894,1.4413672033697367e-8,0.0
54,Gen_VRES_Solar,cap,1,25881.0000000082,25881.000000012988,1.3587765951595613e-8,0.7761587555117438,4.787580110132694e-9,1.0080427299460737e-8
55,Gen_VRES_Solar,cap,1,25881.000000014265,25881.00000000753,9.871843731402243e-9,0.7391988147730894,6.733898771926761e-9,4.033784433557717e-9
56,Gen_VRES_Solar,cap,1,25881.000000007924,25881.000000012973,1.4849533722412466e-8,0.7761587555117438,5.0495145842432976e-9,4.224179058821642e-9
57,Gen_VRES_Solar,cap,1,25881.000000007825,25881.000000007258,1.0930308766767787e-8,0.7761587555117438,5.675246939063072e-10,4.435952741583422e-9
58,Gen_VRES_Solar,cap,1,25881.000000000233,25881.000000007156,1.137079802691229e-8,0.7391988147730894,6.92307366989553e-9,7.529730942641073e-11
59,Gen_VRES_Solar,cap,1,25881.0,25881.0,6.253270175538732e-9,0.7761587555117438,0.0,5.5541177865656215e-9
60,Gen_VRES_Solar,cap,1,25881.00000000006,25881.0,6.253270175538732e-9,0.7391988147730894,5.820766091346741e-11,0.0
61,Gen_VRES_Solar,cap,1,25881.000000000036,25881.0,6.296297209496681e-9,0.7761587555117438,3.637978807091713e-11,0.0
