iter,elec_primal,elec_dual,H2_primal,H2_dual,elec_GC_primal,elec_GC_dual,H2_GC_primal,H2_GC_dual,EP_primal,EP_dual,cap_primal,cap_dual,cap_primal_Green_Coalition,cap_dual_Green_Coalition
1,22370.77552607313,Inf,0.0,Inf,1214.544247442777,Inf,78.22509397539302,Inf,95045.81186377439,Inf,0.0,Inf,0.0,Inf
2,57628.315011397965,25634.79868288004,0.0,0.0,332.37310744115973,71.03752810074154,47045.963804709456,35202.2523639654,17950.563273907974,188853.5927005791,0.0,Inf,0.0,Inf
3,90405.965917498,44519.81836765836,0.0,0.0,2784.8071479812156,739.7069564268011,29663.060040411772,13606.415411881768,18656.921105514484,3297.5084735821697,0.0,Inf,0.0,Inf
4,127752.34124043609,42934.188958722436,0.0,0.0,1081.8950800783493,216.81271819148128,24575.71217669109,4223.200172558968,19686.871811888395,3893.411177548828,0.0,Inf,0.0,Inf
5,148286.0513570829,61249.19116254455,0.0,0.0,13875.498778489313,3317.088008419279,22913.796710791165,1531.2403871551187,21080.34748415583,7663.652069878936,0.0,Inf,0.0,Inf
6,117251.10095147486,48468.92757445619,0.0,0.0,8254.686675764893,1532.9960043529195,19068.117407717993,4260.21307974622,12462.880398109997,25044.058437172815,0.0,Inf,0.0,Inf
7,129200.20023742139,51243.02705323677,0.0,0.0,8641.411107569476,143.42991109800104,8998.108974564217,6408.403919233407,7836.565509425944,45002.29510004132,0.0,Inf,0.0,Inf
8,103269.0944102091,46214.677390740806,0.0,0.0,4147.225331870975,1349.0828664685712,1418.8554763421462,4852.945478869274,12953.32070033156,38691.88533895969,0.0,Inf,0.0,Inf
9,83789.27165859366,40857.54095009662,0.0,0.0,3972.9146922819755,77.58377873080025,6528.617617609691,2476.775534071401,12277.495143979157,22486.72293028784,0.0,Inf,0.0,Inf
10,73812.8990695652,36931.18601982385,0.0,0.0,885.9042410306049,1050.313215077647,8862.66150660538,4105.008159612685,6286.744392259439,12569.617959587107,0.0,Inf,0.0,Inf
11,71081.0647393689,37349.92357971014,0.0,0.0,1535.3783498435291,382.04633085068895,8915.583173861207,4229.256112370448,6104.8999613604165,11349.776824757137,0.0,Inf,0.0,Inf
12,74457.32698142403,38655.63924782883,0.0,0.0,999.3107456520793,868.8824676888078,9083.899596265755,2625.858516709848,7906.990846479347,8222.588725785436,0.0,Inf,0.0,Inf
13,52610.29494247354,34738.78411474799,0.0,0.0,1236.06290256244,764.169658863889,10053.726430993152,1196.5470455632505,7085.422908060081,7387.9205368876055,0.0,Inf,0.0,Inf
14,36336.64876234787,27414.421880894446,0.0,0.0,1165.4563607310834,841.6261944161748,11601.977399116287,1963.1245413833055,4139.953846504847,8579.564261866995,0.0,Inf,0.0,Inf
15,27405.692548081337,24491.695839476026,0.0,0.0,1847.196474728196,294.574070900927,12819.863947622784,1324.6555054806297,2605.793255133423,6697.829192211087,0.0,Inf,0.0,Inf
16,24287.525024773706,22501.73744895993,0.0,0.0,2822.465216386146,414.9592957879397,12717.059887273852,1305.2595006931185,1959.014994052283,4242.265114286705,0.0,Inf,0.0,Inf
17,24018.21157717227,22534.65716918618,0.0,0.0,3322.91739531516,221.86784203246765,11370.619808948783,1279.8771770015849,2801.333941608378,2939.422577920104,0.0,Inf,0.0,Inf
