Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_Conv_CCGT_g,Gen_Conv_Coal_g,Gen_Conv_Biomass_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_Conv_CCGT_obj,Gen_Conv_Coal_obj,Gen_Conv_Biomass_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Offtaker_Grey_obj,Offtaker_Import_obj
1,1,1,1,15.96931644253334,83.07156406056227,128.0,5.588962239046273,94.64266548920014,138.7638244430913,1476.9196162955623,0.0,0.0,12112.386,8810.659519953932,1022.4378882376321,697.6853655054842,0.0,382.3613615780923,0.0,0.0,-4.866610782208497e6,-19457.221547284513,11791.59283213169,0.0
2,2,1,1,15.96931644253334,83.07156406081454,128.0,5.588962239011734,94.64266548919902,138.7638244430951,1715.6581162948614,0.0,0.0,12351.1245,8810.659520027004,1022.4378882376345,697.6853655054529,0.0,444.1686368518567,0.0,0.0,-4.958847174357029e6,-19457.221547589244,11791.592832123919,0.0
3,3,1,1,15.96931644253334,83.07156406073713,128.0,5.588962238959969,94.64266548919906,138.76382444309516,2075.433116294341,0.0,0.0,12710.8995,8810.659520140056,1022.4378882376342,697.6853655053903,0.0,537.3111866880208,0.0,0.0,-5.097576740292283e6,-19457.22154804597,11791.592832117982,0.0
4,4,1,1,15.96931644253334,83.07156406030302,128.0,5.588962238952952,94.64266548919875,138.7638244430951,2567.203616296299,0.0,0.0,13202.67,8810.659520155175,1022.4378882376344,697.6853655053939,0.0,664.6261992377404,0.0,0.0,-5.286680434416834e6,-19457.221548107882,11791.592832118127,0.0
5,5,1,1,15.96931644253334,83.0715640603439,128.0,5.588962238954798,94.64266548919855,138.7638244430951,3156.8446162957534,0.0,0.0,13792.311,8810.659520148009,1022.4378882376344,697.6853655054032,0.0,817.2790133446688,0.0,0.0,-5.512621849822413e6,-19457.221548091584,11791.592832118884,0.0
6,6,1,1,15.96931644253334,83.07156406064745,128.0,5.588962238955035,94.64266548919888,138.76382444309527,3893.6521162946333,0.0,0.0,14529.1185,8810.65952014871,1022.4378882376345,697.6853655053952,0.0,1008.0319252188783,0.0,0.0,-5.793733546298709e6,-19457.221548089503,11791.592832118185,0.0
7,7,1,1,15.96931644253334,83.07156406146318,128.0,5.588962238962172,94.64266548919872,138.76382444309522,4555.61861629298,0.0,0.0,15191.085,8810.659520132718,1022.4378882376345,697.6853655054073,0.0,1179.4091646393645,0.0,0.0,-6.045133979912836e6,-19457.221548026515,11791.592832119291,0.0
8,8,1,1,15.96931644253334,83.07156406084532,128.0,5.588962238953695,94.64266548919895,138.7638244430951,5009.9881162946385,0.0,0.0,15645.4545,8810.659520152034,1022.4378882376345,697.6853655053952,0.0,1297.0413923723972,0.0,0.0,-6.217059566102747e6,-19457.22154810132,11791.592832118418,0.0
9,9,1,1,15.96931644253334,83.07156406091528,128.0,5.588962238970075,94.64266548919869,138.76382444309522,5175.562616294191,0.0,0.0,15811.029,8810.659520117442,1022.4378882376345,697.6853655053933,0.0,1339.9071583625628,0.0,0.0,-6.279581794008959e6,-19457.221547956797,11791.592832117953,0.0
10,10,1,1,15.96931644253334,83.07156406004243,128.0,5.588962238946131,94.64266548919953,138.76382444309525,4992.555116296487,0.0,0.0,15628.021499999999,8810.65952016644,1022.4378882376345,697.6853655053964,0.0,1292.528147633304,0.0,0.0,-6.210472740825451e6,-19457.221548168047,11791.592832118797,0.0
11,11,1,1,15.96931644253334,83.07156286216689,128.0,5.588962237949987,94.64266548920222,138.7638244644893,4400.662748515551,0.0,0.0,15226.458,8810.659521779213,1022.4378879655335,697.6853655051461,0.0,1139.2977455807268,0.0,0.0,-6.058537058052651e6,-19457.221556953933,11791.592824657535,0.0
12,12,1,1,15.96931644253334,83.07156286305627,128.0,5.588962232445923,94.64266548920213,138.76382446396724,2247.7448785277284,0.0,0.0,14672.2095,8810.659530703546,1022.4378879701115,697.6853655049878,0.0,581.9238624485733,0.0,0.0,-5.848169211665955e6,-19457.22160549932,11791.59282493341,0.0
13,13,1,1,15.96931644253334,83.15555813976238,128.0,5.588962237363377,94.64266548919896,138.7638244559085,3210.8607926851496,0.0,0.0,14124.610499999999,8810.65952281154,1022.4378892040368,697.6853655052325,0.0,561.5700248974026,0.0,0.0,-5.638384603144863e6,-19457.221562128252,11791.592767735565,0.0
