iter,elec_primal,elec_dual,H2_primal,H2_dual,elec_GC_primal,elec_GC_dual,H2_GC_primal,H2_GC_dual,EP_primal,EP_dual,cap_primal,cap_dual,cap_primal_Gen_VRES_Solar,cap_dual_Gen_VRES_Solar,cap_primal_Gen_VRES_Wind,cap_dual_Gen_VRES_Wind,cap_primal_Prod_H2_Green,cap_dual_Prod_H2_Green,cap_primal_Offtaker_Green,cap_dual_Offtaker_Green
1,22358.018893977172,Inf,24.255654205255524,Inf,970.4934779162495,Inf,23.425536477823364,Inf,95147.62559269773,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
2,56162.095554353196,29003.730922997198,28571.96233846689,10640.911416604882,4478.598918426541,1009.1082611671433,59183.047358658856,35703.01260696097,10534.84857481544,191333.40721935825,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
3,93778.13548302752,51334.1389512881,16764.271495401088,2435.440282499616,19552.206413340955,2871.8542215473585,49185.961763792744,7120.110340385212,8191.3875719782645,5771.570110355167,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
4,127609.10741809118,69239.84761241749,14289.446198796311,1125.7204210004477,8824.36100723886,3296.7555769560627,48299.383033459846,1188.464916704734,6136.556075524542,5112.964733869771,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
5,154671.81515737835,81487.02388398949,1531.6394264809996,3800.758937428245,32136.727768123666,5119.020781705537,34542.22040707274,11319.15657214348,3628.5003531896964,6315.349117782499,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
6,124688.24603657612,86099.9294527232,732.0881434513582,1989.6687753907645,10460.798542415314,5690.216242464886,37575.49155599014,4175.356365826491,2381.773624988944,3179.868574325516,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
7,115158.52423198361,69095.36384077402,13165.273576596075,3614.3293262663806,34967.79765075256,5558.8899918364705,25287.733655537788,11517.648325842967,639.169461187668,4427.186550679294,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
8,126012.9537083355,80072.7106707174,11391.754202280788,1326.8341900146243,13838.156713759223,5594.296134631871,27459.669734906103,3276.2619946948535,211.45677109976074,1163.2713004446848,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
9,96908.45741981776,65972.160100911,22362.839685103394,3723.59713033875,42207.647221042345,5507.708884901894,17680.272653654603,11125.188979223629,648.9522535492514,1879.7830046443942,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
10,78897.7978365538,56033.990016341166,19955.776441857426,1460.0428720427208,21848.536423677575,5554.937633526875,19293.645085191623,3114.7605973032178,292.69753523210863,1092.9164293203053,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
11,70878.77573387383,51756.54524353142,25559.133483650847,2653.370363414883,37989.55830993089,3888.1911921120545,13627.102535163676,8150.257091569803,417.2792837772261,678.4071126295056,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
12,70926.74599147865,50935.816080096876,24105.021476081005,1379.3855221484025,24349.62241623579,4920.417921627,13719.182203908187,4011.934941904643,1360.577300358778,5039.532548996089,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
13,71469.54668326974,56258.59606044958,27220.86644479997,2559.114024235889,36225.788939197,3734.81793923617,8306.921930120043,7027.230297506375,3701.4639119670987,8961.193013432967,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
14,71039.04669279503,54500.6714323485,23630.44817391819,1675.027069434841,22957.194481776834,5334.71065274599,9115.297903126784,5254.4908147865335,4179.760129601439,8734.721849922953,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
15,70283.08037970278,60886.557405835294,24780.277468134653,2907.5199490272403,33142.23630255675,3946.1560074412146,5825.601343124267,7084.608091348715,4300.850807555053,7860.588847468803,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
16,72061.945970884,56486.610140738594,20158.421191985763,1833.4498650902215,20119.84437231573,5803.231812150714,7749.050982944046,4547.061902650729,2670.592457550652,6637.347109032927,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
17,44199.9667861053,49280.549439780625,21133.76951729267,2869.398781290404,29001.580921490982,4143.218259680852,5386.667635042319,6505.782671180793,1998.9559801503317,5994.1822973734315,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
18,29243.96743449503,30031.704452898015,17497.5944376515,1435.354161990544,19587.64782681096,4667.667564402184,5746.984779417036,2881.8826089922572,1080.9147818328536,6094.449125053342,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
19,21761.739429600915,30170.518905476783,17031.348615048235,1803.1105377362458,21937.670503268833,2631.5898393179714,4049.8327020949323,4172.3766142482655,1157.7556873647516,6729.74641996459,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
20,17174.329415578108,22114.119144831715,14629.025837185716,1253.1216846781847,16687.782292500375,3791.886758075167,4082.442773006228,3083.3120769348234,1260.6248572696577,7275.426661932798,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
21,15103.308162677486,24089.89984709562,13486.070110618124,1623.189252927713,16471.787210541923,2745.5040040889694,2732.677956136949,3774.4459899230633,1693.5110948771387,7618.403227845161,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
22,7719.906683295763,18954.61090237469,11195.99338452494,1372.4116260732103,12831.390291628508,3760.1542525645323,2539.825924321762,3141.454904076872,1854.0159648298402,7520.6771158715155,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
23,3479.7813555246435,18941.22088884812,9550.54026422851,1584.6044630760614,11146.311433651214,3159.1999721685324,2019.5351789149995,3122.0764493137312,1933.7892597838024,7189.410858779368,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
24,2408.7427905135796,17604.384313829607,7704.031372814864,1504.936023206116,9047.97103462159,3547.404454599928,1928.736666781152,2677.4649620746927,1723.2552256920192,6617.911185550956,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
25,2242.9487207086586,17021.576085896475,6106.180394561959,1511.6427560770571,7205.780052325049,3604.775224214166,2016.0533432221948,2489.3287985756165,1458.4466696647885,6064.173632177806,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
26,2339.884338684978,16356.256747285615,4783.460907984927,1475.888431569899,5873.017496424833,3749.5462041311357,2293.6872595021077,2290.5429863120544,1301.412416146158,5610.059076573762,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
27,2440.4739510323784,15659.52713963341,3779.8413377785705,1427.6378086645238,5111.518177246544,3870.7366359086677,2685.2216244559236,2210.1682619004782,1362.1090082516318,5211.415286646335,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
28,2216.152731679521,15170.677698709547,3135.461312459036,1385.421631508884,4913.8498799141225,3917.7868968891335,3235.1626329418245,2271.771456400859,1501.1598702823112,4926.362269035218,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
29,2062.928572042028,14755.358507879631,2851.420138574932,1350.8942746386524,5154.702157084618,3960.6200339401485,3944.8425377235244,2336.6610711657254,1628.4401586082517,4726.826146253138,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
30,2779.3930799426494,14186.509353228188,2912.341532153096,1325.5611560079633,5634.450924846185,3974.5183944425057,4764.019979168143,2407.0629825627057,1730.2158842614908,4568.859238730438,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
31,2062.2039802262575,13774.713380459827,3262.054097844525,1297.9651320246246,6296.016265668116,3996.542541461046,5617.415484279739,2458.508059409669,1819.0789743739367,4432.972738466055,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
32,2233.0340817572874,13519.100351495448,3777.778006170786,1288.2712753309013,6803.527166451109,3931.137616122518,6511.264826906417,2544.4672366871437,1892.5640521186403,4319.139546292788,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
33,1487.1868523741718,13374.488161821944,4387.551370807366,1284.314646752249,7181.016688021699,3856.9048539251503,7425.908300578174,2641.421166161002,1950.7512430437678,4231.9013593814725,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
34,1465.5614943270295,13302.62577700011,5072.000334154689,1277.1208529884425,7472.298673941922,3776.275665909416,8334.923869000131,2733.0829111832963,1990.5289756004188,4175.343878886068,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
35,1136.745025504338,13212.520594604986,5847.091125430414,1261.8468821576614,7681.244493483633,3678.1221063724247,9201.479489301282,2799.8326409105007,2026.4756978997077,4118.670858775062,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
36,905.4377167249526,13154.497771140192,6693.232317033049,1244.7166690278716,7855.620848614886,3587.2554624348295,10025.66387284048,2867.5634743439723,2052.345178532126,4073.3151096339593,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
37,874.7244237924415,13090.090711953031,7598.887171494588,1232.4806656731832,7970.550674447277,3472.2613143130197,10766.770280285622,2915.6888579266665,2140.7177751838035,3931.082254920578,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
38,548.2507336338039,13046.46485154713,8547.571799997482,1214.0961772934497,7988.562190243079,3328.501021982617,11413.744365858236,2941.7753051770237,2307.7480208346474,3738.2457677068805,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
39,598.5636570567065,13004.293542198679,9524.205224008809,1183.143521947981,7923.851231594261,3174.4547003782313,11973.801983393409,2945.0504285660154,2530.3401217798123,3542.3887273929417,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
40,433.76351347319525,12962.893752542015,10511.83696713237,1140.3279087912786,7814.399056293112,3019.16412233126,12466.56787659857,2935.2345629518572,2767.014036006595,3370.4246628436154,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
41,679.1642873212888,12921.687024450908,11499.880341564283,1092.2930609222346,7675.372942587065,2851.6267861702822,12910.2838964769,2927.128865765835,2984.9814994232393,3229.831171274762,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
42,771.4416093432059,12880.75131155022,12476.13264610374,1037.3836878818704,7508.067237691619,2667.547906303202,13315.599049667535,2910.618444068676,3163.4714939556757,3125.9926760341978,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
43,950.6888235467679,12836.750555639735,13434.914864501683,990.2773893448697,7307.251863916853,2475.8206528010696,13665.264786877402,2888.8322090782194,3300.226313234105,3040.3219098058153,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
44,1263.2552552035097,12781.529268109965,14345.686786009055,980.6462525727728,7103.391687748798,2249.4705335878457,13809.266369477631,2679.847825132062,3640.4399728855105,2655.5911407891367,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
