AgentID,Group,Type,elec_net_sum,H2_net_sum,elec_GC_net_sum,H2_GC_net_sum,EP_net_sum,Capacity_Final_MW,Investment_Total_MW,Objective_Value
Gen_VRES_Solar,power,PowerGen,8.325716468436578e6,0.0,8.325716468436578e6,0.0,0.0,25881.000000000087,8.731149137020111e-11,-2.2298913398297043e10
Cons_Elec_01,power,PowerCons,-3.771320820331478e7,0.0,0.0,0.0,0.0,0.0,0.0,-6.413250108397985e11
Gen_Conv_CCGT,power,PowerGen,1.5435824297483273e7,0.0,0.0,0.0,0.0,0.0,0.0,-9.447514321063783e8
Gen_VRES_Wind,power,PowerGen,1.2879702247677684e7,0.0,1.2879702247677684e7,0.0,0.0,14299.86822193227,2517.868221932271,-3.536853572951825e10
Gen_Conv_Coal,power,PowerGen,2.707459545107402e6,0.0,0.0,0.0,0.0,0.0,0.0,-9.165254435001587e9
Gen_Conv_Biomass,power,PowerGen,2.844095990804561e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.0376935371552849e10
Prod_H2_Green,H2,H2Prod,-4.479802415776157e6,2.986534943850774e6,-4.65062628973836e6,2.986534943849383e6,0.0,1134.6116459392028,601.2783126058695,-7.477810497502068e9
Offtaker_Green,offtaker,Offtaker,0.0,-2.986616956101849e6,0.0,-1.3047877079585795e6,2.2399627170763863e6,851.0396773753707,451.03967737537073,-2.0451744731248012e9
Offtaker_Grey,offtaker,Offtaker,0.0,0.0,0.0,-1.681907502244002e6,2.866181862029809e6,0.0,0.0,-1.448564977315417e8
Offtaker_Import,offtaker,Offtaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demand_GC_Elec_01,elec_GC_demand,GC_Demand,0.0,0.0,-1.6554875772852782e7,0.0,0.0,0.0,0.0,-1.3607305182777784e9
