case,agent,type,group,is_demand,scenario_year,probability,welfare
market_exposure,Gen_VRES_Solar,VRES,vres,false,1,0.06666666666666667,-2.4586950000000005e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,2,0.06666666666666667,-2.4586950000000005e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,3,0.06666666666666667,-2.4586950000000005e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,4,0.06666666666666667,-2.4586950000000005e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,5,0.06666666666666667,-2.4586950000000005e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,6,0.06666666666666667,-2.4586950000000005e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,7,0.06666666666666667,-2.4586950000000005e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,8,0.06666666666666667,-2.4586950000000005e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,9,0.06666666666666667,-2.4586950000000005e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,10,0.06666666666666667,-2.4586950000000005e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,11,0.06666666666666667,-2.4586950000000005e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,12,0.06666666666666667,-2.4586950000000005e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,13,0.06666666666666667,-2.4586950000000005e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,14,0.06666666666666667,-2.4586950000000005e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,15,0.06666666666666667,-2.4586950000000005e9
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,1,0.06666666666666667,5.447550775965643e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,2,0.06666666666666667,5.447550775965643e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,3,0.06666666666666667,5.447550775965643e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,4,0.06666666666666667,5.545122581026685e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,5,0.06666666666666667,5.545122581026685e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,6,0.06666666666666667,5.545122581026685e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,7,0.06666666666666667,5.463890195822082e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,8,0.06666666666666667,5.463890195822082e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,9,0.06666666666666667,5.463890195822082e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,10,0.06666666666666667,5.444330329065566e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,11,0.06666666666666667,5.444330330353033e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,12,0.06666666666666667,5.44433063846793e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,13,0.06666666666666667,5.4549528378847374e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,14,0.06666666666666667,5.4549528378847374e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,15,0.06666666666666667,5.4549528378847374e10
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,1,0.06666666666666667,-5.438879457879618e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,2,0.06666666666666667,-5.659397384303829e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,3,0.06666666666666667,-8.012581207481429e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,4,0.06666666666666667,-6.195691261653021e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,5,0.06666666666666667,-7.083587754876127e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,6,0.06666666666666667,-1.0028935842031956e10
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,7,0.06666666666666667,-5.831751501040172e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,8,0.06666666666666667,-6.385936540758246e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,9,0.06666666666666667,-9.041203195605066e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,10,0.06666666666666667,-5.597387718953559e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,11,0.06666666666666667,-6.067770103944049e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,12,0.06666666666666667,-8.590761682786392e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,13,0.06666666666666667,-5.365984254563657e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,14,0.06666666666666667,-5.8812359062201605e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,15,0.06666666666666667,-8.3265896700219145e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,1,0.06666666666666667,-2.2684145490822167e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,2,0.06666666666666667,-2.2684145490822167e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,3,0.06666666666666667,-2.2684145490822167e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,4,0.06666666666666667,-2.2684145490822167e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,5,0.06666666666666667,-2.2684145490822167e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,6,0.06666666666666667,-2.2684145490822167e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,7,0.06666666666666667,-2.2684145490822167e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,8,0.06666666666666667,-2.2684145490822167e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,9,0.06666666666666667,-2.2684145490822167e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,10,0.06666666666666667,-2.2684145490822167e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,11,0.06666666666666667,-2.2684145490822167e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,12,0.06666666666666667,-2.2684145490822167e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,13,0.06666666666666667,-2.2684145490822167e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,14,0.06666666666666667,-2.2684145490822167e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,15,0.06666666666666667,-2.2684145490822167e9
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,1,0.06666666666666667,-7.333626995425858e7
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,2,0.06666666666666667,-1.0930607939544644e9
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,3,0.06666666666666667,-1.093060793954448e9
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,4,0.06666666666666667,-1.6147823193064994e8
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,5,0.06666666666666667,-1.0901398551519632e9
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,6,0.06666666666666667,-1.0926230193497581e9
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,7,0.06666666666666667,-1.0110228714161259e8
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,8,0.06666666666666667,-1.0670450953700393e9
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,9,0.06666666666666667,-1.0702398587543954e9
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,10,0.06666666666666667,-9.142296451412275e7
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,11,0.06666666666666667,-1.0771736869474487e9
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,12,0.06666666666666667,-1.0851723293163373e9
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,13,0.06666666666666667,-1.188761946454704e8
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,14,0.06666666666666667,-1.0174798996784548e9
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,15,0.06666666666666667,-1.0387772371644969e9
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,1,0.06666666666666667,-1.192363422291538e7
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,2,0.06666666666666667,-1.2384614518953743e9
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,3,0.06666666666666667,-1.2384614518965113e9
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,4,0.06666666666666667,-5.945060530484877e7
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,5,0.06666666666666667,-1.3007041832339895e9
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,6,0.06666666666666667,-1.3007041832357347e9
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,7,0.06666666666666667,-4.1104346167899612e6
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,8,0.06666666666666667,-1.2531941430101876e9
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,9,0.06666666666666667,-1.2531941430126758e9
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,10,0.06666666666666667,-2.7476323414469957e7
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,11,0.06666666666666667,-1.2034414967408283e9
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,12,0.06666666666666667,-1.203441496741361e9
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,13,0.06666666666666667,-3.530270433749436e7
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,14,0.06666666666666667,-1.1709083958906627e9
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,15,0.06666666666666667,-1.1709085427729115e9
market_exposure,Prod_H2_Green,GreenProducer,h2_producer,false,1,0.06666666666666667,-4.186726108870478e8
