iter,elec_primal,elec_dual,H2_primal,H2_dual,elec_GC_primal,elec_GC_dual,H2_GC_primal,H2_GC_dual,EP_primal,EP_dual,cap_primal,cap_dual,cap_primal_Gen_VRES_Solar,cap_dual_Gen_VRES_Solar,cap_primal_Gen_VRES_Wind,cap_dual_Gen_VRES_Wind,cap_primal_GreenH2_Coalition,cap_dual_GreenH2_Coalition
1,22321.63587810787,Inf,0.0,Inf,934.3669471477638,Inf,1.4927611192023407,Inf,95147.62559253282,Inf,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
2,33435.80594368366,42146.339213946994,0.0,0.0,5751.386008627187,3038.6062990699597,47182.82317967437,35167.35762958497,408.7129107975769,198385.23251486963,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
3,69736.59071109268,30818.257191988043,0.0,0.0,26594.51111904676,4768.161304554938,37116.99405797217,7879.252657509615,3750.1613425723153,8231.618888994966,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
4,134945.36771429176,59448.87129443448,0.0,0.0,14848.002072861284,3530.848224696214,35880.120912012964,1062.721250096388,3746.509045170174,1520.728740860626,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
5,155223.98715638203,81884.56532666329,0.0,0.0,44092.115474011494,4406.167829707721,30086.21666165219,5021.147771072091,11243.091934721531,18684.063000771625,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
6,108902.86432980312,70963.98133241026,0.0,0.0,14439.444099810586,6121.322696058897,32812.837055133365,2486.7858899877383,7686.1088387135505,8868.589992576468,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
7,91904.21080753933,57024.72567234304,0.0,0.0,35579.14945944546,4026.812766598911,28226.58184491175,4363.293357970771,13645.461951807674,14612.11040379871,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
8,94949.76316807416,56193.57614277581,0.0,0.0,16109.083151882407,4754.416739904381,29713.81792715655,1527.2513248294845,11713.944420687076,5612.469549128028,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
9,68942.17189801756,49238.80591923289,0.0,0.0,34041.088397744854,3561.5375694077393,25405.33360432583,3113.2351821288075,14851.793156126192,14237.506265659493,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
10,53080.45580413403,36529.86045220102,0.0,0.0,18135.047940686112,4305.117858055099,18168.722499201293,9859.592242728186,2295.9824268478174,35093.256211720014,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
11,47302.380048486775,35861.72563426604,0.0,0.0,27261.87892195622,2790.539077380634,8148.007136653361,6820.43189966628,11638.751107220856,37673.21464798426,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
12,45692.55220781348,34782.759042109414,0.0,0.0,20344.173470430396,4148.984682520044,3320.184471916261,4367.449020107755,18382.07350758916,19978.304894504865,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
13,48717.955345414965,37785.59451983547,0.0,0.0,28564.66967071875,3379.0408389186728,1897.3155983581391,3461.994335705129,13967.523655647401,8384.174654603808,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
14,35552.76109755544,32862.08987271281,0.0,0.0,22166.821048867027,4523.4357939597085,4404.133793242552,4170.584283168333,7207.330148567974,14864.403428555212,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
15,26050.560085673136,28837.610845431394,0.0,0.0,26566.530920440367,2956.7122400194594,6259.947935270181,5265.918237611196,2494.078655058657,14101.699660863345,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
16,21976.53373159079,23521.040789624643,0.0,0.0,21895.482547505984,3576.63974314162,7621.307948292706,1993.5496658922207,5093.347196200969,7091.919050775289,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
17,20081.620541889013,25201.570963401784,0.0,0.0,22766.440022835093,2493.5131048694484,6616.656771088572,747.7677814682728,5469.359977880972,4943.056845824552,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
18,12210.016899171485,19790.699221599745,0.0,0.0,18633.951248833804,3475.263980915893,4996.313837995663,2188.990764057194,2060.3575552389557,9198.194367012593,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
19,7060.31083689055,19797.309727289445,0.0,0.0,17671.120586063935,2798.9210402420563,3638.9502560316755,2021.8042296187623,1259.3957896325016,10503.148602658477,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
20,3772.5003198929217,18087.269998435757,0.0,0.0,15513.531434787796,3362.193454963614,3717.379837855808,1544.3098890434262,3341.9350000891077,7553.584929513292,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
21,3389.7154071747646,17617.63113491478,0.0,0.0,13629.182286032361,3312.9439306695317,4123.021116605436,608.3065294179137,3603.6750516492193,4083.0458802521557,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
22,2538.3803454476297,16894.311357884835,0.0,0.0,11741.321481166382,3492.3911744794295,4141.582534986594,1160.8321077262378,2602.316140009374,2062.4898614537956,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
23,2750.6391421439967,16357.305980682877,0.0,0.0,9799.566782029973,3463.7337611059447,3831.298832355561,1791.4419990183198,1431.54886738695,2920.249546011671,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
24,3358.376497820598,15574.711372728345,0.0,0.0,8289.5516567858,3457.1090628802194,3444.108757751424,1770.2156932600087,2214.717840635915,2870.8450399107655,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
25,2658.9481718259053,15043.373651978085,0.0,0.0,7064.18875893898,3388.634939431524,3194.2756223717274,1386.5843516175405,3360.418511076601,2067.2127324730677,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
26,2838.379032691908,14553.59476712658,0.0,0.0,6636.508415433827,3304.725053928892,3158.2662118821886,936.6154889015561,4072.041276029151,1473.8458300069387,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
27,2684.347007207371,14054.253670025035,0.0,0.0,6709.589403231288,3173.853190086852,3334.6245758713685,683.907815622414,4448.613538672421,1593.579813052654,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
28,2630.3408028450426,13675.496097133178,0.0,0.0,7248.043553280458,3037.558320116905,3682.2477763151123,547.7323363597513,4610.665435353516,1740.9452516255094,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
29,2518.254928998423,13375.782955642191,0.0,0.0,7919.288657370788,2879.901067803918,4121.833885393818,510.30501234535365,4710.014427689011,1724.2273172799196,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
30,1664.1698147886123,13249.003626541977,0.0,0.0,8450.941292500074,2706.5097107827646,4600.961422242187,511.19288236666836,4808.287832825021,1638.22216296821,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
31,1520.2979584772133,13162.61008870542,0.0,0.0,8683.257168295942,2508.389756243491,5105.668847450752,525.7120971453782,4893.783194871534,1617.0038653807756,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
32,1143.85761025783,13094.422585232194,0.0,0.0,8804.757291449996,2354.020570390905,5597.707143312674,483.1444551096869,4917.212966075533,1560.6439187368892,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
33,958.4052153268244,13047.439855017874,0.0,0.0,8863.492143062667,2233.555866040684,6062.336237143464,438.85034892274734,4865.906816705361,1504.4022389374331,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
34,844.1361253973242,13004.43868180841,0.0,0.0,8782.966253280863,2124.154436445514,6496.017851019316,416.9509183782481,4763.441225384953,1446.521521168402,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
35,684.943939543503,12968.56919548938,0.0,0.0,8548.208700897712,2017.7392523782898,6868.027587686007,375.96936233274994,4663.237431574974,1268.8639001609095,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
36,657.0352296812445,12932.268615257473,0.0,0.0,8228.759951770866,1910.1409615272612,7152.982150995876,340.2420870457626,4593.220440830239,1014.2211251224443,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
37,810.2038155598448,12893.730163808237,0.0,0.0,7883.799271884825,1804.0075031987612,7295.3457282976515,382.05328717885754,4606.017747156202,724.8665147863314,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
38,884.0277085786033,12852.00134289282,0.0,0.0,7517.673563969155,1719.9146811449448,7289.571051558733,572.3415783691912,4716.110152608007,502.31158208159616,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
39,1298.0184817074753,12805.867422692636,0.0,0.0,7139.3115383591985,1671.0087403873158,7181.160692506086,725.319924649513,4912.413792346912,385.5715239130659,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
40,1684.3913483603342,12741.607037952985,0.0,0.0,6770.485891195269,1632.284845749788,7017.920997319238,838.9519445402051,5148.712826965243,417.49708089472114,0.0,Inf,0.0,Inf,0.0,Inf,0.0,Inf
