Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_VRES_Solar_g,Gen_VRES_Wind_g,Gen_Conv_CCGT_g,Gen_Conv_Coal_g,Gen_Conv_Biomass_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_VRES_Solar_obj,Gen_VRES_Wind_obj,Gen_Conv_CCGT_obj,Gen_Conv_Coal_obj,Gen_Conv_Biomass_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Offtaker_Grey_obj,Offtaker_Import_obj
1,1,1,1,15.96931644253334,83.63660344223177,-7.222374900541804,5.587405782493708,90.01464482786628,136.20982435746345,0.0,12922.798481993013,687.8486718744616,0.0,0.0,12112.386,8947.95753259207,1023.8450063288919,423.6245140752183,0.0,0.0,-1.153023890966613e6,-210.58368079096545,0.0,0.0,-4.859766807112515e6,-19467.21966553985,-13566.54549658572,0.0
2,2,1,1,15.96931644253334,83.63660344223221,-7.222305671474684,5.606204455146672,90.01464482786608,136.20982435746328,0.0,12922.798481993013,926.5871718744577,0.0,0.0,12351.1245,8905.991388299497,1023.8450063288919,423.62237147381285,0.0,0.0,-1.1532668224250418e6,-283.67305950530863,0.0,0.0,-4.951868302609736e6,-19301.93463229623,-13566.738362090153,0.0
3,3,1,1,15.96931644253334,83.63660344223226,-7.222205295664992,5.691721724584007,90.01464482786635,136.20982435746302,0.0,12922.798481993017,1286.3621718744578,0.0,0.0,12710.8995,8715.082693043521,1023.8450063288918,423.6240871084029,0.0,0.0,-1.1543719448647117e6,-393.8175532792811,0.0,0.0,-5.090394581500556e6,-18558.83484824663,-13566.583929851506,0.0
4,4,1,1,15.96931644253334,83.63660344223288,-7.222286812317646,5.796805006972554,90.01464482786619,136.20982435746325,0.0,12922.798481993019,1778.1326718744515,0.0,0.0,13202.67,8480.494843524652,1023.8450063288922,423.6265149317579,0.0,0.0,-1.1557299149468536e6,-544.3722410031769,0.0,0.0,-5.27922040592021e6,-17665.475266935835,-13566.365390194813,0.0
5,5,1,1,15.96931644253334,83.6366034422324,55.28618999999988,5.848887755863716,90.01464482787331,136.20982435746296,0.0,12922.798481993019,2367.773671874449,0.0,0.0,13792.311,8364.22534963675,1023.8450063288919,531.7967703913524,0.0,0.0,-1.1564029698151562e6,-724.8898129664303,0.0,0.0,-5.504828650940159e6,-17230.771836715707,-3829.458264055749,0.0
6,6,1,1,15.96931644253334,83.63660344223236,55.28618999999998,5.848887755818655,90.01464482788927,136.20982435746265,0.0,12922.798481993019,3104.5811718744517,0.0,0.0,14529.1185,8364.225349737313,1023.8450063288917,688.4683662359911,0.0,0.0,-1.1564029698145732e6,-950.4621542806563,0.0,0.0,-5.785524022166495e6,-17230.771837089487,10273.279790526809,0.0
7,7,1,1,15.96931644253334,83.63660344223265,55.28619000000001,5.848887755818669,90.01464482789144,136.20982435746265,0.0,12922.798481993019,3766.5476718744508,0.0,0.0,15191.085,8364.225349737326,1023.8450063288918,701.040824891809,0.0,0.0,-1.1564029698145774e6,-1153.1220529346028,0.0,0.0,-6.03655041865122e6,-17230.771837089364,11404.985191045096,0.0
8,8,1,1,15.96931644253334,83.63660344223324,55.28619000000002,5.848887755818581,90.01464482789241,136.20982435746268,0.0,12922.798481993019,4220.917171874452,0.0,0.0,15645.4545,8364.225349737324,1023.8450063288918,698.5954548577585,0.0,0.0,-1.1564029698145837e6,-1292.2264892205712,0.0,0.0,-6.208219268170534e6,-17230.771837090106,11184.866075957922,0.0
9,9,1,1,15.96931644253334,83.63660344223267,55.28619000000001,5.848887755818581,90.01464482789144,136.2098243574626,0.0,12922.798481993019,4386.491671874452,0.0,0.0,15811.029,8364.225349737324,1023.845006328892,697.7059567798358,0.0,0.0,-1.1564029698145764e6,-1342.9168359192554,0.0,0.0,-6.2706479399648085e6,-17230.771837090106,11104.798222398007,0.0
10,10,1,1,15.96931644253334,83.63660344223264,55.28619000000002,5.848887755818669,90.0146448278923,136.2098243574626,0.0,12922.798481993019,4203.484171874456,0.0,0.0,15628.021499999999,8364.225349737326,1023.8450063288917,698.676519496091,0.0,0.0,-1.1564029698145771e6,-1286.8894064303022,0.0,0.0,-6.201642293212235e6,-17230.771837089364,11192.163080585568,0.0
11,11,1,1,15.96931644253334,83.6366034415508,55.28619000000001,5.848887720890411,90.0146448278942,136.2098243574628,190.32887399949325,12922.798481993019,3611.591797879161,0.0,0.0,15226.458,8364.225427620402,1023.845006328892,701.4035128979225,0.0,-17031.672772239042,-1.156402969354395e6,-1105.68257775018,0.0,0.0,-6.049933491402366e6,-17230.772126822783,11437.632423100527,0.0
12,12,1,1,15.96931644253334,83.63660344147624,-7.223374485316955,5.729500782190565,90.01464482786612,136.2098243574633,1788.9982439994933,12922.798481993017,1458.6739278790135,0.0,0.0,14672.2095,8630.744749947175,1023.8450063288919,423.62458344906224,0.0,-159875.80352921563,-1.1548601560032312e6,-446.57049814668426,0.0,0.0,-5.839878817923376e6,-18235.149969077116,-13566.539251923721,0.0
13,13,1,1,15.96931644253334,83.527619781593,55.286190000000026,5.544438263862172,90.01464482789278,136.20982435741385,4567.685927999492,8355.429200508854,2699.725310632894,0.0,0.0,14124.610499999999,8995.763925016885,1023.8450063287451,700.8196816228486,0.0,-406853.1861121796,-744235.2747424158,-532.2902857621375,0.0,0.0,-5.633129377372015e6,-19850.239382975487,11385.079058291856,0.0
14,14,1,1,15.96931644253334,83.48620084133194,55.286190000000026,5.428733075860017,90.01464482789095,136.20982435739592,5062.504766999492,6619.613062810223,3649.3417462593443,0.0,0.0,13833.241500000002,9235.778414498207,1023.8450063286898,694.4101797372002,0.0,-450132.2768132291,-588582.4580371515,-568.3691713820444,0.0,0.0,-5.5225377588476995e6,-20894.30765445392,10808.130022551399,0.0
