AgentID,Group,Type,elec_net_sum,H2_net_sum,elec_GC_net_sum,H2_GC_net_sum,EP_net_sum,Capacity_Final_MW,Investment_Total_MW,Objective_Value
Gen_VRES_Solar,power,PowerGen,8.300059577649813e6,0.0,8.300059577649813e6,0.0,0.0,25881.000000000004,3.637978807091713e-12,-2.345012891855261e10
Cons_Elec_01,power,PowerCons,-3.7713132615196444e7,0.0,0.0,0.0,0.0,0.0,0.0,-6.355283396164075e11
Gen_Conv_CCGT,power,PowerGen,1.5990502435821276e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.1136548846367557e9
Gen_VRES_Wind,power,PowerGen,1.1835216618461452e7,0.0,1.1835216618461452e7,0.0,0.0,12922.798481995615,1140.7984819956146,-3.662231572892358e10
Gen_Conv_Coal,power,PowerGen,2.8909643228819873e6,0.0,0.0,0.0,0.0,0.0,0.0,-9.367430713694578e9
Gen_Conv_Biomass,power,PowerGen,2.984330750272724e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.0592991727748333e10
Offtaker_Grey,offtaker,Offtaker,0.0,0.0,0.0,-1.7607727855647034e6,2.962240297003626e6,0.0,0.0,-1.2626151298499168e8
Offtaker_Import,offtaker,Offtaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demand_GC_Elec_01,elec_GC_demand,GC_Demand,0.0,0.0,-1.5493670361966927e7,0.0,0.0,0.0,0.0,-1.253746679058143e9
GreenH2_Coalition,merged,GreenH2Coalition,-4.287871404404769e6,-1.2107648217352107e-11,-4.641973069695964e6,1.7607535370893157e6,2.1439357022023844e6,1747.87000304116,814.5366697078268,7.406969123901367e6
