case,scenario_year,probability,social_welfare,social_loss,welfare_demand,welfare_ex_demand
green_h2_social_planner,1,0.06666666666666667,4.3203324319544174e10,-4.3203324319544174e10,5.485781617090381e10,-1.1654491851359627e10
green_h2_social_planner,2,0.06666666666666667,4.024195751188634e10,-4.024195751188634e10,5.485733213536172e10,-1.4615374623475365e10
green_h2_social_planner,3,0.06666666666666667,3.73914419140944e10,-3.73914419140944e10,5.485732773063118e10,-1.746588581653678e10
green_h2_social_planner,4,0.06666666666666667,4.319400658817789e10,-4.319400658817789e10,5.57733413131489e10,-1.2579334724971022e10
green_h2_social_planner,5,0.06666666666666667,3.964368582730228e10,-3.964368582730228e10,5.577334044584061e10,-1.612965461853833e10
green_h2_social_planner,6,0.06666666666666667,3.6205139438058365e10,-3.6205139438058365e10,5.577319607337335e10,-1.9568056635314987e10
green_h2_social_planner,7,0.06666666666666667,4.290155246544258e10,-4.290155246544258e10,5.498742779037272e10,-1.2085875324930141e10
green_h2_social_planner,8,0.06666666666666667,3.9636875333515045e10,-3.9636875333515045e10,5.498727007176274e10,-1.5350394738247692e10
green_h2_social_planner,9,0.06666666666666667,3.648432109326701e10,-3.648432109326701e10,5.498723108590021e10,-1.8502909992633186e10
green_h2_social_planner,10,0.06666666666666667,4.294632715628211e10,-4.294632715628211e10,5.480860540431605e10,-1.1862278248033937e10
green_h2_social_planner,11,0.06666666666666667,3.9818673232312775e10,-3.9818673232312775e10,5.480839456752685e10,-1.498972133521407e10
green_h2_social_planner,12,0.06666666666666667,3.679867224107944e10,-3.679867224107944e10,5.480835047434854e10,-1.80096782332691e10
green_h2_social_planner,13,0.06666666666666667,4.326454682829266e10,-4.326454682829266e10,5.492955427135154e10,-1.1665007443058878e10
green_h2_social_planner,14,0.06666666666666667,4.022086265608713e10,-4.022086265608713e10,5.492939878742099e10,-1.4708536131333855e10
green_h2_social_planner,15,0.06666666666666667,3.72798414443176e10,-3.72798414443176e10,5.492939900508996e10,-1.764955756077236e10
