Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_VRES_Solar_g,Gen_VRES_Wind_g,Gen_Conv_CCGT_g,Gen_Conv_Coal_g,Gen_Conv_Biomass_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Prod_H2_Green_e_in,Prod_H2_Green_q_elec_gc,Prod_H2_Green_h2_out,Prod_H2_Green_q_h2gc,Offtaker_Green_h2_in,Offtaker_Green_q_h2gc,Offtaker_Green_ep,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_VRES_Solar_obj,Gen_VRES_Wind_obj,Gen_Conv_CCGT_obj,Gen_Conv_Coal_obj,Gen_Conv_Biomass_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Prod_H2_Green_obj,Offtaker_Green_obj,Offtaker_Grey_obj,Offtaker_Import_obj
1,1,1,1,15.96931644253334,-9.930545315453745,2.117550217732535,5.148549105609526,87.20163175656108,134.09347123542884,0.0,13743.807840145617,0.0,0.0,0.0,12112.386,9784.533008529977,1631.7742324908709,3959.27776124138,1087.8494883272472,1087.8494883258884,1087.9345270828144,1087.8848213715971,815.9508953121109,957.0294502980183,4.6679028620470994e-9,0.0,0.0,65722.83700040361,0.0,0.0,0.0,-5.993088229785022e6,-23534.909866672715,-89722.14992728471,-2453.1895848104177,-46299.69829464992,0.0
2,2,1,1,15.96931644253334,-9.86693578974033,2.1176197345732097,5.08402062643472,87.2016317545491,134.09347123542878,0.0,13982.54628351366,0.0,0.0,0.0,12351.1245,9928.392370289292,1631.774232490869,4054.1585573475995,1087.849488327246,1087.8494883258873,1087.9345270828146,1087.8848213720316,815.9508953121109,957.0294502980183,4.667902871396852e-9,0.0,0.0,66877.33264103999,0.0,0.0,0.0,-6.106742156854464e6,-24164.5283404004,-89391.53941206228,-2453.1139571901003,-46299.698294649876,0.0
3,3,1,1,15.96931644253334,83.55832590022689,45.84266945101679,5.18515562508606,87.23959714559692,134.09347123600267,0.0,14232.311566015052,110.27126959724222,0.0,0.0,12710.8995,9830.147651877467,1631.4456081639057,4402.1081595165715,1087.630405442604,1087.6304054412367,1087.9345270811377,1087.5487762667806,815.9508953108532,957.0294503022396,4.588332142632796e-9,0.0,0.0,-1.2630248785211546e6,-25.127594459998363,0.0,0.0,-5.091389559470093e6,-23172.680411787675,17665.051341759492,45128.862860403446,-46299.69829541008,0.0
4,4,1,1,15.96931644253334,83.54613146315683,45.64950534474006,5.346614450798684,87.37426401787259,134.09347123585528,0.0,14232.31156602752,602.168794086699,0.0,0.0,13202.67,9470.199391796286,1631.586944691937,4762.0520332177975,1087.7246297946247,1087.724629793262,1087.9345270812455,1087.6445123506435,815.950895310934,957.0294503017936,4.040496760121613e-9,0.0,0.0,-1.2651492558071346e6,-129.87353190982685,0.0,0.0,-5.280414877604199e6,-21647.31986774524,20343.577196730068,45073.53462192211,-46299.6982952947,0.0
5,5,1,1,15.96931644253334,83.532370322651,53.3415751877908,5.421876084622623,86.32931532289953,134.09347123639253,0.0,14232.311566025412,1192.0324912424412,0.0,0.0,13792.311,9302.414990227888,1631.7742324687983,4929.834387733572,1087.8494883125322,1087.849488311157,1087.9345270767956,1032.269629393438,815.9508953075966,957.0294503115398,55.58903374944692,0.0,0.0,-1.2660245499893147e6,-240.68941955686023,0.0,0.0,-5.506266266541926e6,-20953.877374923184,14357.562328392261,47524.99454307249,-41500.735073582095,0.0
6,6,1,1,15.96931644253334,83.53237032466036,56.11986988054953,5.4218760717287235,86.32931532261611,134.09346679427756,0.0,14232.311566025412,1928.8399912465031,0.0,0.0,14529.1185,9302.41501897321,1631.7742324756223,4929.8343589886,1087.8494883170815,1087.8494883157064,1087.9344805140777,595.7727653416251,815.9508603855583,957.0297401948535,492.0858978071481,0.0,0.0,-1.2660245498344027e6,-389.46202049180283,0.0,0.0,-5.787038437483323e6,-20953.87749276677,11335.195652599563,12865.127126571053,-3818.2694319260627,0.0
7,7,1,1,15.96931644253334,83.53237032449107,55.607650038243314,5.421876037685147,86.32931532264561,134.0934710024377,0.0,14232.311566025412,2590.8064912454206,0.0,0.0,15191.085,9302.415094867929,1631.7742324746785,4929.834283094807,1087.8494883164522,1087.8494883150772,1087.9345266436778,481.9049796734487,815.9508949827584,957.0294517473686,605.9536834745344,0.0,0.0,-1.2660245493474745e6,-523.1230866826372,0.0,0.0,-6.038133832802648e6,-20953.87780390759,11892.413166342521,2477.732431915312,6011.868469396621,0.0
8,8,1,1,15.96931644253334,83.53237032467744,56.17804655056306,5.421875920971853,86.32931532261084,134.09345810270054,0.0,14232.311566025412,3045.175991246689,0.0,0.0,15645.4545,9302.41535506306,1631.7742324757214,4929.834022902847,1087.8494883171475,1087.8494883157725,1087.9344098286904,458.561435821872,815.9508073715177,957.0299252461951,629.2972273269944,0.0,0.0,-1.2660245476890272e6,-614.8671739421843,0.0,0.0,-6.209850042668646e6,-20953.87887060712,11271.905626504362,1083.0689934919938,8027.090065609125,0.0
9,9,1,1,15.96931644253334,83.53237032454918,55.773541393500544,5.421875984389789,86.329315322635,134.0934715205228,0.0,14232.311566025412,3210.7504912457935,0.0,0.0,15811.029,9302.415213682176,1631.7742324749968,4929.83416428201,1087.8494883166645,1087.8494883152894,1087.9345258426538,453.3464719922817,815.9508943819903,957.0294610481835,634.5121911559713,0.0,0.0,-1.2660245485897854e6,-648.2991739086574,0.0,0.0,-6.272295972811262e6,-20953.878290999775,11711.947433587717,192.77455615680083,8477.303938382203,0.0
10,10,1,1,15.96931644253334,83.53237032467851,56.17998380096834,5.4218759517066335,86.32931532261075,134.09345768555815,0.0,14232.311566025412,3027.7429912466855,0.0,0.0,15628.021499999999,9302.415286544547,1631.7742324757246,4929.8340914205255,1087.8494883171497,1087.8494883157746,1087.934406146426,459.1415223335487,815.9508046098193,957.0299330805328,628.7171408153204,0.0,0.0,-1.2660245481264691e6,-611.3471870960202,0.0,0.0,-6.203271250614383e6,-20953.878589707005,11269.798712655756,1135.2555369326728,7977.0116144322965,0.0
