iter,rho,price_mean,imb_mean,primal_res,dual_res
1,1.0,24.56410721321372,0.4358927867862756,23.424193106935824,Inf
2,1.0,1127.375082788554,-1102.8109755753394,59183.04738606919,35703.012198316566
3,1.05,2089.7108670554635,-916.5102707303912,49185.961459886625,7120.1103405283
4,1.1025,3081.9497967600714,-899.9899589157435,48299.38297741481,1188.4649725202564
5,1.1576250000000001,3826.992874870558,-643.5962233974627,34542.94322808306,11318.407251496343
6,1.2155062500000002,4550.22881211493,-700.0094063874925,37574.76649731979,4177.15488174338
7,1.2762815625000004,5076.448464173144,-470.9387398030156,25295.39754383395,11507.232568050395
8,1.3400956406250004,5585.291767982358,-510.238462428709,27449.75230275375,3268.3434678465906
9,1.4071004226562505,5934.399139665092,-323.68429268707405,17635.300702523236,11159.87287468764
10,1.477455443789063,6276.3352384506725,-355.22157318909893,19293.468636679787,3180.7872417644144
11,1.5513282159785162,6534.349072272877,-247.8396853735884,13612.564247626075,8124.535371755103
12,1.628894626777442,6806.013935928815,-248.5261143084727,13790.86212916315,3969.7666699780307
13,1.7103393581163142,6976.111114838981,-143.88288758690703,8433.55121841859,6976.383619082921
14,1.79585632602213,7140.344524076861,-155.65580354347713,9197.257662340771,5478.08213310228
15,1.8856491423232367,7244.316416754796,-91.11570409792948,6179.7552084145655,7015.118464292605
16,1.8856491423232367,7364.475005926506,-123.88341835137204,7693.871743314017,4686.567814228523
17,1.9799315994393987,7446.199767119818,-77.90861725425437,5789.590745872042,6621.262628469624
18,1.9799315994393987,7547.456413642071,-93.71695117705531,5997.509086435776,3066.819993083231
19,2.0789281794113688,7619.722143263103,-61.84441411433571,4637.1508697994595,4698.28114545943
20,2.0789281794113688,7692.087335243594,-61.92953317948044,4738.5386860506405,3386.366709873543
21,2.1828745883819374,7735.458138591743,-34.31934815922733,3390.4604215582945,4219.959123016663
22,2.0789281794113688,7772.013993112634,-29.488357201606913,3159.2244249267055,3530.1497571126183
23,2.0789281794113688,7786.0297356686215,-13.301200019517326,2381.9073539547894,3644.355870055001
24,1.9799315994393987,7792.9999400355655,-6.743297167094843,2095.160575191754,3125.8022994856483
25,1.8856491423232367,7792.985179430873,0.014557373021515711,1847.2594233306143,2903.8729736470314
26,1.79585632602213,7785.66302481671,7.361559572075012,1732.520609577905,2678.7760432727528
27,1.7103393581163142,7769.6973937899,16.36323239418028,1807.713525441154,2472.7905107443557
28,1.628894626777442,7743.365109480149,27.512092308585842,2111.582713138938,2322.4079774739307
29,1.628894626777442,7711.029951366072,39.74579128720077,2601.069510407093,2240.775875232015
30,1.628894626777442,7674.296389882581,53.12026955877892,3268.134792936886,2158.584853108843
31,1.7103393581163142,7632.777549971851,67.27198126049771,4022.1723910455257,2170.8067312669223
32,1.79585632602213,7587.620319194375,81.98003225058773,4838.242990768904,2197.9147772705624
33,1.8856491423232367,7539.911689545328,97.04418140971562,5688.935676891301,2245.165473921436
34,1.9799315994393987,7490.625564055207,112.32825502807091,6551.720019632297,2309.346183287188
35,2.0789281794113688,7440.763142848308,127.32962854630874,7386.197285514861,2352.4329331715053
36,2.1828745883819374,7391.273620377999,141.59931342271938,8165.508611425452,2385.1906570581164
37,2.2920183178010345,7337.892390600675,155.2670248829384,8904.746718877324,2440.058805138722
38,2.406619233691086,7277.3068116301465,167.83039632905835,9578.803118644777,2491.7642149421767
39,2.5269501953756404,7209.531561293318,178.80645335724827,10158.954323507061,2513.3640013198906
40,2.6532977051444226,7134.63229935213,188.1916273372248,10645.041410616233,2508.7634076909458
41,2.785962590401644,7052.567116865998,196.37780437509298,11062.262839193281,2495.171738861523
42,2.9252607199217264,6963.141015243867,203.80200874202885,11438.087979972555,2475.006933400595
43,3.071523755917813,6866.173350630898,210.46592792072462,11771.109036441849,2452.974465379453
44,3.225099943713704,6761.959167386479,215.42316013607368,12000.972326951283,2395.8503924089305
45,3.386354940899389,6652.21506731163,216.05157953052642,11974.89609438834,2203.0437210330488
46,3.5556726879443583,6538.510069434773,213.18984780269076,11753.975361930628,1973.6819026366068
47,3.7334563223415764,6418.5162342717795,208.0268416750742,11413.225585736822,1757.6359459774862
48,3.9201291384586554,6293.104080656121,201.03586519474428,10982.310455050505,1562.2827079611557
49,4.116135595381588,6163.208070245557,192.53212591580547,10479.977244779868,1473.886029275111
50,4.321942375150668,6030.080497097749,182.4521078645035,9902.862454336684,1593.47067318536
51,4.538039493908202,5895.286867823771,170.81409838887703,9250.493605693318,1902.5677591116325
52,4.764941468603612,5760.355707521856,158.1029878799741,8546.993391768454,2311.5419613993295
53,5.003188542033793,5625.523641203376,146.08125419671373,7886.6316703490675,2599.571257733412
54,5.253347969135483,5490.312422182116,135.45264912373136,7306.24637392593,2752.117323740556
55,5.516015367592257,5353.988930320931,126.27545817193608,6807.718861195133,2787.161209124864
56,5.791816135971871,5215.8024748069865,118.35516212891626,6379.569226742501,2749.355899394314
57,6.081406942770465,5075.13527102914,111.40073548230062,6005.168196676747,2677.473720877993
58,6.385477289908988,4931.6124374207275,105.09684530583671,5666.959939617247,2599.832198339555
59,6.704751154404438,4785.08085155738,99.21410200727571,5352.216006349893,2536.241670976226
60,7.03998871212466,4635.551583862943,93.61422336142314,5053.272848021547,2497.5445262990106
61,7.391988147730893,4483.233013634919,88.1742883036192,4763.684026762594,2484.24447066475
62,7.761587555117438,4328.603674798831,82.76647967685534,4476.326638556339,2479.551576058782
63,8.149666932873311,4172.252510929835,77.38150630111035,4189.763899467691,2480.0449655504085
64,8.557150279516977,4014.7575111433016,72.07361530359054,3906.3357773191406,2492.646539221928
