case,agent,type,group,is_demand,scenario_year,probability,welfare
green_h2_social_planner,Gen_VRES_Solar,VRES,vres,false,1,0.06666666666666667,-2.4586950000001225e9
green_h2_social_planner,Gen_VRES_Solar,VRES,vres,false,2,0.06666666666666667,-2.4586950000001225e9
green_h2_social_planner,Gen_VRES_Solar,VRES,vres,false,3,0.06666666666666667,-2.4586950000001225e9
green_h2_social_planner,Gen_VRES_Solar,VRES,vres,false,4,0.06666666666666667,-2.4586950000001225e9
green_h2_social_planner,Gen_VRES_Solar,VRES,vres,false,5,0.06666666666666667,-2.4586950000001225e9
green_h2_social_planner,Gen_VRES_Solar,VRES,vres,false,6,0.06666666666666667,-2.4586950000001225e9
green_h2_social_planner,Gen_VRES_Solar,VRES,vres,false,7,0.06666666666666667,-2.4586950000001225e9
green_h2_social_planner,Gen_VRES_Solar,VRES,vres,false,8,0.06666666666666667,-2.4586950000001225e9
green_h2_social_planner,Gen_VRES_Solar,VRES,vres,false,9,0.06666666666666667,-2.4586950000001225e9
green_h2_social_planner,Gen_VRES_Solar,VRES,vres,false,10,0.06666666666666667,-2.4586950000001225e9
green_h2_social_planner,Gen_VRES_Solar,VRES,vres,false,11,0.06666666666666667,-2.4586950000001225e9
green_h2_social_planner,Gen_VRES_Solar,VRES,vres,false,12,0.06666666666666667,-2.4586950000001225e9
green_h2_social_planner,Gen_VRES_Solar,VRES,vres,false,13,0.06666666666666667,-2.4586950000001225e9
green_h2_social_planner,Gen_VRES_Solar,VRES,vres,false,14,0.06666666666666667,-2.4586950000001225e9
green_h2_social_planner,Gen_VRES_Solar,VRES,vres,false,15,0.06666666666666667,-2.4586950000001225e9
green_h2_social_planner,Cons_Elec_01,Consumer,elec_demand,true,1,0.06666666666666667,5.447550775965643e10
green_h2_social_planner,Cons_Elec_01,Consumer,elec_demand,true,2,0.06666666666666667,5.447550775965643e10
green_h2_social_planner,Cons_Elec_01,Consumer,elec_demand,true,3,0.06666666666666667,5.447550775965643e10
green_h2_social_planner,Cons_Elec_01,Consumer,elec_demand,true,4,0.06666666666666667,5.545122581026685e10
green_h2_social_planner,Cons_Elec_01,Consumer,elec_demand,true,5,0.06666666666666667,5.545122581026685e10
green_h2_social_planner,Cons_Elec_01,Consumer,elec_demand,true,6,0.06666666666666667,5.545122581026685e10
green_h2_social_planner,Cons_Elec_01,Consumer,elec_demand,true,7,0.06666666666666667,5.463890195822082e10
green_h2_social_planner,Cons_Elec_01,Consumer,elec_demand,true,8,0.06666666666666667,5.463890195822082e10
green_h2_social_planner,Cons_Elec_01,Consumer,elec_demand,true,9,0.06666666666666667,5.463890195822082e10
green_h2_social_planner,Cons_Elec_01,Consumer,elec_demand,true,10,0.06666666666666667,5.444337204626502e10
green_h2_social_planner,Cons_Elec_01,Consumer,elec_demand,true,11,0.06666666666666667,5.44433698759757e10
green_h2_social_planner,Cons_Elec_01,Consumer,elec_demand,true,12,0.06666666666666667,5.4443369875682846e10
green_h2_social_planner,Cons_Elec_01,Consumer,elec_demand,true,13,0.06666666666666667,5.4549528378847374e10
green_h2_social_planner,Cons_Elec_01,Consumer,elec_demand,true,14,0.06666666666666667,5.4549528378847374e10
green_h2_social_planner,Cons_Elec_01,Consumer,elec_demand,true,15,0.06666666666666667,5.4549528378847374e10
green_h2_social_planner,Gen_Conv_CCGT,Conventional,conventional,false,1,0.06666666666666667,-5.387261703603658e9
green_h2_social_planner,Gen_Conv_CCGT,Conventional,conventional,false,2,0.06666666666666667,-5.613136669033671e9
green_h2_social_planner,Gen_Conv_CCGT,Conventional,conventional,false,3,0.06666666666666667,-7.947092950823776e9
green_h2_social_planner,Gen_Conv_CCGT,Conventional,conventional,false,4,0.06666666666666667,-6.1587678649946785e9
green_h2_social_planner,Gen_Conv_CCGT,Conventional,conventional,false,5,0.06666666666666667,-7.031906898249732e9
green_h2_social_planner,Gen_Conv_CCGT,Conventional,conventional,false,6,0.06666666666666667,-9.95582093892634e9
green_h2_social_planner,Gen_Conv_CCGT,Conventional,conventional,false,7,0.06666666666666667,-5.789532624584255e9
green_h2_social_planner,Gen_Conv_CCGT,Conventional,conventional,false,8,0.06666666666666667,-6.340478457883454e9
green_h2_social_planner,Gen_Conv_CCGT,Conventional,conventional,false,9,0.06666666666666667,-8.976863355658207e9
green_h2_social_planner,Gen_Conv_CCGT,Conventional,conventional,false,10,0.06666666666666667,-5.551406921634348e9
green_h2_social_planner,Gen_Conv_CCGT,Conventional,conventional,false,11,0.06666666666666667,-6.020613594357187e9
