Metric,Value,Unit
case,green_social_planner,-
gamma,0.5,-
beta,0.8,-
expected_social_welfare,3.989854905970464e10,EUR
social_CVaR,-3.638958346986e10,EUR
alpha_social,-3.667252823223414e10,EUR
social_CVaR_recomputed,-3.638958346986e10,EUR
sum_private_CVaR,2.0193989206119003e9,EUR
risk_adjusted_objective,NaN,EUR
social_CVaR_gap_vs_SP,NaN,EUR
SP_social_CVaR_benchmark,NaN,EUR
expected_welfare_demand,5.503526801669616e10,EUR
expected_welfare_ex_demand,-1.5136718956991514e10,EUR
share_demand_of_E_SW,1.3793801858393586,-
welfare_ex_demand_CVaR,1.876251093521345e10,EUR
welfare_ex_demand_min,-1.9625646530206764e10,EUR
welfare_ex_demand_spread,8.011108577696381e9,EUR
expected_welfare_group_conventional,-8.577980728456088e9,EUR
expected_welfare_group_elec_demand,5.4711671067072876e10,EUR
expected_welfare_group_gc_demand,3.2359694962328196e8,EUR
expected_welfare_group_green_coalition,-5.253594235048376e9,EUR
expected_welfare_group_offtaker_grey,-1.3051439934870486e9,EUR
expected_welfare_group_offtaker_import,0.0,EUR
