Metric,Value,Unit
case,social_planner,-
gamma,0.5,-
beta,0.8,-
expected_social_welfare,3.991592304259635e10,EUR
social_CVaR,-3.6776087211804726e10,EUR
alpha_social,-3.768166796537667e10,EUR
social_CVaR_recomputed,-3.6776087211804726e10,EUR
sum_private_CVaR,NaN,EUR
risk_adjusted_objective,3.834600512720054e10,EUR
social_CVaR_gap_vs_SP,0.0,EUR
SP_social_CVaR_benchmark,-3.6776087211804726e10,EUR
expected_welfare_demand,5.511412179063576e10,EUR
expected_welfare_ex_demand,-1.5198198748039373e10,EUR
share_demand_of_E_SW,1.3807552873528834,-
welfare_ex_demand_CVaR,1.8455432758613632e10,EUR
welfare_ex_demand_min,-1.940518472948011e10,EUR
welfare_ex_demand_spread,7.401561345019213e9,EUR
expected_welfare_group_conventional,-7.396012518241306e9,EUR
expected_welfare_group_elec_demand,5.471186967859581e10,EUR
expected_welfare_group_gc_demand,4.022521120399355e8,EUR
expected_welfare_group_h2_producer,-7.175915620216454e8,EUR
expected_welfare_group_offtaker_green,-2.867839850544706e8,EUR
expected_welfare_group_offtaker_grey,-1.3051427811180966e9,EUR
expected_welfare_group_offtaker_import,0.010661172410211068,EUR
expected_welfare_group_vres,-5.492667901614513e9,EUR
