AgentID,Group,Type,elec_net_sum,H2_net_sum,elec_GC_net_sum,H2_GC_net_sum,EP_net_sum,Capacity_Final_MW,Investment_Total_MW,Objective_Value
Gen_VRES_Solar,power,PowerGen,8.363022565232483e6,0.0,8.363022565232483e6,0.0,0.0,25881.000000000724,7.239577826112509e-10,-2.3179794680933758e10
Cons_Elec_01,power,PowerCons,-3.771318549031918e7,0.0,0.0,0.0,0.0,0.0,0.0,-6.391208586153452e11
Gen_Conv_CCGT,power,PowerGen,1.5518693408881838e7,0.0,0.0,0.0,0.0,0.0,0.0,-8.657947831489072e8
Gen_VRES_Wind,power,PowerGen,1.2451037746869925e7,0.0,1.2451037746869925e7,0.0,0.0,13866.708266807314,2084.7082668073144,-3.5914743643129105e10
Gen_Conv_Coal,power,PowerGen,2.7821210398673452e6,0.0,0.0,0.0,0.0,0.0,0.0,-9.20200783835281e9
Gen_Conv_Biomass,power,PowerGen,2.863752913515889e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.040956232454696e10
Offtaker_Grey,offtaker,Offtaker,0.0,0.0,0.0,-1.6403509588230662e6,2.973518910687658e6,0.0,0.0,-1.454557189059186e8
Offtaker_Import,offtaker,Offtaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demand_GC_Elec_01,elec_GC_demand,GC_Demand,0.0,0.0,-1.6265937826611789e7,0.0,0.0,0.0,0.0,-1.3425016267537255e9
GreenH2_Coalition,merged,GreenH2Coalition,-4.265442231267514e6,-9.094947017729282e-13,-4.548122635772303e6,1.6403509801568226e6,2.132721115633757e6,1771.9656016693089,0.0,-1018.5625
