Metric,Value,Unit
case,green_h2_social_planner,-
gamma,1.0,-
beta,0.8,-
expected_social_welfare,3.99552632340983e10,EUR
social_CVaR,-3.654661918967604e10,EUR
alpha_social,-3.685549404061934e10,EUR
social_CVaR_recomputed,-3.654661918967604e10,EUR
sum_private_CVaR,5.501862411032991e9,EUR
risk_adjusted_objective,NaN,EUR
social_CVaR_gap_vs_SP,301.1458740234375,EUR
SP_social_CVaR_benchmark,-3.6546619490821915e10,EUR
expected_welfare_demand,5.508123303786551e10,EUR
expected_welfare_ex_demand,-1.5125969803767214e10,EUR
share_demand_of_E_SW,1.378572647992431,-
welfare_ex_demand_CVaR,1.865271165262486e10,EUR
welfare_ex_demand_min,-1.9534855529170506e10,EUR
welfare_ex_demand_spread,7.851071185486633e9,EUR
expected_welfare_group_conventional,-8.174499215005544e9,EUR
expected_welfare_group_elec_demand,5.4711760457988205e10,EUR
expected_welfare_group_gc_demand,3.6947257987730074e8,EUR
expected_welfare_group_green_h2_coalition,-6.222917784983754e8,EUR
expected_welfare_group_offtaker_grey,-1.3051427809038682e9,EUR
expected_welfare_group_offtaker_import,0.0,EUR
expected_welfare_group_vres,-5.024036029359422e9,EUR
