case,scenario_year,probability,social_welfare,social_loss,welfare_demand,welfare_ex_demand
green_h2_social_planner,1,0.06666666666666667,4.318552875905297e10,-4.318552875905297e10,5.486931310273684e10,-1.1683784343683872e10
green_h2_social_planner,2,0.06666666666666667,4.027682518774441e10,-4.027682518774441e10,5.486931310274029e10,-1.459248791499588e10
green_h2_social_planner,3,0.06666666666666667,3.747388454410981e10,-3.747388454410981e10,5.486931310274106e10,-1.7395428558631245e10
green_h2_social_planner,4,0.06666666666666667,4.312584368551185e10,-4.312584368551185e10,5.578218703193403e10,-1.2656343346422186e10
green_h2_social_planner,5,0.06666666666666667,3.963054511261723e10,-3.963054511261723e10,5.578218703190302e10,-1.6151641919285793e10
green_h2_social_planner,6,0.06666666666666667,3.624733150273267e10,-3.624733150273267e10,5.5782187031903175e10,-1.9534855529170506e10
green_h2_social_planner,7,0.06666666666666667,4.2849430390994606e10,-4.2849430390994606e10,5.499698567581175e10,-1.214755528481715e10
green_h2_social_planner,8,0.06666666666666667,3.963818926858097e10,-3.963818926858097e10,5.499698567581982e10,-1.5358796407238846e10
green_h2_social_planner,9,0.06666666666666667,3.653703202567611e10,-3.653703202567611e10,5.499698567582063e10,-1.845995365014452e10
green_h2_social_planner,10,0.06666666666666667,4.2900693070970085e10,-4.2900693070970085e10,5.481881981917193e10,-1.191812674820185e10
green_h2_social_planner,11,0.06666666666666667,3.9825320038735825e10,-3.9825320038735825e10,5.481881981917809e10,-1.499349978044227e10
green_h2_social_planner,12,0.06666666666666667,3.685549404061934e10,-3.685549404061934e10,5.481881981917889e10,-1.7963325778559547e10
green_h2_social_planner,13,0.06666666666666667,4.321461196801299e10,-4.321461196801299e10,5.493885955967857e10,-1.1724247591665583e10
green_h2_social_planner,14,0.06666666666666667,4.022707493850992e10,-4.022707493850992e10,5.493885955968191e10,-1.4711784621171991e10
green_h2_social_planner,15,0.06666666666666667,3.734114397760575e10,-3.734114397760575e10,5.4938859559682686e10,-1.7597715582076946e10
