Metric,Value,Unit
case,green_social_planner,-
gamma,1.0,-
beta,0.8,-
expected_social_welfare,3.9955263217032425e10,EUR
social_CVaR,-3.654661917030139e10,EUR
alpha_social,-3.685549403522659e10,EUR
social_CVaR_recomputed,-3.654661917030139e10,EUR
sum_private_CVaR,4.870660066674388e9,EUR
risk_adjusted_objective,NaN,EUR
social_CVaR_gap_vs_SP,320.52052307128906,EUR
SP_social_CVaR_benchmark,-3.6546619490821915e10,EUR
expected_welfare_demand,5.508123303714239e10,EUR
expected_welfare_ex_demand,-1.5125969820109968e10,EUR
share_demand_of_E_SW,1.3785726485631549,-
welfare_ex_demand_CVaR,1.8652711670998745e10,EUR
welfare_ex_demand_min,-1.953485555210511e10,EUR
welfare_ex_demand_spread,7.851071193262676e9,EUR
expected_welfare_group_conventional,-8.17449922143737e9,EUR
expected_welfare_group_elec_demand,5.471176045794344e10,EUR
expected_welfare_group_gc_demand,3.6947257919895095e8,EUR
expected_welfare_group_green_coalition,-5.646327831618647e9,EUR
expected_welfare_group_offtaker_grey,-1.3051427670539484e9,EUR
expected_welfare_group_offtaker_import,0.0,EUR
