Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_VRES_Solar_g,Gen_VRES_Wind_g,Gen_Conv_CCGT_g,Gen_Conv_Coal_g,Gen_Conv_Biomass_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Prod_H2_Green_e_in,Prod_H2_Green_q_elec_gc,Prod_H2_Green_h2_out,Prod_H2_Green_q_h2gc,Offtaker_Green_h2_in,Offtaker_Green_q_h2gc,Offtaker_Green_ep,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_VRES_Solar_obj,Gen_VRES_Wind_obj,Gen_Conv_CCGT_obj,Gen_Conv_Coal_obj,Gen_Conv_Biomass_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Prod_H2_Green_obj,Offtaker_Green_obj,Offtaker_Grey_obj,Offtaker_Import_obj
1,1,1,1,15.96931644253334,-5.275904361179195,-2.6821410782357678,5.275785586315253,83.72561021200558,132.60126351902753,0.0,13631.213723415935,0.0,0.0,0.0,12112.386,9448.423548068607,1518.8276580736197,4182.790141047351,1012.5517720490797,1012.5517720487486,1012.5517588005987,440.53178848493167,759.4138191004491,1013.5861809434206,572.0199702603461,0.0,0.0,1.6190455553587526,0.0,0.0,0.0,-5.93670942185544e6,-22318.201826459735,-64968.7384966196,-57418.27997475624,369.3711976483464,0.0
2,2,1,1,15.96931644253334,83.3303677836388,53.740407076837506,5.2757860100016325,83.72561070836268,132.60126552509482,0.0,13866.708266773787,3.243838729782664,0.0,0.0,12351.1245,9448.42354806531,1518.8276550955911,4418.284690046624,1012.5517700637274,1012.551770063396,1012.5517578494952,440.5314747799109,759.4138183871213,1013.5861818350061,572.0202839652767,0.0,0.0,-1.2286756852973034e6,0.0002834750928855101,0.0,0.0,-4.955650657355363e6,-22318.197823291383,13720.587333232354,-287.55713932837534,369.3956715861568,0.0
3,3,1,1,15.96931644253334,83.3303677829979,53.74027067893035,5.275786010001769,83.72561070878818,132.60126552402798,0.0,13866.708266773785,363.0188387297924,0.0,0.0,12710.8995,9448.423548065319,1518.8276550930375,4418.284690046615,1012.551770062025,1012.5517700616937,1012.5517578500009,440.5317478316219,759.4138183875007,1013.586181834532,572.0200109135659,0.0,0.0,-1.2286756852884179e6,0.03172400427501998,0.0,0.0,-5.094287112188401e6,-22318.197823290087,13720.725441787043,-287.6723868687259,369.37281151185744,0.0
4,4,1,1,15.96931644253334,83.33036778299801,53.74027067936277,5.27578601000136,83.72561070878818,132.60126552402798,0.0,13866.708266773785,854.789338729793,0.0,0.0,13202.67,9448.423548065324,1518.8276550930377,4418.28469004661,1012.5517700620251,1012.5517700616937,1012.5517578500011,440.53157219851994,759.4138183875008,1013.586181834532,572.0201865466678,0.0,0.0,-1.228675685288414e6,0.07469954092812259,0.0,0.0,-5.28326353427132e6,-22318.19782329396,13720.725441347546,-287.6870914195897,369.38751650057384,0.0
5,5,1,1,15.96931644253334,83.33036778299798,53.74027067953628,5.27578601000136,83.72561070878807,132.60126552402815,0.0,13866.708266773785,1444.4303387297932,0.0,0.0,13792.311,9448.423548065331,1518.8276550930375,4418.284690046602,1012.5517700620251,1012.5517700616937,1012.5517578500009,440.5316730495025,759.4138183875007,1013.5861818345318,572.0200856956852,0.0,0.0,-1.2286756852884134e6,0.1262279234797461,0.0,0.0,-5.50905234839161e6,-22318.197823293965,13720.725441171875,-287.6786474339897,369.3790726902371,0.0
6,6,1,1,15.96931644253334,83.33036778299623,53.74027069137784,5.275786010002042,83.72561070878801,132.60126552402832,0.0,13866.708266773787,2181.2378387297927,0.0,0.0,14529.1185,9448.423548065333,1518.8276550930377,4418.284690046597,1012.5517700620253,1012.5517700616939,1012.5517578500005,440.5319266302701,759.4138183875003,1013.5861818345327,572.0198321149177,0.0,0.0,-1.2286756852883988e6,0.1906171042646747,0.0,0.0,-5.789973356348462e6,-22318.197823287504,13720.725429182086,-287.657404239304,369.3578414853837,0.0
7,7,1,1,15.96931644253334,83.33036778299623,53.74027069118709,5.27578601000136,83.72561070878804,132.60126552402798,0.0,13866.708266773785,2843.2043387297917,0.0,0.0,15191.085,9448.423548065339,1518.8276550930377,4418.284690046596,1012.5517700620253,1012.5517700616939,1012.5517578500009,440.53163876988435,759.4138183875007,1013.586181834532,572.0201199753035,0.0,0.0,-1.2286756852883892e6,0.24846597117721103,0.0,0.0,-6.041202470580712e6,-22318.19782329395,13720.725429372178,-287.6815057187923,369.3819427723647,0.0
8,8,1,1,15.96931644253334,83.33036778299805,53.74027069140983,5.27578601000095,83.72561070878818,132.60126552402798,0.0,13866.708266773785,3297.5738387297943,0.0,0.0,15645.4545,9448.423548065344,1518.8276550930377,4418.284690046592,1012.5517700620253,1012.5517700616939,1012.5517578500006,440.5317636556179,759.4138183875006,1013.586181834532,572.01999508957,0.0,0.0,-1.2286756852884085e6,0.2881730510853231,0.0,0.0,-6.213010464243375e6,-22318.19782329782,13720.72542914741,-287.6710493588762,369.3714866381488,0.0
9,9,1,1,15.96931644253334,83.33036778299623,53.740270691412896,5.27578601000136,83.72561070878801,132.60126552402798,0.0,13866.708266773785,3463.148338729793,0.0,0.0,15811.029,9448.423548065342,1518.8276550930377,4418.284690046592,1012.5517700620253,1012.5517700616939,1012.5517578500006,440.5317825176711,759.4138183875006,1013.586181834532,572.0199762275166,0.0,0.0,-1.2286756852883892e6,0.3026425162679516,0.0,0.0,-6.27548984085383e6,-22318.197823293965,13720.725429143538,-287.66947011892626,369.3699074010947,0.0
10,10,1,1,15.96931644253334,83.33036778299805,53.74027069117664,5.27578601000095,83.7256107087883,132.60126552402798,0.0,13866.708266773785,3280.1408387297924,0.0,0.0,15628.021499999999,9448.423548065344,1518.8276550930377,4418.284690046592,1012.5517700620251,1012.5517700616939,1012.5517578500009,440.53164986595414,759.4138183875007,1013.586181834532,572.0201088792334,0.0,0.0,-1.2286756852884085e6,0.286649591405876,0.0,0.0,-6.20642815067882e6,-22318.19782329782,13720.725429383441,-287.68057670403505,369.3810137472756,0.0
