AgentID,Group,Type,elec_net_sum,H2_net_sum,elec_GC_net_sum,H2_GC_net_sum,EP_net_sum,Capacity_Final_MW,Investment_Total_MW,Objective_Value
Gen_VRES_Solar,power,PowerGen,8.363022565191838e6,0.0,8.363022565191838e6,0.0,0.0,25881.000000037096,3.70964698959142e-8,-2.3179794873138695e10
Cons_Elec_01,power,PowerCons,-3.771318549031909e7,0.0,0.0,0.0,0.0,0.0,0.0,-6.391208589439094e11
Gen_Conv_CCGT,power,PowerGen,1.5518693408838952e7,0.0,0.0,0.0,0.0,0.0,0.0,-8.657946132628754e8
Gen_VRES_Wind,power,PowerGen,1.2451037746848136e7,0.0,1.2451037746848136e7,0.0,0.0,13866.708266839047,2084.7082668390467,-3.591474354925893e10
Gen_Conv_Coal,power,PowerGen,2.7821210398648656e6,0.0,0.0,0.0,0.0,0.0,0.0,-9.202007809072168e9
Gen_Conv_Biomass,power,PowerGen,2.863752913511117e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.0409562293326279e10
Prod_H2_Green,H2,H2Prod,-4.265442228987085e6,2.8436281526580574e6,-4.548122621568505e6,2.843628152657735e6,0.0,1012.5517720494013,479.2184387160679,-5.5710742775564995e9
Offtaker_Green,offtaker,Offtaker,0.0,-2.8436281182972277e6,0.0,-1.203277159223104e6,2.132721088722921e6,759.4138191004567,359.41381910045675,-1.6798237526320682e9
Offtaker_Grey,offtaker,Offtaker,0.0,0.0,0.0,-1.640350959076395e6,2.973518911251665e6,0.0,0.0,-1.4545680008074972e8
Offtaker_Import,offtaker,Offtaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demand_GC_Elec_01,elec_GC_demand,GC_Demand,0.0,0.0,-1.6265937827045783e7,0.0,0.0,0.0,0.0,-1.3425016831841762e9
