Metric,Value,Unit
case,market_exposure,-
gamma,1.0,-
beta,0.8,-
expected_social_welfare,3.995526323665957e10,EUR
social_CVaR,-3.654661919218227e10,EUR
alpha_social,-3.685549404290913e10,EUR
social_CVaR_recomputed,-3.654661919218227e10,EUR
sum_private_CVaR,5.504340410993307e9,EUR
risk_adjusted_objective,NaN,EUR
social_CVaR_gap_vs_SP,298.6396484375,EUR
SP_social_CVaR_benchmark,-3.6546619490821915e10,EUR
expected_welfare_demand,5.508123303786633e10,EUR
expected_welfare_ex_demand,-1.5125969801206757e10,EUR
share_demand_of_E_SW,1.3785726479040803,-
welfare_ex_demand_CVaR,1.8652711650119846e10,EUR
welfare_ex_demand_min,-1.9534855527034103e10,EUR
welfare_ex_demand_spread,7.851071185984192e9,EUR
expected_welfare_group_conventional,-8.174499214981931e9,EUR
expected_welfare_group_elec_demand,5.471176045798815e10,EUR
expected_welfare_group_gc_demand,3.694725798781832e8,EUR
expected_welfare_group_h2_producer,-4.24025733133631e8,EUR
expected_welfare_group_offtaker_green,-1.982660426202596e8,EUR
expected_welfare_group_offtaker_grey,-1.305142781102188e9,EUR
expected_welfare_group_offtaker_import,0.0,EUR
expected_welfare_group_vres,-5.024036029368748e9,EUR
