case,scenario_year,probability,social_welfare,social_loss,welfare_demand,welfare_ex_demand
market_exposure,1,0.06666666666666667,4.3185528761688484e10,-4.3185528761688484e10,5.48693131027384e10,-1.1683784341049911e10
market_exposure,2,0.06666666666666667,4.027682519038031e10,-4.027682519038031e10,5.486931310274225e10,-1.4592487912361938e10
market_exposure,3,0.06666666666666667,3.747388454671395e10,-3.747388454671395e10,5.486931310274306e10,-1.7395428556029106e10
market_exposure,4,0.06666666666666667,4.312584368820003e10,-4.312584368820003e10,5.578218703193569e10,-1.2656343343735666e10
market_exposure,5,0.06666666666666667,3.96305451149539e10,-3.96305451149539e10,5.5782187031905594e10,-1.615164191695169e10
market_exposure,6,0.06666666666666667,3.624733150487234e10,-3.624733150487234e10,5.578218703190645e10,-1.9534855527034103e10
market_exposure,7,0.06666666666666667,4.284943039366726e10,-4.284943039366726e10,5.499698567581259e10,-1.2147555282145327e10
market_exposure,8,0.06666666666666667,3.9638189271685555e10,-3.9638189271685555e10,5.4996985675820114e10,-1.5358796404134563e10
market_exposure,9,0.06666666666666667,3.653703202876534e10,-3.653703202876534e10,5.499698567582095e10,-1.8459953647055607e10
market_exposure,10,0.06666666666666667,4.29006930735454e10,-4.29006930735454e10,5.481881981917227e10,-1.1918126745626877e10
market_exposure,11,0.06666666666666667,3.982532004104417e10,-3.982532004104417e10,5.4818819819178154e10,-1.4993499778133987e10
market_exposure,12,0.06666666666666667,3.685549404290913e10,-3.685549404290913e10,5.481881981917896e10,-1.7963325776269825e10
market_exposure,13,0.06666666666666667,4.321461197067972e10,-4.321461197067972e10,5.493885955967606e10,-1.172424758899635e10
market_exposure,14,0.06666666666666667,4.0227074940864624e10,-4.0227074940864624e10,5.493885955968156e10,-1.471178461881693e10
market_exposure,15,0.06666666666666667,3.734114397992339e10,-3.734114397992339e10,5.493885955968287e10,-1.7597715579759464e10
