case,agent,type,group,is_demand,scenario_year,probability,welfare
market_exposure,Gen_VRES_Solar,VRES,vres,false,1,0.06666666666666667,-2.4586950000035243e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,2,0.06666666666666667,-2.4586950000035243e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,3,0.06666666666666667,-2.4586950000035243e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,4,0.06666666666666667,-2.4586950000035243e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,5,0.06666666666666667,-2.4586950000035243e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,6,0.06666666666666667,-2.4586950000035243e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,7,0.06666666666666667,-2.4586950000035243e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,8,0.06666666666666667,-2.4586950000035243e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,9,0.06666666666666667,-2.4586950000035243e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,10,0.06666666666666667,-2.4586950000035243e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,11,0.06666666666666667,-2.4586950000035243e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,12,0.06666666666666667,-2.4586950000035243e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,13,0.06666666666666667,-2.4586950000035243e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,14,0.06666666666666667,-2.4586950000035243e9
market_exposure,Gen_VRES_Solar,VRES,vres,false,15,0.06666666666666667,-2.4586950000035243e9
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,1,0.06666666666666667,5.447550775965643e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,2,0.06666666666666667,5.447550775965643e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,3,0.06666666666666667,5.447550775965643e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,4,0.06666666666666667,5.545122581026685e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,5,0.06666666666666667,5.545122581026685e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,6,0.06666666666666667,5.545122581026685e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,7,0.06666666666666667,5.463890195822082e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,8,0.06666666666666667,5.463890195822082e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,9,0.06666666666666667,5.463890195822082e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,10,0.06666666666666667,5.444363838295027e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,11,0.06666666666666667,5.444363838294877e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,12,0.06666666666666667,5.444363838294877e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,13,0.06666666666666667,5.4549528378847374e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,14,0.06666666666666667,5.4549528378847374e10
market_exposure,Cons_Elec_01,Consumer,elec_demand,true,15,0.06666666666666667,5.4549528378847374e10
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,1,0.06666666666666667,-5.205582126061107e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,2,0.06666666666666667,-5.459183554142611e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,3,0.06666666666666667,-7.729123564777219e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,4,0.06666666666666667,-6.041739947182353e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,5,0.06666666666666667,-6.854734370462923e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,6,0.06666666666666667,-9.704947347461838e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,7,0.06666666666666667,-5.649121464244599e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,8,0.06666666666666667,-6.176391562541598e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,9,0.06666666666666667,-8.744548172433216e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,10,0.06666666666666667,-5.402937129713885e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,11,0.06666666666666667,-5.86054120170338e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,12,0.06666666666666667,-8.297366566851545e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,13,0.06666666666666667,-5.172284925183516e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,14,0.06666666666666667,-5.658774456580156e9
market_exposure,Gen_Conv_CCGT,Conventional,conventional,false,15,0.06666666666666667,-8.011704784487975e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,1,0.06666666666666667,-2.5653410293652234e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,2,0.06666666666666667,-2.5653410293652234e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,3,0.06666666666666667,-2.5653410293652234e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,4,0.06666666666666667,-2.5653410293652234e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,5,0.06666666666666667,-2.5653410293652234e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,6,0.06666666666666667,-2.5653410293652234e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,7,0.06666666666666667,-2.5653410293652234e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,8,0.06666666666666667,-2.5653410293652234e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,9,0.06666666666666667,-2.5653410293652234e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,10,0.06666666666666667,-2.5653410293652234e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,11,0.06666666666666667,-2.5653410293652234e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,12,0.06666666666666667,-2.5653410293652234e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,13,0.06666666666666667,-2.5653410293652234e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,14,0.06666666666666667,-2.5653410293652234e9
market_exposure,Gen_VRES_Wind,VRES,vres,false,15,0.06666666666666667,-2.5653410293652234e9
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,1,0.06666666666666667,-5.823510635210149e7
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,2,0.06666666666666667,-1.0537781142927792e9
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,3,0.06666666666666667,-1.0537781142927793e9
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,4,0.06666666666666667,-1.5668981884704632e8
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,5,0.06666666666666667,-1.0620856400729376e9
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,6,0.06666666666666667,-1.0620856400729376e9
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,7,0.06666666666666667,-7.996386455150442e7
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,8,0.06666666666666667,-1.0293280874773302e9
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,9,0.06666666666666667,-1.0293280874773303e9
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,10,0.06666666666666667,-8.017332110657711e7
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,11,0.06666666666666667,-1.024120944838927e9
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,12,0.06666666666666667,-1.024120944838927e9
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,13,0.06666666666666667,-1.1522867625221626e8
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,14,0.06666666666666667,-9.655395994474926e8
market_exposure,Gen_Conv_Coal,Conventional,conventional,false,15,0.06666666666666667,-9.655395994474927e8
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,1,0.06666666666666667,-1.4971554471884402e6
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,2,0.06666666666666667,-1.1280556576994495e9
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,3,0.06666666666666667,-1.1280556576994498e9
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,4,0.06666666666666667,-3.944362445627697e7
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,5,0.06666666666666667,-1.2833513199928048e9
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,6,0.06666666666666667,-1.2833513199928048e9
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,7,0.06666666666666667,-0.0
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,8,0.06666666666666667,-1.2016061677787502e9
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,9,0.06666666666666667,-1.2016061677787502e9
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,10,0.06666666666666667,-1.6546341713687418e7
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,11,0.06666666666666667,-1.1573670455781877e9
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,12,0.06666666666666667,-1.157367045578188e9
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,13,0.06666666666666667,-1.8264034555594906e7
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,14,0.06666666666666667,-1.135999976630759e9
market_exposure,Gen_Conv_Biomass,Conventional,conventional,false,15,0.06666666666666667,-1.135999976630759e9
market_exposure,Prod_H2_Green,GreenProducer,h2_producer,false,1,0.06666666666666667,-4.2402573314079297e8
