Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_VRES_Solar_g,Gen_VRES_Wind_g,Gen_Conv_CCGT_g,Gen_Conv_Coal_g,Gen_Conv_Biomass_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Prod_H2_Green_e_in,Prod_H2_Green_q_elec_gc,Prod_H2_Green_h2_out,Prod_H2_Green_q_h2gc,Offtaker_Green_h2_in,Offtaker_Green_q_h2gc,Offtaker_Green_ep,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_VRES_Solar_obj,Gen_VRES_Wind_obj,Gen_Conv_CCGT_obj,Gen_Conv_Coal_obj,Gen_Conv_Biomass_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Prod_H2_Green_obj,Offtaker_Green_obj,Offtaker_Grey_obj,Offtaker_Import_obj
1,1,1,1,15.96931644253334,-5.2757882260998565,-2.6821393655215164,5.275788226100024,83.72561376772158,132.60126370992404,1.253739561707395e-14,13631.213738145003,-9.999546571719728e-9,-9.999556914450224e-9,-9.999577612843476e-9,12112.3861,9448.423547799905,1518.8276381150063,4182.790190345099,1012.5517587433375,1012.5517587533369,1012.5517587433375,440.5317884762594,759.4138190575031,1013.5861809524965,572.0199702770775,-9.999655557616876e-9,-2.1078363387505435e-27,-2.2992026060819626e-9,-8.860222574085709e-7,-9.067051818749092e-7,-9.51138758316012e-7,-5.936708062682014e6,-22318.17688465515,-64968.55499739837,-57418.27681450111,369.3730390741548,-1.1739469258002564e-6
2,2,1,1,15.96931644253334,83.33045517240141,53.74040913575217,5.275788226100024,83.72561376772158,132.60126370992404,1.000004073766083e-8,13866.70828713502,3.2439509899214563,-9.980575002037639e-9,-9.99383004676167e-9,12351.1246,9448.423547799912,1518.8276381149683,4418.284739345108,1012.5517587433121,1012.5517587533117,1012.5517587433121,440.53147477125174,759.4138190574841,1013.5861809525155,572.0202839820599,-9.999655557616876e-9,-8.860660435961054e-7,-1.2286769296259023e6,4.013145371573046e-11,-2.0642747889900455e-8,-6.507632433100036e-8,-4.955649616585049e6,-22318.17688465515,13720.725036969961,-287.5523618985753,369.39930421544705,-1.1739469258002564e-6
3,3,1,1,15.96931644253334,83.33045517241369,53.74027273731627,5.275788226100024,83.72561376772158,132.60126370992404,1.0000040737660737e-8,13866.70828713502,363.0189509899207,-9.980575002035655e-9,-9.99383004676147e-9,12710.899599999999,9448.423547799921,1518.8276381149683,4418.284739345098,1012.5517587433121,1012.5517587533117,1012.5517587433121,440.53174782296264,759.4138190574841,1013.5861809525155,572.020010930349,-9.999655557616876e-9,-8.8606604359622e-7,-1.2286769296260728e6,3.637978807091713e-11,-2.0642747889773823e-8,-6.507632433087638e-8,-5.094286039879548e6,-22318.17688465515,13720.863147464697,-287.6676109526452,369.3764427933784,-1.1739469258002564e-6
4,4,1,1,15.96931644253334,83.33045517241375,53.740272737748334,5.275788226100024,83.72561376772158,132.60126370992404,1.0000040737660737e-8,13866.70828713502,854.7894509899212,-9.980575002035646e-9,-9.993830046761468e-9,13202.6701,9448.423547799926,1518.8276381149683,4418.284739345094,1012.5517587433121,1012.5517587533117,1012.5517587433121,440.53157218986075,759.4138190574841,1013.5861809525154,572.0201865634509,-9.999655557616876e-9,-8.860660435962206e-7,-1.2286769296260737e6,2.9103830456733704e-11,-2.0642747889773188e-8,-6.507632433087585e-8,-5.28326241886399e6,-22318.17688465515,13720.863147027296,-287.6823155043967,369.39114778264775,-1.1739469258002564e-6
5,5,1,1,15.96931644253334,83.33045517241378,53.7402727379221,5.275788226100024,83.72561376772158,132.60126370992404,1.0000040737660737e-8,13866.70828713502,1444.4304509899214,-9.980575002035642e-9,-9.993830046761468e-9,13792.311099999999,9448.423547799934,1518.8276381149683,4418.284739345086,1012.5517587433121,1012.5517587533117,1012.5517587433121,440.5316730408434,759.4138190574841,1013.5861809525154,572.0200857124682,-9.999655557616876e-9,-8.860660435962208e-7,-1.2286769296260742e6,2.9103830456733704e-11,-2.064274788977287e-8,-6.507632433087553e-8,-5.5090511813084865e6,-22318.17688465515,13720.863146851363,-287.67387151803996,369.3827039722237,-1.1739469258002564e-6
6,6,1,1,15.96931644253334,83.33045517241379,53.74027274976401,5.275788226100024,83.72561376772158,132.60126370992404,1.0000040737660737e-8,13866.70828713502,2181.2379509899233,-9.98057500203564e-9,-9.993830046761468e-9,14529.1186,9448.42354779994,1518.8276381149683,4418.284739345081,1012.5517587433121,1012.5517587533117,1012.5517587433121,440.53192662161086,759.4138190574841,1013.5861809525155,572.0198321317007,-9.999655557616876e-9,-8.86066043596221e-7,-1.2286769296260742e6,0.0,-2.0642747889772764e-8,-6.507632433087543e-8,-5.789972124691934e6,-22318.17688465515,13720.863134860789,-287.6526283220883,369.3614727667882,-1.1739469258002564e-6
7,7,1,1,15.96931644253334,83.33045517241379,53.74027274957294,5.275788226100024,83.72561376772158,132.60126370992404,1.0000040737660737e-8,13866.70828713502,2843.204450989922,-9.98057500203564e-9,-9.993830046761468e-9,15191.085099999998,9448.42354779994,1518.8276381149683,4418.284739345079,1012.5517587433121,1012.5517587533117,1012.5517587433121,440.5316387612251,759.4138190574841,1013.5861809525154,572.0201199920864,-9.999655557616876e-9,-8.86066043596221e-7,-1.2286769296260742e6,0.0,-2.0642747889772764e-8,-6.507632433087543e-8,-6.041201180909824e6,-22318.17688465515,13720.863135054242,-287.6767298030463,369.3855740542931,-1.1739469258002564e-6
8,8,1,1,15.96931644253334,83.33045517241379,53.74027274979582,5.275788226100024,83.72561376772158,132.60126370992404,1.0000040737660737e-8,13866.70828713502,3297.573950989922,-9.980575002035639e-9,-9.993830046761468e-9,15645.4546,9448.423547799943,1518.8276381149683,4418.284739345076,1012.5517587433121,1012.5517587533117,1012.5517587433121,440.53176364695867,759.4138190574841,1013.5861809525155,572.019995106353,-9.999655557616876e-9,-8.86066043596221e-7,-1.2286769296260742e6,0.0,-2.0642747889772764e-8,-6.507632433087543e-8,-6.213009134751839e6,-22318.176884655164,13720.863134828542,-287.66627344266453,369.3751179195824,-1.1739469258002564e-6
9,9,1,1,15.96931644253334,83.33045517241379,53.74027274979888,5.275788226100024,83.72561376772158,132.60126370992404,1.0000040737660737e-8,13866.70828713502,3463.1484509899233,-9.980575002035639e-9,-9.993830046761468e-9,15811.0291,9448.423547799945,1518.8276381149683,4418.284739345076,1012.5517587433121,1012.5517587533117,1012.5517587433121,440.5317825090119,759.4138190574841,1013.5861809525155,572.0199762442996,-9.999655557616876e-9,-8.86066043596221e-7,-1.2286769296260742e6,0.0,-2.0642747889772764e-8,-6.507632433087543e-8,-6.275488496851411e6,-22318.17688465515,13720.863134825442,-287.66469420258363,369.3735386825865,-1.1739469258002564e-6
10,10,1,1,15.96931644253334,83.33045517241379,53.740272749562344,5.275788226100024,83.72561376772158,132.60126370992404,1.0000040737660737e-8,13866.70828713502,3280.1409509899204,-9.980575002035639e-9,-9.993830046761468e-9,15628.021599999998,9448.423547799943,1518.8276381149683,4418.284739345076,1012.5517587433121,1012.5517587533117,1012.5517587433121,440.5316498572951,759.4138190574841,1013.5861809525154,572.0201088960166,-9.999655557616876e-9,-8.86066043596221e-7,-1.2286769296260742e6,0.0,-2.0642747889772764e-8,-6.507632433087543e-8,-6.206426822715102e6,-22318.176884655164,13720.863135064952,-287.6758007884928,369.38464502902934,-1.1739469258002564e-6
