AgentID,Group,Type,elec_net_sum,H2_net_sum,elec_GC_net_sum,H2_GC_net_sum,EP_net_sum,Capacity_Final_MW,Investment_Total_MW,Objective_Value
Gen_VRES_Solar,power,PowerGen,8.363022572649727e6,0.0,8.363022572649727e6,0.0,0.0,25880.99999999,-9.999998522930224e-9,-2.317984093152077e10
Cons_Elec_01,power,PowerCons,-3.771318577838634e7,0.0,0.0,0.0,0.0,0.0,0.0,-6.391207415700011e11
Gen_Conv_CCGT,power,PowerGen,1.5518693577905279e7,0.0,0.0,0.0,0.0,0.0,0.0,-8.658390427050346e8
Gen_VRES_Wind,power,PowerGen,1.2451037768847408e7,0.0,1.2451037768847408e7,0.0,0.0,13866.70828712502,2084.7082871250204,-3.5914774463801674e10
Gen_Conv_Coal,power,PowerGen,2.7821210802221773e6,0.0,0.0,0.0,0.0,0.0,0.0,-9.202014561382378e9
Gen_Conv_Biomass,power,PowerGen,2.863752956167709e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.0409569457632294e10
Prod_H2_Green,H2,H2Prod,-4.265442177405434e6,2.8436281182704032e6,-4.548122508910069e6,2.8436281182991243e6,0.0,1012.5517587333379,479.2184254000046,-5.571059776768669e9
Offtaker_Green,offtaker,Offtaker,0.0,-2.8436281182704032e6,0.0,-1.2032771591778654e6,2.1327210887027164e6,759.4138190475036,359.4138190475036,-1.6798233677567997e9
Offtaker_Grey,offtaker,Offtaker,0.0,0.0,0.0,-1.6403509591213088e6,2.9735189113067426e6,0.0,0.0,-1.4545652388119128e8
Offtaker_Import,offtaker,Offtaker,0.0,0.0,0.0,0.0,-9.519263595270241e-6,0.0,0.0,-0.0884417965046618
Demand_GC_Elec_01,elec_GC_demand,GC_Demand,0.0,0.0,-1.6265937832587417e7,0.0,0.0,0.0,0.0,-1.342503810237785e9
