Metric,Value,Unit
case,social_planner,-
gamma,1.0,-
beta,0.8,-
expected_social_welfare,3.9955263560869484e10,EUR
social_CVaR,-3.480708019724996e10,EUR
alpha_social,-3.9825320485093155e10,EUR
social_CVaR_recomputed,-3.6546619490821915e10,EUR
sum_private_CVaR,NaN,EUR
risk_adjusted_objective,3.9955263560869484e10,EUR
social_CVaR_gap_vs_SP,0.0,EUR
SP_social_CVaR_benchmark,-3.480708019724996e10,EUR
expected_welfare_demand,5.508123344752555e10,EUR
expected_welfare_ex_demand,-1.5125969886656065e10,EUR
share_demand_of_E_SW,1.3785726469708437,-
welfare_ex_demand_CVaR,1.865271176122155e10,EUR
welfare_ex_demand_min,-1.9534855640331715e10,EUR
welfare_ex_demand_spread,7.851071235642391e9,EUR
expected_welfare_group_conventional,-8.174499302238815e9,EUR
expected_welfare_group_elec_demand,5.471176086760322e10,EUR
expected_welfare_group_gc_demand,3.694725799223321e8,EUR
expected_welfare_group_h2_producer,-4.2402572758198774e8,EUR
expected_welfare_group_offtaker_green,-1.9826604260886353e8,EUR
expected_welfare_group_offtaker_grey,-1.3051427811164894e9,EUR
expected_welfare_group_offtaker_import,0.007267313901214205,EUR
expected_welfare_group_vres,-5.024036033117179e9,EUR
