Gen_Conv_Coal_EP,Gen_VRES_Solar_elec,Demand_GC_Elec_01_elec,Gen_Conv_Coal_H2_GC,Gen_VRES_Wind_H2_GC,Offtaker_Grey_elec,Gen_Conv_Coal_H2,jy,Cons_Elec_01_H2,Offtaker_Green_H2_GC,Gen_Conv_Coal_elec_GC,Demand_GC_Elec_01_elec_GC,Offtaker_Import_EP,Gen_Conv_CCGT_EP,Gen_Conv_CCGT_H2_GC,Gen_VRES_Wind_elec,Gen_VRES_Solar_elec_GC,Gen_Conv_Biomass_EP,Demand_GC_Elec_01_EP,Offtaker_Grey_H2_GC,Offtaker_Green_EP,Gen_Conv_Biomass_elec,Offtaker_Import_H2_GC,Gen_VRES_Wind_EP,Gen_VRES_Wind_elec_GC,Demand_GC_Elec_01_H2,Prod_H2_Green_H2,Cons_Elec_01_EP,Offtaker_Grey_elec_GC,Gen_VRES_Solar_H2_GC,Offtaker_Import_elec,Demand_GC_Elec_01_H2_GC,Time,Gen_VRES_Solar_H2,Gen_Conv_CCGT_elec_GC,jd,Gen_VRES_Wind_H2,Prod_H2_Green_H2_GC,Gen_Conv_Biomass_H2_GC,Gen_Conv_CCGT_H2,Offtaker_Green_H2,Offtaker_Grey_EP,Offtaker_Green_elec,Offtaker_Grey_H2,Gen_Conv_Biomass_H2,Offtaker_Green_elec_GC,Offtaker_Import_elec_GC,Cons_Elec_01_elec,Cons_Elec_01_H2_GC,Prod_H2_Green_elec_GC,Gen_Conv_Coal_elec,Gen_Conv_Biomass_elec_GC,jh,Offtaker_Import_H2,Gen_VRES_Solar_EP,Cons_Elec_01_elec_GC,Prod_H2_Green_EP,Prod_H2_Green_elec,Gen_Conv_CCGT_elec
0.0,1.253739561707395e-14,0.0,0.0,0.0,0.0,0.0,1,0.0,-440.5317884762594,0.0,-9448.423547799905,-9.999655557616876e-9,0.0,0.0,13631.213738145003,1.253739561707395e-14,0.0,0.0,-572.0199702770775,759.4138190575031,-9.999577612843476e-9,0.0,0.0,13631.213738145003,0.0,1012.5517587433375,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,1012.5517587533369,0.0,0.0,-1012.5517587433375,1013.5861809524965,0.0,0.0,0.0,0.0,0.0,-12112.3861,0.0,-4182.790190345099,-9.999556914450224e-9,0.0,1,0.0,0.0,0.0,0.0,-1518.8276381150063,-9.999546571719728e-9
0.0,1.000004073766083e-8,0.0,0.0,0.0,0.0,0.0,1,0.0,-440.53147477125174,0.0,-9448.423547799912,-9.999655557616876e-9,0.0,0.0,13866.70828713502,1.000004073766083e-8,0.0,0.0,-572.0202839820599,759.4138190574841,-9.99383004676167e-9,0.0,0.0,13866.70828713502,0.0,1012.5517587433121,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,0.0,1012.5517587533117,0.0,0.0,-1012.5517587433121,1013.5861809525155,0.0,0.0,0.0,0.0,0.0,-12351.1246,0.0,-4418.284739345108,-9.980575002037639e-9,0.0,2,0.0,0.0,0.0,0.0,-1518.8276381149683,3.2439509899214563
0.0,1.0000040737660737e-8,0.0,0.0,0.0,0.0,0.0,1,0.0,-440.53174782296264,0.0,-9448.423547799921,-9.999655557616876e-9,0.0,0.0,13866.70828713502,1.0000040737660737e-8,0.0,0.0,-572.020010930349,759.4138190574841,-9.99383004676147e-9,0.0,0.0,13866.70828713502,0.0,1012.5517587433121,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,1,0.0,1012.5517587533117,0.0,0.0,-1012.5517587433121,1013.5861809525155,0.0,0.0,0.0,0.0,0.0,-12710.899599999999,0.0,-4418.284739345098,-9.980575002035655e-9,0.0,3,0.0,0.0,0.0,0.0,-1518.8276381149683,363.0189509899207
0.0,1.0000040737660737e-8,0.0,0.0,0.0,0.0,0.0,1,0.0,-440.53157218986075,0.0,-9448.423547799926,-9.999655557616876e-9,0.0,0.0,13866.70828713502,1.0000040737660737e-8,0.0,0.0,-572.0201865634509,759.4138190574841,-9.993830046761468e-9,0.0,0.0,13866.70828713502,0.0,1012.5517587433121,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,1,0.0,1012.5517587533117,0.0,0.0,-1012.5517587433121,1013.5861809525154,0.0,0.0,0.0,0.0,0.0,-13202.6701,0.0,-4418.284739345094,-9.980575002035646e-9,0.0,4,0.0,0.0,0.0,0.0,-1518.8276381149683,854.7894509899212
0.0,1.0000040737660737e-8,0.0,0.0,0.0,0.0,0.0,1,0.0,-440.5316730408434,0.0,-9448.423547799934,-9.999655557616876e-9,0.0,0.0,13866.70828713502,1.0000040737660737e-8,0.0,0.0,-572.0200857124682,759.4138190574841,-9.993830046761468e-9,0.0,0.0,13866.70828713502,0.0,1012.5517587433121,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,1,0.0,1012.5517587533117,0.0,0.0,-1012.5517587433121,1013.5861809525154,0.0,0.0,0.0,0.0,0.0,-13792.311099999999,0.0,-4418.284739345086,-9.980575002035642e-9,0.0,5,0.0,0.0,0.0,0.0,-1518.8276381149683,1444.4304509899214
0.0,1.0000040737660737e-8,0.0,0.0,0.0,0.0,0.0,1,0.0,-440.53192662161086,0.0,-9448.42354779994,-9.999655557616876e-9,0.0,0.0,13866.70828713502,1.0000040737660737e-8,0.0,0.0,-572.0198321317007,759.4138190574841,-9.993830046761468e-9,0.0,0.0,13866.70828713502,0.0,1012.5517587433121,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,1,0.0,1012.5517587533117,0.0,0.0,-1012.5517587433121,1013.5861809525155,0.0,0.0,0.0,0.0,0.0,-14529.1186,0.0,-4418.284739345081,-9.98057500203564e-9,0.0,6,0.0,0.0,0.0,0.0,-1518.8276381149683,2181.2379509899233
0.0,1.0000040737660737e-8,0.0,0.0,0.0,0.0,0.0,1,0.0,-440.5316387612251,0.0,-9448.42354779994,-9.999655557616876e-9,0.0,0.0,13866.70828713502,1.0000040737660737e-8,0.0,0.0,-572.0201199920864,759.4138190574841,-9.993830046761468e-9,0.0,0.0,13866.70828713502,0.0,1012.5517587433121,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,1,0.0,1012.5517587533117,0.0,0.0,-1012.5517587433121,1013.5861809525154,0.0,0.0,0.0,0.0,0.0,-15191.085099999998,0.0,-4418.284739345079,-9.98057500203564e-9,0.0,7,0.0,0.0,0.0,0.0,-1518.8276381149683,2843.204450989922
0.0,1.0000040737660737e-8,0.0,0.0,0.0,0.0,0.0,1,0.0,-440.53176364695867,0.0,-9448.423547799943,-9.999655557616876e-9,0.0,0.0,13866.70828713502,1.0000040737660737e-8,0.0,0.0,-572.019995106353,759.4138190574841,-9.993830046761468e-9,0.0,0.0,13866.70828713502,0.0,1012.5517587433121,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,1,0.0,1012.5517587533117,0.0,0.0,-1012.5517587433121,1013.5861809525155,0.0,0.0,0.0,0.0,0.0,-15645.4546,0.0,-4418.284739345076,-9.980575002035639e-9,0.0,8,0.0,0.0,0.0,0.0,-1518.8276381149683,3297.573950989922
0.0,1.0000040737660737e-8,0.0,0.0,0.0,0.0,0.0,1,0.0,-440.5317825090119,0.0,-9448.423547799945,-9.999655557616876e-9,0.0,0.0,13866.70828713502,1.0000040737660737e-8,0.0,0.0,-572.0199762442996,759.4138190574841,-9.993830046761468e-9,0.0,0.0,13866.70828713502,0.0,1012.5517587433121,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,1,0.0,1012.5517587533117,0.0,0.0,-1012.5517587433121,1013.5861809525155,0.0,0.0,0.0,0.0,0.0,-15811.0291,0.0,-4418.284739345076,-9.980575002035639e-9,0.0,9,0.0,0.0,0.0,0.0,-1518.8276381149683,3463.1484509899233
0.0,1.0000040737660737e-8,0.0,0.0,0.0,0.0,0.0,1,0.0,-440.5316498572951,0.0,-9448.423547799943,-9.999655557616876e-9,0.0,0.0,13866.70828713502,1.0000040737660737e-8,0.0,0.0,-572.0201088960166,759.4138190574841,-9.993830046761468e-9,0.0,0.0,13866.70828713502,0.0,1012.5517587433121,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,1,0.0,1012.5517587533117,0.0,0.0,-1012.5517587433121,1013.5861809525154,0.0,0.0,0.0,0.0,0.0,-15628.021599999998,0.0,-4418.284739345076,-9.980575002035639e-9,0.0,10,0.0,0.0,0.0,0.0,-1518.8276381149683,3280.1409509899204
