case,scenario_year,probability,social_welfare,social_loss,welfare_demand,welfare_ex_demand
social_planner,1,0.06666666666666667,4.318552910741851e10,-4.318552910741865e10,5.4869313512107994e10,-1.1683784404689323e10
social_planner,2,0.06666666666666667,4.0276825514362564e10,-4.027682551436269e10,5.4869313512107994e10,-1.4592487997745258e10
social_planner,3,0.06666666666666667,3.7473884849393394e10,-3.747388484939364e10,5.4869313512108765e10,-1.739542866271536e10
social_planner,4,0.06666666666666667,4.31258440335345e10,-4.312584403353447e10,5.578218744028216e10,-1.2656343406748089e10
social_planner,5,0.06666666666666667,3.9630545435153595e10,-3.963054543515379e10,5.578218744028216e10,-1.615164200512867e10
social_planner,6,0.06666666666666667,3.624733179995144e10,-3.62473317999516e10,5.578218744028303e10,-1.9534855640331715e10
social_planner,7,0.06666666666666667,4.28494307415469e10,-4.284943074154694e10,5.499698608555099e10,-1.214755534400359e10
social_planner,8,0.06666666666666667,3.9638189595020744e10,-3.963818959502093e10,5.499698608555099e10,-1.5358796490529976e10
social_planner,9,0.06666666666666667,3.6537032327769615e10,-3.653703232776952e10,5.49969860855518e10,-1.8459953757782475e10
social_planner,10,0.06666666666666667,4.290069342132495e10,-4.290069342132479e10,5.4818820230293945e10,-1.1918126808969055e10
social_planner,11,0.06666666666666667,3.982532036572207e10,-3.982532036572202e10,5.4818820230293945e10,-1.4993499864571842e10
social_planner,12,0.06666666666666667,3.685549434474441e10,-3.685549434474461e10,5.481882023029473e10,-1.7963325885550457e10
social_planner,13,0.06666666666666667,4.321461232162e10,-4.321461232161978e10,5.493885996939138e10,-1.1724247647770996e10
social_planner,14,0.06666666666666667,4.02270752694658e10,-4.02270752694656e10,5.493885996939137e10,-1.4711784699925426e10
social_planner,15,0.06666666666666667,3.734114428601347e10,-3.734114428601329e10,5.493885996939214e10,-1.7597715683378773e10
