Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_VRES_Solar_g,Gen_VRES_Wind_g,Gen_Conv_01_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_VRES_Solar_obj,Gen_VRES_Wind_obj,Gen_Conv_01_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Offtaker_Grey_obj,Offtaker_Import_obj
1,1,1,1,64.88673118303063,-4.318530006733667,-5.313214351252701,4.318380551227555,82.93018204890525,123.22770772680167,0.0,15223.190581449451,9.037205404021719e-11,12239.359999999999,11015.423999999999,281.08474578800843,374.7796610506676,0.0,0.0,2.275189652995323,7.187368340319913e-9,-5.985283626911215e6,-32250.555759930758,25511.979070161462,0.0
2,2,1,1,64.88673118303063,-4.318530011310671,-5.313214351249647,4.31838065552792,82.9301820489052,123.22770772680099,0.0,15497.990581467771,9.037205404021905e-11,12514.160000000002,11262.744,281.08474578800843,374.7796610506676,0.0,0.0,2.3147145143448142,7.187368340733695e-9,-6.115367524894345e6,-32278.273579852845,25511.979070161637,0.0
3,3,1,1,64.88673118303063,-4.3185315433226155,-5.313214351239798,4.318415704503614,82.9301820489052,123.22770772680099,0.0,15874.01058759588,9.037205404023425e-11,12890.18,11363.166556670427,281.08474578800843,374.7796610506676,0.0,0.0,1.838826639286708,7.18736847918597e-9,-6.293060723388606e6,-32280.40010683013,25511.979070161637,0.0
4,4,1,1,64.88673118303063,21.42320662363849,8.778992923043928,4.3184166001962785,82.9301820488782,123.22770772650068,0.0,16360.830575657743,1.2846652587557699e-10,13376.999999999998,11363.166556782957,281.0847457880314,374.7796610506982,0.0,0.0,-421154.3363075773,6.910103461766468e-9,-6.178241603745587e6,-32280.389928925186,25511.979070238005,0.0
5,5,1,1,64.88673118303063,78.29027174706547,46.30021344405602,4.318416600407463,82.9301820471963,123.22770770772394,0.0,16360.83057565859,584.9798848646756,13961.980000000001,11363.166556808823,281.0847457894729,374.77966105262016,0.0,0.0,-1.3515467541303867e6,-900.2391362923809,-5.644231684772408e6,-32280.389926525473,25511.97907501636,0.0
6,6,1,1,64.88673118303063,81.36169310832842,48.59010690530384,4.3184166004050075,82.93018211687995,123.22770865454,0.0,16360.830575658605,1168.7074512771817,14565.04,11363.166556819657,290.7509624831811,387.6679499775645,0.0,0.0,-1.4017977586484298e6,-3593.347228375729,-5.832308197657472e6,-32280.389926553376,26389.30967346605,0.0
7,7,1,1,64.88673118303063,81.36169311042501,48.59010690695531,4.31841660040187,82.93018211694871,123.22770865475175,0.0,16360.830575658605,1168.7074516920545,15134.98,11363.16655682512,575.7209622757415,767.6279497009783,0.0,0.0,-1.40179775868268e6,-3593.347230825995,-6.049747877507079e6,-32280.389926589036,52253.9242148146,0.0
8,8,1,1,64.88673118303063,81.36169311055191,48.59010690705766,4.318416600399824,82.93018211701423,123.22770865484605,0.0,16360.830575658605,1168.7074517168578,15560.66,11363.166556827817,788.5609622633445,1051.4146163511155,0.0,0.0,-1.401797758684723e6,-3593.347230974294,-6.211620681937859e6,-32280.389926612283,71571.83333743503,0.0
9,9,1,1,64.88673118303063,81.36169311168528,48.59010690792558,4.318416600399141,82.93018211780746,123.22770865601188,0.0,16360.830575658605,1168.7074519363846,15739.66,11363.166556828732,878.0609621535995,1170.7479495381222,0.0,0.0,-1.4017977587032546e6,-3593.3472322988673,-6.279553492253232e6,-32280.389926620024,79695.08490873426,0.0
10,10,1,1,64.88673118303063,81.36169314509829,48.59010690701431,4.318416610780694,82.93018211698111,123.2277086547945,68.48999863300052,16360.830575658605,1168.707451706082,15500.98,11363.16655682769,724.4759628828851,965.9679505105032,0.0,-5868.230600055486,-1.4017977594197697e6,-3593.3472713489173,-6.188953545591195e6,-32280.389808652733,65755.31297365887,0.0
