case,scenario_year,probability,social_welfare,social_loss
green_social_planner,1,0.06666666666666667,4.909723983290801e10,-4.909723983290801e10
green_social_planner,2,0.06666666666666667,4.8616720490397316e10,-4.8616720490397316e10
green_social_planner,3,0.06666666666666667,4.813620114787493e10,-4.813620114787493e10
green_social_planner,4,0.06666666666666667,4.837506175816075e10,-4.837506175816075e10
green_social_planner,5,0.06666666666666667,4.7780474146090805e10,-4.7780474146090805e10
green_social_planner,6,0.06666666666666667,4.718588653396578e10,-4.718588653396578e10
green_social_planner,7,0.06666666666666667,4.8200545990532524e10,-4.8200545990532524e10
green_social_planner,8,0.06666666666666667,4.765048975171224e10,-4.765048975171224e10
green_social_planner,9,0.06666666666666667,4.710043351289465e10,-4.710043351289465e10
green_social_planner,10,0.06666666666666667,4.831661193280794e10,-4.831661193280794e10
green_social_planner,11,0.06666666666666667,4.778300120911732e10,-4.778300120911732e10
green_social_planner,12,0.06666666666666667,4.7249390485421684e10,-4.7249390485421684e10
green_social_planner,13,0.06666666666666667,4.862948087067383e10,-4.862948087067383e10
green_social_planner,14,0.06666666666666667,4.811666073445883e10,-4.811666073445883e10
green_social_planner,15,0.06666666666666667,4.7603840598276825e10,-4.7603840598276825e10
