Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_VRES_Solar_g,Gen_VRES_Wind_g,Gen_Conv_01_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Prod_H2_Green_e_in,Prod_H2_Green_q_elec_gc,Prod_H2_Green_h2_out,Prod_H2_Green_q_h2gc,Offtaker_Green_h2_in,Offtaker_Green_q_h2gc,Offtaker_Green_ep,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_VRES_Solar_obj,Gen_VRES_Wind_obj,Gen_Conv_01_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Prod_H2_Green_obj,Offtaker_Green_obj,Offtaker_Grey_obj,Offtaker_Import_obj
1,1,1,1,64.88673118303063,-4.318530714186053,-5.3132127956000135,4.318381659447075,82.93017891909781,123.22770143788625,0.0,15223.190581460853,9.037202252633855e-11,12239.359999999999,11015.423999999999,2983.8305229375997,4207.766517990327,1989.2203486250662,1989.2203486249873,1989.2203627861095,1614.4406774387116,1491.915272089582,281.08474624851664,374.77966166467854,0.0,0.0,2.269088698521955,7.187365897927541e-9,-5.9852836355699785e6,-32250.543552422852,-143144.60936622947,-42625.60330516429,25511.979706688406,0.0
2,2,1,1,64.88673118303063,-4.3185307187639665,-5.313212795596959,4.3183817637468955,82.93017891909777,123.22770143788557,0.0,15497.990581479176,9.03720225263402e-11,12514.160000000002,11262.744,2983.8305229375997,4235.246518208626,1989.2203486250662,1989.2203486249873,1989.2203627861095,1614.4406774387114,1491.915272089582,281.0847462485167,374.7796616646786,0.0,0.0,2.3085034516261658,7.187365898341388e-9,-6.115367533747528e6,-32278.26109826623,-143025.93980921543,-42625.603305157274,25511.97970668858,0.0
3,3,1,1,64.88673118303063,-4.318532250775002,-5.31321279558711,4.318416757228497,82.93017891909777,123.22770143788557,0.0,15874.010587607281,9.037202252635582e-11,12890.18,11363.166555930498,2983.8305229375997,4510.844036659035,1989.2203486250662,1989.2203486249873,1989.2203627861095,1614.4406774387114,1491.915272089582,281.0847462485167,374.7796616646786,0.0,0.0,1.833345780032687,7.187366036793566e-9,-6.293060732507794e6,-32280.388144541947,-141835.65123254835,-42625.60330513769,25511.97970668858,0.0
4,4,1,1,64.88673118303063,21.423205935377464,8.77899447867672,4.318417658677581,82.93017891893612,123.22770143763762,0.0,16360.830575592385,1.284664809659683e-10,13376.999999999998,11363.166556043032,2983.83052293754,4997.6640365427975,1989.2203486250266,1989.2203486249477,1989.2203627859044,1614.4406774384784,1491.915272089428,281.0847462485865,374.77966166477165,0.0,0.0,-421154.34236300614,6.910101134535879e-9,-6.178241612952455e6,-32280.377901225875,-90956.87643553056,-14593.097638464591,25511.979706704034,0.0
5,5,1,1,64.88673118303063,78.29027110192189,46.30021499801335,4.318417658888903,82.93017890881292,123.22770142403493,0.0,16360.830575593234,584.9798846926365,13961.980000000001,11363.1665560689,2983.83052293381,4997.664036516398,1989.2203486225396,1989.2203486224607,1989.220362769649,1614.4406774238894,1491.9152720772368,281.0847462529677,374.7796616706133,0.0,0.0,-1.3515467608875383e6,-900.2387588963757,-5.6442316937798895e6,-32280.377898824583,4086.833017072844,60044.87825852443,25511.97970713122,0.0
6,6,1,1,64.88673118303063,81.36169245442584,48.59010545202072,4.318417658886447,82.93017933272826,123.22771611438453,0.0,16360.830575593247,1168.7074511956837,14565.04,11363.166556079732,2964.4980888956707,4997.664036505546,1976.3320592637804,1976.3320592637015,1976.3320481796407,1588.6641000354625,1482.2490361347304,290.750962637653,387.667950183527,0.0,0.0,-1.4017977652620757e6,-3593.346464154907,-5.83230820718159e6,-32280.377898852494,8779.823333086068,62911.20634265116,26389.30643920295,0.0
7,7,1,1,64.88673118303063,81.36169245656312,48.5901054536654,4.318417658883582,82.93017933282974,123.22771611455843,0.0,16360.830575593247,1168.707451610599,15134.98,11363.166556085192,2394.5580893105753,4997.664036500077,1596.3720595403836,1596.3720595403045,1596.3720484562687,828.7441005887348,1197.2790363422014,575.7209624302011,767.6279499069245,0.0,0.0,-1.4017977652969966e6,-3593.3464666527434,-6.0497478874032665e6,-32280.37789888503,11241.107742924447,13125.17029643993,52253.91779689913,0.0
8,8,1,1,64.88673118303063,81.36169245669258,48.59010545376769,4.318417658881535,82.9301793328969,123.22771611464967,0.0,16360.830575593247,1168.7074516354055,15560.66,11363.16655608789,1968.8780893353817,4997.66403649738,1312.5853928902545,1312.5853928901754,1312.5853818061382,261.1707672884744,984.4390363546037,788.5609624178031,1051.4146165570605,0.0,0.0,-1.4017977652990813e6,-3593.3464668040397,-6.2116206921123415e6,-32280.377898908293,13079.405716528316,-24059.304981051493,71571.82454168255,0.0
9,9,1,1,64.88673118303063,81.36169245784738,48.59010545463607,4.318417658880853,82.93017933370298,123.22771611577832,0.0,16360.830575593247,1168.707451854957,15739.66,11363.166556088805,1789.8780895549257,4997.664036496465,1193.2520597032837,1193.2520597032048,1193.252048619172,22.504100914530984,894.9390364643789,878.0609623080485,1170.7479497440543,0.0,0.0,-1.4017977653179637e6,-3593.346468153657,-6.279553502544418e6,-32280.37789891605,13852.416750435761,-39695.513087836225,79695.07511313817,0.0
10,10,1,1,64.88673118303063,81.36169249122071,48.5901054537236,4.318417669257085,82.93017933286151,123.22771611460254,68.4899986330732,16360.830575593247,1168.7074516246305,15500.98,11363.166556087763,2097.048088096306,5066.154035269221,1398.0320587308706,1398.0320587307915,1398.0320476467484,432.0640989696942,1048.5240357350615,724.475963037344,965.9679507164482,0.0,-5868.230627772685,-1.4017977660337428e6,-3593.3465071573155,-6.188953555726938e6,-32280.377781009192,12821.672455217806,-12863.255952388165,65755.30489385601,0.0
