Time;jh;jd;jy;W;Elec_Price;H2_Price;Elec_GC_Price;H2_GC_Price;EP_Price;Gen_VRES_01_g;Gen_Conv_01_g;Cons_Elec_01_d;Demand_GC_Elec_01_d_gc;Prod_H2_Green_e_in;Prod_H2_Green_q_elec_gc;Prod_H2_Green_h2_out;Prod_H2_Green_q_h2gc;Offtaker_Green_h2_in;Offtaker_Green_q_h2gc;Offtaker_Green_ep;Offtaker_Grey_ep;Offtaker_Grey_q_h2gc;Offtaker_Import_ep;Gen_VRES_01_obj;Gen_Conv_01_obj;Cons_Elec_01_obj;Demand_GC_Elec_01_obj;Prod_H2_Green_obj;Offtaker_Green_obj;Offtaker_Grey_obj;Offtaker_Import_obj
1;1;1;1;50.24005694;60.02292524;69.41707525;20.61102415;49.34001635;127.4720205;0;39.33567342;24;0;15.26363327;6.68E-12;10.17575552;10.17575552;10.1373004;0.104684279;7.602975301;28.40834323;9.98185471;0;1.14E+07;-45.30547126;-523272.7907;0;4.16E+06;3.73E+06;-14465.60517;0
2;2;1;1;50.24005694;59.90685308;69.08715168;20.61102415;49.36258781;127.2669178;0;38.28771117;22;0;16.15375556;6.68E-12;10.76917037;10.76917037;10.46395103;0.239305301;7.847963273;28.23340039;10.47278749;0;0;179.1752582;-480347.6578;0;-13845.01689;-10505.85168;-12704.39992;0
3;3;1;1;50.24005694;59.77904808;68.66677425;20.61719931;49.39420117;127.0130283;0;36.51624947;20;0;16.38440514;6.67E-12;10.92293676;10.92293676;10.58301342;0.252108471;7.937260063;28.14892909;10.63521315;0;0;405.3536281;-437310.5081;0;-13934.56287;-10722.25941;-11809.92817;0
4;4;1;1;50.24005694;59.77904808;68.66677425;20.61719931;49.39420117;127.0130283;0;36.51624947;20;0;16.38440514;6.67E-12;10.92293676;10.92293676;10.58301342;0.252108471;7.937260063;28.14892909;10.63521315;0;0;405.3536281;-437310.5081;0;-13934.56287;-10722.25941;-11809.92817;0
5;5;1;1;50.24005694;59.90685308;69.08715168;20.61102415;49.36258781;127.2669178;0;38.28771117;22;0;16.15375556;6.68E-12;10.76917037;10.76917037;10.46395103;0.239305301;7.847963273;28.23340039;10.47278749;0;0;179.1752582;-480347.6578;0;-13845.01689;-10505.85168;-12704.39992;0
6;6;1;1;50.24005694;59.96114472;69.23089739;20.61102415;49.35389908;127.3574575;0;40.73913233;26;0;14.64637478;6.68E-12;9.764249854;9.764249854;9.616938712;0.157244688;7.212704034;28.82733971;9.536312242;0;0;79.52651171;-566306.4361;0;-12579.37847;-9774.342931;-15975.76181;0
7;7;1;1;50.24005694;59.82163555;68.88432677;16.95786746;49.37328447;127.1463108;8.115533237;38.12888644;30;6.225990899;16.10709425;1.941810994;10.73806284;10.73806284;10.39018842;0.271795618;7.792641315;28.29828792;10.42047577;0;-31304.91149;341.674485;-652133.57;-464.6978594;-12115.98136;-10405.54619;-12745.95291;0
8;8;1;1;50.24005694;60.38997955;70.76650221;16.90221597;49.25760239;128.3250306;24.34659971;36.76245251;34;6.326190066;27.1871311;18.07731545;18.12475407;18.12475407;18.69637737;0.169982441;14.02228303;21.85173329;17.89600943;0;-94541.84692;-720.2718384;-736405.7271;-481.9026432;-8724.494087;-18578.96195;13191.20533;0
9;9;1;1;50.24005694;60.20816668;70.36495309;16.81873907;49.27174857;128.0811818;48.69319942;13.05405912;36;6.476485217;25.81621856;42.28057505;17.21081238;17.21081238;17.7232969;0.131955054;13.29247268;22.59572004;17.01394792;0;-188434.7024;-136.5233461;-779148.2245;-508.2874088;12963.98255;-17878.81298;10238.54387;0
10;10;1;1;50.24005694;59.73023197;68.99582144;16.73526216;49.37491206;127.3503773;73.03979913;0.379061265;36.8;6.626780366;36.70252261;66.48383464;24.46834841;24.46834841;24.21166527;0.82088078;18.15874896;17.838457;23.74515589;0;-280591.9404;5.137478368;-796976.4846;-535.3653891;24212.85823;-23832.75956;34390.64804;0
11;11;1;1;50.24005694;59.25181675;68.65217696;16.67961088;49.07390088;126.4880737;89.2708656;0;36;6.726977136;53.03371497;82.61934104;35.35580998;35.35580998;35.56980364;23.01714314;26.67735273;9.231871442;12.30916192;0;-340550.431;0;-780877.9192;-553.8024942;23319.87765;19285.14653;18062.5113;0
12;12;1;1;50.24005694;38.77610755;52.50825434;16.65178525;49.33775552;127.2230657;97.38639884;0;35.2;6.777075522;62.62822203;90.68709424;41.75214802;41.75214802;41.59993275;35.57285104;31.19994957;4.895825942;6.117792328;0;-271191.9526;0;-800089.0345;-563.1365818;-9467.866531;9468.788234;8468.401235;0
13;13;1;1;50.24005694;59.45732681;68.96000993;16.67961088;49.32846267;127.2022779;89.2708656;0;34;6.726977136;54.97526235;82.61934104;36.6501749;36.6501749;36.19890949;25.36806791;27.14918212;9.064031512;11.28447502;0;-341472.1381;0;-737998.8491;-553.8024943;21171.05524;24328.81864;15578.61272;0
