Time,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price
1,59.98423663477401,-15667.45738519291,48665.383515484165,105929.99880934102,59420.809382228814
2,59.98423663477321,-15663.630491208709,48665.383515484165,105929.99880934102,59420.809382228785
3,59.98423663477486,-15659.791645553976,48665.383515484165,105929.99880934102,59420.8093822288
4,59.98423663477537,-15659.791645553945,48665.383515484165,105929.99880934104,59420.8093822288
5,59.98423663477296,-15663.630491208713,48665.383515484165,105929.99880934102,59420.809382228785
6,59.98423663477544,-15670.651000274449,48665.383515484165,105929.99880934104,59420.80938222881
7,59.98423661747849,-15677.444954500126,48641.51340301649,105929.99880933341,59420.80938222805
8,59.9842366365564,-15683.340967101103,48463.81087327647,105929.99880934179,59420.80938222889
9,59.98423663653382,-15686.394963385414,48008.036757309164,105929.99880934179,59420.80938222888
10,59.98423663649682,-15687.584102175826,46948.10562485731,105929.99880934178,59420.80938222888
11,59.98423663661378,-15686.462923894307,45726.82016543045,105929.99880934184,59420.80938222888
12,-1728.7638251924352,-16141.119655014365,44889.27306616087,105929.97343502905,59420.789553490285
13,-165.34475865719116,-15747.772849358198,45763.41901190488,105929.97343503003,59420.789553491304
14,59.984236636499425,-15682.024783229608,46994.08093566952,105929.99880934179,59420.80938222888
15,59.984236636535144,-15680.74146040327,48026.638792792015,105929.9988093418,59420.80938222888
16,59.98423663655661,-15683.34096710118,48463.81087327647,105929.99880934179,59420.80938222887
17,481.42257358370597,-15634.127461950784,48634.04198696976,105929.9988205278,59420.80936749955
18,484.8222124359184,-15034.64767133705,48665.383515484165,105929.99882053552,59420.80936750023
19,484.1288936077391,-15237.673345421814,48665.383515484165,105929.99882053547,59420.809367500224
20,483.6430682362445,-15583.452247186142,48665.383515484165,105929.99882053543,59420.80936750022
21,483.78584484179805,-15617.39002921443,48665.383515484165,105929.99882053542,59420.80936750021
22,59.984236634784985,-15716.085322783629,48665.383515484165,105929.99880934102,59420.80938222878
23,59.98423663477517,-15670.65100027447,48665.383515484165,105929.99880934104,59420.80938222881
24,59.984236634778384,-15667.4573851929,48665.383515484165,105929.99880934104,59420.80938222881
25,59.98423648047841,-15659.790948240463,48665.38355991345,105929.99880908888,59420.809382232044
26,59.98423648047951,-15658.25419165824,48665.38355991345,105929.9988090889,59420.80938223206
27,59.984236480476504,-15655.947802193854,48665.38355991345,105929.99880908888,59420.80938223205
28,59.98423648047902,-15655.947802193863,48665.38355991345,105929.9988090889,59420.809382232044
29,59.984236480476994,-15659.790948240441,48665.38355991345,105929.99880908888,59420.80938223204
30,59.98423648229408,-15663.498511349717,48640.76219286522,105929.99880908964,59420.809382232124
31,59.98423648233534,-15671.222149629119,48473.19812789374,105929.99880908965,59420.80938223214
