Time,jh,jd,jy,W,Elec_Price,H2_Price,Elec_GC_Price,H2_GC_Price,EP_Price,Gen_VRES_Solar_g,Gen_VRES_Wind_g,Gen_Conv_01_g,Cons_Elec_01_d,Demand_GC_Elec_01_d_gc,Prod_H2_Green_e_in,Prod_H2_Green_q_elec_gc,Prod_H2_Green_h2_out,Prod_H2_Green_q_h2gc,Offtaker_Green_h2_in,Offtaker_Green_q_h2gc,Offtaker_Green_ep,Offtaker_Grey_ep,Offtaker_Grey_q_h2gc,Offtaker_Import_ep,Gen_VRES_Solar_obj,Gen_VRES_Wind_obj,Gen_Conv_01_obj,Cons_Elec_01_obj,Demand_GC_Elec_01_obj,Prod_H2_Green_obj,Offtaker_Green_obj,Offtaker_Grey_obj,Offtaker_Import_obj
1,1,1,1,50.24005693994746,-22.579117575697172,60.75000000000001,22.579117575697172,33.86867636354577,106.96645876358563,0.0,85.01474708717274,0.0,33.000000033458534,43.199999803088254,52.01474705371421,41.81474728408449,34.67649803580947,34.67649803580947,34.67649803580947,9.352996071618946,26.007373526857105,18.992626473142895,25.323501964190527,0.0,0.0,0.0,0.0,-16972.860896930673,-1073.990117323135,-3407.3218450345125,-176.49418056712693,497.4506256017346,0.0
2,2,1,1,50.24005693994746,-22.579117575697172,60.75000000000001,22.579117575697172,33.86867636354577,106.96645876358563,0.0,82.26474708421803,0.0,30.25000003050382,43.199999803403934,52.01474705371421,39.064747280814096,34.67649803580947,34.67649803580947,34.67649803580947,34.67649803580947,26.007373526857105,18.992626473142895,0.0,0.0,0.0,0.0,0.0,-15579.252697144128,-1073.9901173285964,-3469.4144184415222,681.179311849658,-360.22286681504966,0.0
3,3,1,1,50.24005693994746,-22.579117575697172,60.75000000000001,22.579117575697172,33.86867636354577,106.96645876358563,0.0,79.51474708126307,0.0,27.50000002754885,43.19999980329324,52.01474705371421,36.31474727796982,34.67649803580947,34.67649803580947,34.67649803580947,9.352996071618946,26.007373526857105,18.992626473142895,25.323501964190527,0.0,0.0,0.0,0.0,-14181.863247349329,-1073.9901173266817,-3531.506991838911,-176.49418056712693,497.4506256017346,0.0
4,4,1,1,50.24005693994746,-22.579117575697172,60.75000000000001,22.579117575697172,33.86867636354577,106.96645876358563,0.0,79.51474708126304,0.0,27.50000002754884,43.19999980311048,52.01474705371421,36.314747278152566,34.67649803580947,34.67649803580947,34.67649803580947,9.352996071618946,26.007373526857105,18.992626473142895,25.323501964190527,0.0,0.0,0.0,0.0,-14181.863247349324,-1073.9901173235198,-3531.5069918347845,-176.49418056712693,497.4506256017346,0.0
5,5,1,1,50.24005693994746,-22.579117575697172,60.75000000000001,22.579117575697172,33.86867636354577,106.96645876358563,0.0,82.26474708421802,0.0,30.25000003050381,43.19999980291238,52.01474705371421,39.06474728130564,34.67649803580947,34.67649803580947,34.67649803580947,34.67649803580947,26.007373526857105,18.992626473142895,0.0,0.0,0.0,0.0,0.0,-15579.252697144122,-1073.9901173200924,-3469.4144184304237,681.179311849658,-360.22286681504966,0.0
6,6,1,1,50.24005693994746,-22.579117575697172,60.75000000000001,22.579117575697172,33.86867636354576,106.96645876358563,0.0,87.76474709012709,0.0,35.75000003641288,43.19999980271237,52.01474705371421,44.56474728741472,34.67649803580947,25.323501964190527,34.67649803580947,0.0,26.007373526857105,18.992626473142895,25.323501964190527,0.0,0.0,0.0,0.0,-18362.6878467089,-1073.9901173166318,-3028.4556746469743,-493.2677775463035,497.4506256017346,0.0
7,7,1,1,50.24005693994746,38.5,60.75000000000001,22.57911757569718,33.86867636354577,106.96645876358563,3.8321699312061392,81.64305559612247,0.0,41.250000041950635,43.19999980140891,44.22522548537797,42.2752257259197,29.483483656918644,29.483483656918644,29.483483656918644,29.483483656918644,22.11261274268898,22.88738725731102,0.0,0.0,-234.06555779819115,-4986.685791994745,0.0,-18611.484393494986,-1073.9901172940804,-44.02927384138957,579.1686083067202,-434.092686622005,0.0
8,8,1,1,50.24005693994746,38.5,60.75000000000001,22.57911757569718,33.86867636354577,106.96645876358563,11.496509793618419,73.86752649172985,0.0,46.75000004784354,43.19999980148098,38.61403623750472,42.16403648386729,25.742690825003145,25.742690825003145,25.742690825003145,25.742690825003145,19.30701811875236,25.69298188124764,0.0,0.0,-702.1966733945735,-4511.763335614293,0.0,-21028.734395961448,-1073.9901172953275,80.15587295637476,505.6851012817333,-487.3048813642363,0.0
9,9,1,1,50.24005693994746,38.5,60.75000000000001,22.57911757569718,33.86867636354577,106.96645876358563,22.993019587236837,68.03587966343538,0.0,49.5000000507899,43.19999980168438,41.52889919988232,47.82889944898784,27.685932799921545,27.685932799921545,27.685932799921545,0.0,20.76444959994116,24.23555040005884,27.685932799921545,0.0,-1404.393346789147,-4155.571493328955,0.0,-22231.687522182492,-1073.9901172988461,142.24844635147497,-393.82807708583596,478.0233305479014,0.0
10,10,1,1,50.24005693994746,38.5,60.75000000000001,22.57911757569718,33.86867636354576,106.96645876358563,34.48952938085525,62.20423283514092,0.0,50.60000005196861,43.19999980192976,46.09376216402757,53.49376241406641,30.729174776018375,29.27082522398162,30.729174776018375,0.0,23.046881082013783,21.953118917986217,29.27082522398162,0.0,-2106.5900201837203,-3799.3796510436155,0.0,-22711.810022668706,-1073.990117303092,216.47784470867043,-437.1177196712765,574.9911817148682,0.0
