case,scenario_year,probability,social_welfare,social_loss
social_planner,1,0.1,5.008524340309853e10,-5.0085243403098564e10
social_planner,2,0.1,5.002790118182584e10,-5.0027901181825714e10
social_planner,3,0.1,4.992970148508142e10,-4.992970148508148e10
social_planner,4,0.1,4.994404173100077e10,-4.9944041731000725e10
social_planner,5,0.1,5.021979688266782e10,-5.0219796882667725e10
social_planner,6,0.1,5.155962228204307e10,-5.155962228204308e10
social_planner,7,0.1,4.859121711433515e10,-4.8591217114335236e10
social_planner,8,0.1,4.998516607208959e10,-4.9985166072089645e10
social_planner,9,0.1,5.097940172060512e10,-5.09794017206051e10
social_planner,10,0.1,4.970432012050145e10,-4.970432012050122e10
