case,risk,cwap_elec,cwap_h2,cwap_ep,cwap_elec_gc,cwap_h2_gc
SP,RN,106.986,86.0109,216.83,6.10197,127.217
SP,0.2,107.754,76.9474,215.04,5.73279,124.021
SP,0.4,106.86,75.3865,210.947,5.70578,118.2
SP,0.6,105.98,72.1246,207.779,5.61573,113.624
SP,0.8,105.349,69.4606,200.944,5.57543,103.603
ME,RN,106.986,86.0109,216.83,6.10198,127.217
ME,0.2,108.824,82.3068,223.276,5.94936,138.895
ME,0.4,110.837,79.0113,231.863,5.71997,154.422
ME,0.6,112.303,77.3138,237.193,5.56628,164.068
ME,0.8,112.802,76.2575,242.465,5.69269,173.588
G-SP,RN,106.986,86.6636,216.83,6.10198,127.217
G-SP,0.2,108.753,128,219.921,6.31555,132.783
G-SP,0.4,110.364,128,221.623,6.49705,135.875
G-SP,0.6,112.289,128,221.967,6.77847,136.562
G-SP,0.8,112.516,128,230.972,6.66149,152.918
GH2-SP,RN,106.986,86.6636,216.83,6.10198,127.217
GH2-SP,0.2,109.135,128,222.9,5.8482,138.206
GH2-SP,0.4,111.162,128,229.531,5.32876,150.231
GH2-SP,0.6,111.764,128,234.027,5.73062,158.344
GH2-SP,0.8,112.941,128,238.356,5.40738,166.171
