risk,market,wmean,min,p10,p50,p90,max
RN,Electricity,105.208,-5.89295,-5.40309,89.842,201.951,455.963
RN,Hydrogen,86.6636,-5.50716,40.5091,82.315,144.038,611.132
RN,Electricity GC,7.37911,5.23077,5.27576,6.73064,9.78911,10.0004
RN,H₂ GC,127.217,83.7256,83.9164,125.403,170.211,170.728
RN,Ammonia (EP),216.83,132.601,132.708,215.109,299.369,873.836
β=0.2,Electricity,104.496,-15.8742,-8.9226,85.4301,202.097,455.955
β=0.2,Hydrogen,85.8812,-5.03586,38.4342,83.7327,139.982,610.361
β=0.2,Electricity GC,7.2702,4.75227,5.0243,6.59704,9.77764,10.0006
β=0.2,H₂ GC,132.938,83.7531,84.2804,131.759,185.642,188.419
β=0.2,Ammonia (EP),220.029,132.604,132.9,218.645,307.987,872.955
β=0.4,Electricity,103.896,-12.5052,-7.89508,85.5184,202.067,455.973
β=0.4,Hydrogen,85.1409,-4.23255,37.1607,87.0191,140.104,604.004
β=0.4,Electricity GC,7.3629,4.72855,5.23538,6.7228,9.78721,10.0159
β=0.4,H₂ GC,135.902,85.9615,88.4326,134.003,187.811,189.445
β=0.4,Ammonia (EP),221.626,133.816,135.21,219.95,309.245,867.898
β=0.6,Electricity,104.027,-10.7129,-7.76499,85.6007,202.031,455.971
β=0.6,Hydrogen,83.478,0.862051,21.5336,88.6791,138.966,605.26
β=0.6,Electricity GC,7.36071,4.58219,5.26019,6.72228,9.7865,10.0155
β=0.6,H₂ GC,141.875,86.1301,89.2343,145.081,190.31,200.268
β=0.6,Ammonia (EP),224.729,133.875,135.722,224.211,310.674,869.437
β=0.8,Electricity,103.587,-12.7594,-9.08762,85.6461,201.92,455.963
β=0.8,Hydrogen,82.021,5.68107,29.9783,86.5241,139.181,608.799
β=0.8,Electricity GC,7.37438,4.55068,5.32349,6.67825,9.78298,10.0003
β=0.8,H₂ GC,145.991,86.0993,88.9478,148.033,197.016,202.653
β=0.8,Ammonia (EP),227.065,133.872,135.528,227.775,314.393,872.119
