market,risk,duration_fraction,price_EUR_per_MWh
Electricity,RN,0,455.963
Electricity,RN,0.05,201.951
Electricity,RN,0.1,201.951
Electricity,RN,0.25,142.641
Electricity,RN,0.5,89.842
Electricity,RN,0.75,83.3304
Electricity,RN,0.9,-5.40309
Electricity,RN,0.95,-5.54866
Electricity,RN,1,-5.89295
Electricity,β=0.2,0,455.955
Electricity,β=0.2,0.05,202.111
Electricity,β=0.2,0.1,202.088
Electricity,β=0.2,0.25,142.827
Electricity,β=0.2,0.5,85.4391
Electricity,β=0.2,0.75,83.3968
Electricity,β=0.2,0.9,-8.93881
Electricity,β=0.2,0.95,-10.428
Electricity,β=0.2,1,-15.8742
Electricity,β=0.4,0,455.973
Electricity,β=0.4,0.05,202.111
Electricity,β=0.4,0.1,202.08
Electricity,β=0.4,0.25,142.824
Electricity,β=0.4,0.5,85.5232
Electricity,β=0.4,0.75,83.2834
Electricity,β=0.4,0.9,-7.89508
Electricity,β=0.4,0.95,-9.20936
Electricity,β=0.4,1,-12.5052
Electricity,β=0.6,0,455.971
Electricity,β=0.6,0.05,202.077
Electricity,β=0.6,0.1,202.044
Electricity,β=0.6,0.25,142.809
Electricity,β=0.6,0.5,85.8325
Electricity,β=0.6,0.75,83.2688
Electricity,β=0.6,0.9,-7.76499
Electricity,β=0.6,0.95,-9.96439
Electricity,β=0.6,1,-10.7129
Electricity,β=0.8,0,455.963
Electricity,β=0.8,0.05,202.151
Electricity,β=0.8,0.1,202.072
Electricity,β=0.8,0.25,142.862
Electricity,β=0.8,0.5,86.159
Electricity,β=0.8,0.75,83.2167
Electricity,β=0.8,0.9,-9.15302
Electricity,β=0.8,0.95,-12.1823
Electricity,β=0.8,1,-12.7594
Hydrogen,RN,0,611.132
Hydrogen,RN,0.05,144.038
Hydrogen,RN,0.1,144.038
Hydrogen,RN,0.25,114.922
Hydrogen,RN,0.5,92.5175
Hydrogen,RN,0.75,53.7483
Hydrogen,RN,0.9,50.4884
Hydrogen,RN,0.95,26.3424
Hydrogen,RN,1,-5.50716
Hydrogen,β=0.2,0,610.361
Hydrogen,β=0.2,0.05,142.724
Hydrogen,β=0.2,0.1,139.99
Hydrogen,β=0.2,0.25,111.202
Hydrogen,β=0.2,0.5,95.4531
Hydrogen,β=0.2,0.75,54.248
Hydrogen,β=0.2,0.9,52.616
Hydrogen,β=0.2,0.95,16.2443
Hydrogen,β=0.2,1,-5.03586
Hydrogen,β=0.4,0,604.004
Hydrogen,β=0.4,0.05,141.451
Hydrogen,β=0.4,0.1,140.177
Hydrogen,β=0.4,0.25,102.449
Hydrogen,β=0.4,0.5,94.9734
Hydrogen,β=0.4,0.75,53.4976
Hydrogen,β=0.4,0.9,46.4464
Hydrogen,β=0.4,0.95,13.497
Hydrogen,β=0.4,1,-4.23255
Hydrogen,β=0.6,0,605.26
Hydrogen,β=0.6,0.05,143.089
Hydrogen,β=0.6,0.1,138.96
Hydrogen,β=0.6,0.25,111.583
Hydrogen,β=0.6,0.5,91.4825
Hydrogen,β=0.6,0.75,52.8991
Hydrogen,β=0.6,0.9,29.2933
Hydrogen,β=0.6,0.95,13.769
Hydrogen,β=0.6,1,0.862051
Hydrogen,β=0.8,0,608.799
Hydrogen,β=0.8,0.05,143.438
Hydrogen,β=0.8,0.1,139.327
Hydrogen,β=0.8,0.25,116.775
Hydrogen,β=0.8,0.5,90.0522
Hydrogen,β=0.8,0.75,50.1079
Hydrogen,β=0.8,0.9,30.2846
Hydrogen,β=0.8,0.95,16.0768
Hydrogen,β=0.8,1,5.68107
Ammonia (EP),RN,0,873.836
Ammonia (EP),RN,0.05,299.658
Ammonia (EP),RN,0.1,299.369
Ammonia (EP),RN,0.25,299.14
Ammonia (EP),RN,0.5,215.109
Ammonia (EP),RN,0.75,134.533
Ammonia (EP),RN,0.9,132.708
Ammonia (EP),RN,0.95,132.601
Ammonia (EP),RN,1,132.601
Ammonia (EP),β=0.2,0,872.955
Ammonia (EP),β=0.2,0.05,309.453
Ammonia (EP),β=0.2,0.1,307.987
Ammonia (EP),β=0.2,0.25,305.077
Ammonia (EP),β=0.2,0.5,218.645
Ammonia (EP),β=0.2,0.75,133.166
Ammonia (EP),β=0.2,0.9,132.899
Ammonia (EP),β=0.2,0.95,132.623
Ammonia (EP),β=0.2,1,132.604
Ammonia (EP),β=0.4,0,867.898
Ammonia (EP),β=0.4,0.05,309.989
Ammonia (EP),β=0.4,0.1,309.245
Ammonia (EP),β=0.4,0.25,306.672
Ammonia (EP),β=0.4,0.5,219.95
Ammonia (EP),β=0.4,0.75,135.479
Ammonia (EP),β=0.4,0.9,135.176
Ammonia (EP),β=0.4,0.95,133.968
Ammonia (EP),β=0.4,1,133.816
Ammonia (EP),β=0.6,0,869.437
Ammonia (EP),β=0.6,0.05,315.92
Ammonia (EP),β=0.6,0.1,310.674
Ammonia (EP),β=0.6,0.25,308.094
Ammonia (EP),β=0.6,0.5,224.211
Ammonia (EP),β=0.6,0.75,139.019
Ammonia (EP),β=0.6,0.9,135.722
Ammonia (EP),β=0.6,0.95,134.093
Ammonia (EP),β=0.6,1,133.875
Ammonia (EP),β=0.8,0,872.119
Ammonia (EP),β=0.8,0.05,315.17
Ammonia (EP),β=0.8,0.1,314.393
Ammonia (EP),β=0.8,0.25,307.958
Ammonia (EP),β=0.8,0.5,227.775
Ammonia (EP),β=0.8,0.75,148.52
Ammonia (EP),β=0.8,0.9,135.528
Ammonia (EP),β=0.8,0.95,134.073
Ammonia (EP),β=0.8,1,133.872
