risk,market,wmean,min,p10,p50,p90,max
RN,Electricity,105.208,-5.89283,-5.40298,89.8421,201.951,455.963
RN,Hydrogen,86.6636,-5.50716,40.5091,82.315,144.038,611.132
RN,Electricity GC,7.37911,5.2308,5.27579,6.73064,9.78911,10.0004
RN,H₂ GC,127.217,83.7256,83.9164,125.403,170.211,170.728
RN,Ammonia (EP),216.83,132.601,132.708,215.109,299.369,873.836
β=0.2,Electricity,106.039,-5.49082,-4.98606,85.3987,201.951,455.957
β=0.2,Hydrogen,87.112,-6.4674,37.0026,82.3012,144.038,614.227
β=0.2,Electricity GC,7.14909,4.72273,4.73361,6.51292,9.76895,10.0002
β=0.2,H₂ GC,124.222,79.7936,79.8099,124.778,169.509,170.125
β=0.2,Ammonia (EP),215.04,130.399,130.408,214.759,298.976,875.875
β=0.4,Electricity,105.169,-5.47321,-4.96494,85.3987,201.951,455.957
β=0.4,Hydrogen,87.0294,-8.22053,33.1726,82.785,144.038,614.225
β=0.4,Electricity GC,7.12712,4.66038,4.70624,6.4756,9.76514,10.0134
β=0.4,H₂ GC,119.882,49.5089,79.7688,124.746,169.468,170.098
β=0.4,Ammonia (EP),210.947,130.347,130.385,214.741,298.953,875.855
β=0.6,Electricity,104.287,-5.40428,-4.88903,85.3987,201.951,455.954
β=0.6,Hydrogen,86.1896,-8.47838,11.139,82.2827,144.038,614.222
β=0.6,Electricity GC,7.06024,4.46467,4.59455,6.39713,9.75539,10.0002
β=0.6,H₂ GC,116.446,49.1894,79.4065,124.633,169.329,169.995
β=0.6,Ammonia (EP),207.779,130.183,130.292,214.677,298.875,875.786
β=0.8,Electricity,103.643,-5.37803,-4.85652,85.3987,201.951,455.953
β=0.8,Hydrogen,86.4041,-7.43297,13.0044,76.6948,159.953,614.22
β=0.8,Electricity GC,7.02935,4.36167,4.54848,6.33976,9.75058,10.0002
β=0.8,H₂ GC,109.027,49.0349,67.8911,107.49,169.275,169.956
β=0.8,Ammonia (EP),200.944,130.096,130.253,205.077,298.845,875.757
